name,url,strings,output
alienworksbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlienWorks,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",alienworks.csv
alieninvasionbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlienInvasion,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",alieninvasion.csv
apocalypticbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/AfterTheEnd,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",apocalyptic.csv
kaijubot,https://tvtropes.org/pmwiki/pmwiki.php/Main/KaijuWorks,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",kaiju.csv
mechabot,https://tvtropes.org/pmwiki/pmwiki.php/Main/MechaShow,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",mecha.csv
realrobotbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealRobotGenre,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",realrobot.csv
superrobotbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperRobotGenre,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",superrobot.csv
militarybot,https://tvtropes.org/pmwiki/pmwiki.php/Main/MilitaryScienceFiction,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",militaryscifi.csv
spacecadetbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/SpaceCadetAcademy,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",spacecadet.csv
mutantbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/MutantMedia,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",mutantmedia.csv
newwavescifibot,https://tvtropes.org/pmwiki/pmwiki.php/Main/NewWaveScienceFiction,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",newwavescifi.csv
newweirdbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/NewWeird,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",newweird.csv
pastoralscifibot,https://tvtropes.org/pmwiki/pmwiki.php/Main/PastoralScienceFiction,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",pastoralscifi.csv
planetromancebot,https://tvtropes.org/pmwiki/pmwiki.php/Main/PlanetaryRomance,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",planetaryromance.csv
punkpunkbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/PunkPunk,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",punkpunk.csv
cyberpunkbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/Cyberpunk,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",cyberpunk.csv
cyberpunkflavorbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/CyberpunkForFlavor,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",cyberpunkflavor.csv
postcyberpunkpot,https://tvtropes.org/pmwiki/pmwiki.php/Main/PostCyberpunk,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",postcyberpunk.csv
steampunkbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/Steampunk,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",steampunk.csv
robotAIbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/RobotAndAIWorks,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",robotAI.csv
scifihorrorbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/SciFiHorror,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",scifihorror.csv
scififantasybot,https://tvtropes.org/pmwiki/pmwiki.php/Main/ScienceFantasy,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",scififantasy.csv
spaceoperabot,https://tvtropes.org/pmwiki/pmwiki.php/Main/SpaceOpera,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",spaceopera.csv
spacewesternbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/SpaceWestern,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",spacewestern.csv
timetravelbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/TimeTravel,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",timetravel.csv
transhumansinspacebot,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranshumansInSpace,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",transhumansinspace.csv
videogamestoriesbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/VideoGameStories,"/Anime/, /Manga/, /ComicBook/, /Literature/, /Podcast/, /Radio/, /Film/, /WebOriginal/, /Webcomic/, /WesternAnimation/, /VisualNovel/, /TabletopGame/, /FanFic/, /Series/, /VideoGame/",videogamestories.csv
