name,url,strings,output
futuretechbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/FuturisticTechIndex,"/Main/,/Anime/,/Manga/,/ComicBook/,/Literature/,/Podcast/,/Radio/,/Film/,/WebOriginal/,/Webcomic/,/WesternAnimation/,/VisualNovel/,/TabletopGame/,/FanFic/,/Series/,/VideoGame/",futuretechtropes.csv
artificiallimbbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/AutonomousAndArtificialAppendageIndex,"/Main/,/Anime/,/Manga/,/ComicBook/,/Literature/,/Podcast/,/Radio/,/Film/,/WebOriginal/,/Webcomic/,/WesternAnimation/,/VisualNovel/,/TabletopGame/,/FanFic/,/Series/,/VideoGame/",artificiallimbs.csv
ftlbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/FasterThanLightIndex,"/Main/,/Anime/,/Manga/,/ComicBook/,/Literature/,/Podcast/,/Radio/,/Film/,/WebOriginal/,/Webcomic/,/WesternAnimation/,/VisualNovel/,/TabletopGame/,/FanFic/,/Series/,/VideoGame/",fasterthanlight.csv
magiccomputerbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicalComputer,"/Main/,/Anime/,/Manga/,/ComicBook/,/Literature/,/Podcast/,/Radio/,/Film/,/WebOriginal/,/Webcomic/,/WesternAnimation/,/VisualNovel/,/TabletopGame/,/FanFic/,/Series/,/VideoGame/",magiccomputer.csv
mechatropebot,https://tvtropes.org/pmwiki/pmwiki.php/Main/MechaTropes,"/Main/,/Anime/,/Manga/,/ComicBook/,/Literature/,/Podcast/,/Radio/,/Film/,/WebOriginal/,/Webcomic/,/WesternAnimation/,/VisualNovel/,/TabletopGame/,/FanFic/,/Series/,/VideoGame/",mechatropes.csv
identiclonesbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/OurClonesAreIdentical,"/Main/,/Anime/,/Manga/,/ComicBook/,/Literature/,/Podcast/,/Radio/,/Film/,/WebOriginal/,/Webcomic/,/WesternAnimation/,/VisualNovel/,/TabletopGame/,/FanFic/,/Series/,/VideoGame/",identicalclone.csv
radioactivebot,https://tvtropes.org/pmwiki/pmwiki.php/Main/RadioactiveTropes,"/Main/,/Anime/,/Manga/,/ComicBook/,/Literature/,/Podcast/,/Radio/,/Film/,/WebOriginal/,/Webcomic/,/WesternAnimation/,/VisualNovel/,/TabletopGame/,/FanFic/,/Series/,/VideoGame/",radioactive.csv
rangedenergybot,https://tvtropes.org/pmwiki/pmwiki.php/Main/RangedEnergyAttackTropes,"/Main/,/Anime/,/Manga/,/ComicBook/,/Literature/,/Podcast/,/Radio/,/Film/,/WebOriginal/,/Webcomic/,/WesternAnimation/,/VisualNovel/,/TabletopGame/,/FanFic/,/Series/,/VideoGame/",rangedenergyattack.csv
robotrollbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/RobotRollCall,"/Main/,/Anime/,/Manga/,/ComicBook/,/Literature/,/Podcast/,/Radio/,/Film/,/WebOriginal/,/Webcomic/,/WesternAnimation/,/VisualNovel/,/TabletopGame/,/FanFic/,/Series/,/VideoGame/",robotrollcall.csv
spacecraftbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/Spacecraft,"/Main/,/Anime/,/Manga/,/ComicBook/,/Literature/,/Podcast/,/Radio/,/Film/,/WebOriginal/,/Webcomic/,/WesternAnimation/,/VisualNovel/,/TabletopGame/,/FanFic/,/Series/,/VideoGame/",spacecrafttropes.csv
teleportationbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/TeleportationTropes,"/Main/,/Anime/,/Manga/,/ComicBook/,/Literature/,/Podcast/,/Radio/,/Film/,/WebOriginal/,/Webcomic/,/WesternAnimation/,/VisualNovel/,/TabletopGame/,/FanFic/,/Series/,/VideoGame/",teleportation.csv
timetravelbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/TimeTravelTropes,"/Main/,/Anime/,/Manga/,/ComicBook/,/Literature/,/Podcast/,/Radio/,/Film/,/WebOriginal/,/Webcomic/,/WesternAnimation/,/VisualNovel/,/TabletopGame/,/FanFic/,/Series/,/VideoGame/",timetravel.csv
transhumanbot,https://tvtropes.org/pmwiki/pmwiki.php/Main/Transhuman,"/Main/,/Anime/,/Manga/,/ComicBook/,/Literature/,/Podcast/,/Radio/,/Film/,/WebOriginal/,/Webcomic/,/WesternAnimation/,/VisualNovel/,/TabletopGame/,/FanFic/,/Series/,/VideoGame/",transhuman.csv
