Title,Tropes Count
The Simpsons,2479
"Warhammer 40,000",1611
Futurama,1518
Babylon 5,1460
Phineas and Ferb,1421
Dragon Ball Super,1408
Fallout: New Vegas,1364
Adventure Time,1337
Stargate SG-1,1336
Homestuck,1325
Doctor Who,1303
Animorphs,1255
Dragon Ball Z,1248
Fallout 4,1214
Star Wars: The Old Republic,1190
Star Trek: Deep Space Nine,1178
Mass Effect 2,1123
Gravity Falls,1121
Mass Effect 3,1113
The Expanse,1046
Steven Universe,1027
The Outer Limits (1995),1007
The Avengers (2012),1004
Red Dwarf,995
Warframe,956
Avengers: Infinity War,931
Star Wars: The Clone Wars,931
Ready Jet Go!,917
Vorkosigan Saga,912
Freefall,907
Mazinger Z,904
Avengers: Endgame,878
The Transformers: More than Meets the Eye,861
My Hero Academia,860
Mother 3,854
Star Trek Online,839
Schlock Mercenary,824
Samurai Jack,819
Rick and Morty,818
Questionable Content,812
Honkai Impact 3rd,797
Mass Effect: Andromeda,781
Star Trek: The Next Generation,778
Transformers: Prime,759
BioShock Infinite,754
Regular Show,751
Gargoyles,742
Firefly,739
Guardians of the Galaxy (2014),730
Chrono Trigger,725
Star Trek: Voyager,721
Darker than Black,703
Resident Evil 4,691
Thor: Ragnarok,683
Dragon Ball,678
Chrono Cross,674
Cyberpunk 2077,673
X,673
Battlestar Galactica (2003),668
Xenoblade Chronicles X,666
Sword Art Online,664
Rebuild World,659
Fallout 3,654
Tengen Toppa Gurren Lagann,650
BattleTech,648
Fringe,642
Dawn of War,642
Metal Gear Solid 3: Snake Eater,638
XCOM: Enemy Unknown,638
Shadowrun,637
EarthBound (1994),634
Birdy the Mighty,623
Cowboy Bebop,615
Star Trek: The Original Series,604
Kill la Kill,602
Ciaphas Cain,598
Transformers: Animated,597
Avengers: Age of Ultron,593
Dexter's Laboratory,583
Captain America: The First Avenger,576
Neon Genesis Evangelion,571
Portal 2,570
Assassin's Creed: Odyssey,567
Ghost in the Shell: Stand Alone Complex,560
X-Men: Days of Future Past,558
Sonic the Hedgehog (Archie Comics),557
Case Closed,556
Gaunt's Ghosts,553
Fist of the North Star,549
Star Control,549
Assassin's Creed III,544
Perfect Dark,542
Captain America: The Winter Soldier,541
The Last Jedi,540
Gears of War,536
Invader Zim,533
A Certain Magical Index,531
Mystery Science Theater 3000,531
Live A Live,530
Darths & Droids,528
Batman Beyond,523
Captain America: Civil War,522
Heavy Object,522
Horus Heresy,518
GoldenEye,516
Mega Man Battle Network,508
Deus Ex: Human Revolution,506
The Hunger Games,504
The Strange,504
Guardians of the Galaxy Vol. 2,503
Code Geass,502
Horizon Zero Dawn,501
NieR: Automata,499
No More Heroes,495
xkcd,491
Stargate Atlantis,488
Psychonauts,485
Marathon,482
Splatoon 2,481
Traveller,480
Sonic Adventure 2,479
Star Wars Rebels,478
Numenera,476
Rifts,476
Metal Gear Rising: Revengeance,476
ReBoot,471
Of Cinder and Bone,470
Lexx,468
Mega Man (Ruby-Spears),462
Rocket Age,456
Terminator 2: Judgment Day,455
DOOM Eternal,453
Jurassic World,452
Legend of the Galactic Heroes,452
[PROTOTYPE],449
Star Trek (2009),448
Cave Story,448
Ben 10: Omniverse,448
Mass Effect,447
Courage the Cowardly Dog,447
X-Wing Series,446
XCOM 2,446
Code Lyoko,441
Hitman 2,439
Hitman (2016),438
Black Panther (2018),436
Mad Max: Fury Road,434
FTL: Faster Than Light,434
Gunnerkrigg Court,433
Galaxy Quest,432
Metroid Prime 3: Corruption,430
Metal Gear Solid V: The Phantom Pain,429
Pacific Rim,428
Knights of the Old Republic II: The Sith Lords,426
Robotech,425
Spider-Man: Homecoming,425
Rogue One,425
Blake's 7,424
Doom,423
Splatoon,423
Fallout,421
Watchmen,420
Spider-Man: No Way Home,420
Mega Man Star Force,420
Star Trek: Picard,419
Borderlands,417
Shadowrun Returns,417
Serina,416
Knights of the Old Republic,415
Eureka,414
Jak and Daxter,414
Generator Rex,414
SAYER,411
Sky High (2005),409
Gintama,409
Rebuild of Evangelion,407
TRON: Legacy,407
Captain Marvel (2019),405
Urusei Yatsura,404
"The Adventures of Jimmy Neutron, Boy Genius",404
Metal Gear Solid 4: Guns of the Patriots,403
Mobile Suit Gundam 00,401
Dollhouse,401
Star Trek Into Darkness,400
Mobile Suit Gundam Wing,398
Metal Slug,398
Iron Man 3,397
Dune,395
Buzz Lightyear of Star Command,395
Resident Evil 6,394
Resident Evil 7: Biohazard,394
Serenity,393
Hitman 3,393
Metal Gear Solid 2: Sons of Liberty,388
Assassin's Creed IV: Black Flag,387
No More Heroes 2: Desperate Struggle,387
Batman v Superman: Dawn of Justice,386
[PROTOTYPE 2],386
Sword of the Stars,386
Ant-Man,385
Paranoia,383
Revenge of the Sith,382
Defiance,382
Storm Hawks,382
Mobile Suit Gundam: Iron-Blooded Orphans,381
A New Hope,381
The Matrix,380
Primeval,379
Sonic Adventure,378
S.T.A.L.K.E.R.,378
Mega Man Zero,375
The 100,374
Sgt. Frog,373
Space 1889,373
Crysis,373
Resident Evil Village,373
League of Super Redundant Heroes,372
Metal Gear,370
Assassin's Creed: Valhalla,369
Independence Day,367
Trigun,367
Aliens,366
Assassination Classroom,366
Spore,365
Wander over Yonder,364
Steins;Gate,363
To Love Ru,362
The Force Awakens,360
The Sun Eater,359
The Mandalorian,359
Half-Life 2,359
Narbonic,359
Skin Horse,359
Star Trek II: The Wrath of Khan,358
SporeWiki Fiction Universe,358
Assassin's Creed II,358
Iji,358
Spider-Man: Far From Home,357
Deep Rock Galactic,356
Subnautica,356
Danganronpa 2: Goodbye Despair,355
Adventurers!,354
Digimon Tamers,353
Super Metroid,352
Return of the Jedi,351
Mega Man X,351
Ben 10: Ultimate Alien,350
The Areal,349
Atomic Robo,348
Man of Steel,348
Horizon Forbidden West,348
Orphan Black,347
The Transformers: Robots in Disguise,345
Doctrine of Labyrinths,344
Ben 10: Alien Force,344
Inception,343
The Lost Fleet,343
Psychic Squad,343
Asura's Wrath,342
Yu-Gi-Oh! VRAINS,341
Xenosaga,340
No Time to Die,338
Super Mario Galaxy,338
Mars Attacks!,336
MechWarrior,336
Legion of Super-Heroes,335
Jurassic Park (1993),335
Assassin's Creed Origins,335
Thor: Love and Thunder,334
Megas XLR,334
Guardians of the Galaxy Vol. 3,333
Quantum Leap,333
Dead Space 3,333
Continuum,332
Mega Man ZX,332
ULTRAKILL,332
The Suicide Squad,331
BattleTech (2018),331
Yoko Tsuno,330
The Empire Strikes Back,330
Air Gear,329
Dark Matter (2015),328
Destiny 2,328
Xenogears,328
Eclipse Phase,327
First Encounter Assault Recon,327
ANNO: Mutationem,326
Stargate Universe,325
Green Lantern: The Animated Series,325
Milo Murphy's Law,325
Danganronpa 3: The End of Hope's Peak High School,324
Orion's Arm,324
Friends at the Table,323
Metroid Prime,323
Cyberchase,323
The Laundry Files,322
