title,url
Bakugan,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Bakugan
The Brave Fighter of Legend Da-Garn,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheBraveFighterOfLegendDaGarn
Daimos,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Daimos
Dragon Ball Z,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallZ
Dragon Ball Z: Resurrection 'F',https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallZResurrectionF
Turles,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallZTheTreeOfMight
Lord Slug,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallZLordSlug
Eureka Seven,https://tvtropes.org/pmwiki/pmwiki.php/Anime/EurekaSeven
Excel♡Saga,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ExcelSaga
Leijiverse,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Leijiverse
Genesis Climber MOSPEADA,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GenesisClimberMospeada
GoLion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GoLion
Pokémon: Destiny Deoxys,https://tvtropes.org/pmwiki/pmwiki.php/Anime/PokemonDestinyDeoxys
Project Blue Earth SOS,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ProjectBlueEarthSOS
Samurai Flamenco,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SamuraiFlamenco
Space Battleship Yamato,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SpaceBattleshipYamato
Super Dimension Fortress Macross,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SuperDimensionFortressMacross
Tekkaman,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Tekkaman
UFO Robo Grendizer,https://tvtropes.org/pmwiki/pmwiki.php/Anime/UFORoboGrendizer
Mazinger Z,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MazingerZ
Puella Magi Madoka Magica,https://tvtropes.org/pmwiki/pmwiki.php/Anime/PuellaMagiMadokaMagica
Final Fantasy: The Spirits Within,https://tvtropes.org/pmwiki/pmwiki.php/Anime/FinalFantasyTheSpiritsWithin
Happy Heroes,https://tvtropes.org/pmwiki/pmwiki.php/Animation/HappyHeroes
War of the Worlds: Goliath,https://tvtropes.org/pmwiki/pmwiki.php/Animation/WarOfTheWorldsGoliath
RWBY,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/RWBY
AstroLOLogy,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/AstroLOLogy
Super Mario Bros.: Heroes of the Stars,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/SuperMarioBrosHeroesOfTheStars
Cells at Work!,https://tvtropes.org/pmwiki/pmwiki.php/Manga/CellsAtWork
Cannon God Exaxxion,https://tvtropes.org/pmwiki/pmwiki.php/Manga/CannonGodExaxxion
Gantz,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Gantz
Gintama,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Gintama
Heroman,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Heroman
Parasyte,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Parasyte
7 Billion Needles,https://tvtropes.org/pmwiki/pmwiki.php/Manga/SevenBillionNeedles
Sgt. Frog,https://tvtropes.org/pmwiki/pmwiki.php/Manga/SgtFrog
Urusei Yatsura,https://tvtropes.org/pmwiki/pmwiki.php/Manga/UruseiYatsura
World Trigger,https://tvtropes.org/pmwiki/pmwiki.php/Manga/WorldTrigger
Invasion!,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/InvasionDCComics
Krypton No More,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/KryptonNoMore
Supergirl,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Supergirl
Bizarrogirl,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Bizarrogirl
Red Daughter of Krypton,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/RedDaughterOfKrypton
Superman: Birthright,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/SupermanBirthright
Lex Luthor,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/LexLuthor
Who is Superwoman?,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/WhoIsSuperwoman
The Krypton Chronicles,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheKryptonChronicles
Relative Heroes,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/RelativeHeroes
Wonder Woman (1942),https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/WonderWoman1942
Wonder Woman (2006),https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/WonderWoman2006
The Fantastic Four,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheFantasticFour
The Mighty Thor,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheMightyThor
Exiles,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Exiles
Secret Invasion,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/SecretInvasion
Buck Godot: Zap Gun for Hire,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BuckGodotZapGunForHire
The Flintstones,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheFlintstones
Nelvana of the Northern Lights,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/NelvanaOfTheNorthernLights
Paper Girls,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/PaperGirls
Paperinik New Adventures,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/PaperinikNewAdventures
The Scrameustache,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheScrameustache
Sonic the Hedgehog (Archie Comics),https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/SonicTheHedgehogArchieComics
Star Trek: Early Voyages,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/StarTrekEarlyVoyages
Star Wars: Invasion,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/StarWarsInvasion
Suske en Wiske,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/SuskeEnWiske
Tragg and the Sky Gods,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TraggAndTheSkyGods
Warlord of Mars,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/WarlordOfMars
Wild's End,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/WildsEnd
Strikeforce: Morituri,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/StrikeforceMorituri
The Transformers Megaseries,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheTransformersMegaseries
Blue Beetle,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BlueBeetle
Darkseid,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Darkseid
Steppenwolf,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/NewGods
Darkseid,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Darkseid
The War of the Worlds (1898),https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheWarOfTheWorlds1898
The War of the Worlds (1898),https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheWarOfTheWorlds1898
The Tomorrow Series,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheTomorrowSeries
Race,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Worldwar
Fithp,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Footfall
War of the Worlds,https://tvtropes.org/pmwiki/pmwiki.php/Literature/WarOfTheWorlds
Choose Your Own Adventure,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ChooseYourOwnAdventure
All Tomorrows,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllTomorrows
Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs
Arrivals from the Dark,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ArrivalsFromTheDark
Battlefield Earth,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BattlefieldEarth
Bolo,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Bolo
Bruce Coville's Book of...,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BruceCovillesBookOf
Chaos Squad,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ChaosSquad
The Darksword Trilogy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheDarkswordTrilogy
Doom,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Doom
Eden Green,https://tvtropes.org/pmwiki/pmwiki.php/Literature/EdenGreen
City on the Edge of Nowhere,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CityOnTheEdgeOfNowhere
New Night,https://tvtropes.org/pmwiki/pmwiki.php/Literature/NewNight
Ender's Game,https://tvtropes.org/pmwiki/pmwiki.php/Literature/EndersGame
Formic Wars,https://tvtropes.org/pmwiki/pmwiki.php/Literature/FormicWars
Footfall,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Footfall
