title,url
Brigadoon: Marin and Melan,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BrigadoonMarinAndMelan
Chargeman Ken!,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ChargemanKen
Di Gi Charat,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DiGiCharat
Doraemon: Nobita's Drifts in the Universe,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DoraemonNobitasDriftsInTheUniverse
Dragon Ball Z,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallZ
Dragon Ball Z Kai,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallZKai
Dragon Ball GT,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallGT
Dragon Ball Super,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallSuper
Figure 17 Tsubasa & Hikaru,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Figure17TsubasaAndHikaru
Genesis Climber MOSPEADA,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GenesisClimberMospeada
Kado: The Right Answer,https://tvtropes.org/pmwiki/pmwiki.php/Anime/KadoTheRightAnswer
Kill la Kill,https://tvtropes.org/pmwiki/pmwiki.php/Anime/KillLaKill
Kurau Phantom Memory,https://tvtropes.org/pmwiki/pmwiki.php/Anime/KurauPhantomMemory
M78 Love and Peace,https://tvtropes.org/pmwiki/pmwiki.php/Anime/M78LoveAndPeace
Neon Genesis Evangelion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion
Rebuild of Evangelion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/RebuildOfEvangelion
Niea_7,https://tvtropes.org/pmwiki/pmwiki.php/Anime/NieaUnder7
Outlaw Star,https://tvtropes.org/pmwiki/pmwiki.php/Anime/OutlawStar
Oyako Club,https://tvtropes.org/pmwiki/pmwiki.php/Anime/OyakoClub
Please Teacher!,https://tvtropes.org/pmwiki/pmwiki.php/Anime/PleaseTeacher
Waiting in the Summer,https://tvtropes.org/pmwiki/pmwiki.php/Anime/WaitingInTheSummer
Puella Magi Madoka Magica,https://tvtropes.org/pmwiki/pmwiki.php/Anime/PuellaMagiMadokaMagica
Robotech,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Robotech
Sailor Moon,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SailorMoon
Sailor Moon Crystal,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SailorMoonCrystal
Sei Juushi Bismarck,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SeiJuushiBismarck
Saber Rider and the Star Sheriffs,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SaberRiderAndTheStarSheriffs
Sonic X,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SonicX
Space Family Carlvinson,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SpaceFamilyCarlvinson
Space Patrol Luluco,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SpacePatrolLuluco
Space Runaway Ideon,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SpaceRunawayIdeon
Starship Troopers,https://tvtropes.org/pmwiki/pmwiki.php/Anime/StarshipTroopers
Star★Twinkle Pretty Cure,https://tvtropes.org/pmwiki/pmwiki.php/Anime/StarTwinklePrettyCure
Stitch!,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Stitch
Stitch Meets High School Musical,https://tvtropes.org/pmwiki/pmwiki.php/Anime/StitchMeetsHighSchoolMusical
Super Dimension Fortress Macross,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SuperDimensionFortressMacross
Tamagotchi,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Tamagotchi
Tekkaman,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Tekkaman
Tekkaman Blade,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TekkamanBlade
Tenchi Muyo!,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TenchiMuyo
Tsuritama,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Tsuritama
The☆Ultraman,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheUltraman
Ultraman: The Adventure Begins,https://tvtropes.org/pmwiki/pmwiki.php/Anime/UltramanTheAdventureBegins
Voltron,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Voltron
Yu Gi Oh Go Rush,https://tvtropes.org/pmwiki/pmwiki.php/Anime/YuGiOhGoRush
Gundam 00: A Wakening of the Trailblazer,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gundam00AWakeningOfTheTrailblazer
