title,url
Ghost in the Shell (1995),https://tvtropes.org/pmwiki/pmwiki.php/Anime/GhostInTheShell1995
Dimensional Prophecy of Zohar Redux,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/DimensionalProphecyOfZoharRedux
Death Note,https://tvtropes.org/pmwiki/pmwiki.php/Manga/DeathNote
AKIRA,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Akira
The Phantom,https://tvtropes.org/pmwiki/pmwiki.php/ComicStrip/ThePhantom
Neuromancer,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Neuromancer
Avalon's Reign,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AvalonsReign
like a television tuned to a dead channel,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Neuromancer
Amaranthe,https://tvtropes.org/pmwiki/pmwiki.php/Music/Amaranthe
Billy Idol,https://tvtropes.org/pmwiki/pmwiki.php/Music/BillyIdol
Celldweller,https://tvtropes.org/pmwiki/pmwiki.php/Music/Celldweller
Cult of Luna's,https://tvtropes.org/pmwiki/pmwiki.php/Music/CultOfLuna
Death Grips,https://tvtropes.org/pmwiki/pmwiki.php/Music/DeathGrips
Fear Factory,https://tvtropes.org/pmwiki/pmwiki.php/Music/FearFactory
Front Line Assembly,https://tvtropes.org/pmwiki/pmwiki.php/Music/FrontLineAssembly
George Michael,https://tvtropes.org/pmwiki/pmwiki.php/Music/GeorgeMichael
Hatsune Miku,https://tvtropes.org/pmwiki/pmwiki.php/Music/HatsuneMiku
Information Society,https://tvtropes.org/pmwiki/pmwiki.php/Music/InformationSociety
mind.in.a.box,https://tvtropes.org/pmwiki/pmwiki.php/Music/MindInABox
The Protomen,https://tvtropes.org/pmwiki/pmwiki.php/Music/TheProtomen
Sigue Sigue Sputnik,https://tvtropes.org/pmwiki/pmwiki.php/Music/SigueSigueSputnik
Suicide,https://tvtropes.org/pmwiki/pmwiki.php/Music/SuicideBand
Taylor Swift,https://tvtropes.org/pmwiki/pmwiki.php/Music/TaylorSwift
Warren Zevon,https://tvtropes.org/pmwiki/pmwiki.php/Music/WarrenZevon
Yellow Magic Orchestra,https://tvtropes.org/pmwiki/pmwiki.php/Music/YellowMagicOrchestra
Solid State Survivor,https://tvtropes.org/pmwiki/pmwiki.php/Music/SolidStateSurvivor
Lil Nas X,https://tvtropes.org/pmwiki/pmwiki.php/Music/LilNasX
Metropolis,https://tvtropes.org/pmwiki/pmwiki.php/Film/Metropolis
Blade Runner,https://tvtropes.org/pmwiki/pmwiki.php/Film/BladeRunner
The Terminator,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheTerminator
A Clockwork Orange,https://tvtropes.org/pmwiki/pmwiki.php/Film/AClockworkOrange
Mad Max,https://tvtropes.org/pmwiki/pmwiki.php/Film/MadMax
Blood Is Mine,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/BloodIsMine
Drugs and Wires,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/DrugsAndWires
Metompsychosis Union,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/MetompsychosisUnion
The Sunjackers,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/TheSunjackers
Pokémon Legends Neo: Ghetsis,https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/PokemonLegendsNeoGhetsis
The United Federation of Charles,https://tvtropes.org/pmwiki/pmwiki.php/Blog/TheUnitedFederationOfCharles
Fenspace,https://tvtropes.org/pmwiki/pmwiki.php/Website/Fenspace
SpongeBob,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/SpongeBobSquarePants
Centurions,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Centurions
My Little Pony: Friendship Is Magic,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/MyLittlePonyFriendshipIsMagic
Æon Flux,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AeonFlux
Batman Beyond,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BatmanBeyond
Centurions,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Centurions
Invader Zim,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/InvaderZim
Phantom 2040,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Phantom2040
Sonic the Hedgehog (SatAM),https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/SonicTheHedgehogSatAM
Spicy City,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/SpicyCity
South Park: Post Covid,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/SouthParkPostCovid
South Park,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/SouthPark
The Return Of Covid,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/SouthParkPostCovidTheReturnOfCovid
TRON: Uprising,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/TronUprising
TaleSpin,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/TaleSpin
Synergia,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/Synergia
Baldr Sky,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/BaldrSky
Snatcher,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/Snatcher
Synergia,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/Synergia
VA-11 HALL-A,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/VA11HALLA
Cyberpunk,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Cyberpunk
Battletech,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Battletech
Cyberpunk,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Cyberpunk
Cyberpunk,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Cyberpunk
Magic: The Gathering,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/MagicTheGathering
Rifts,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Rifts
Rifts,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Rifts
Netrunner,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Netrunner
Android,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Android
Shadowrun,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Shadowrun
Savage Worlds,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/SavageWorlds
The Splinter,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/TheSplinter
Alternative Gods,https://tvtropes.org/pmwiki/pmwiki.php/FanFic/AlternativeGods
Slingers,https://tvtropes.org/pmwiki/pmwiki.php/Series/Slingers
Shadowrun Returns,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ShadowrunReturns
Cyberpunk 2077,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Cyberpunk2077
Far Cry 3: Blood Dragon,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/FarCry3BloodDragon
Killzone,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Killzone
Mega Man (Classic),https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/MegaManClassic
Obsession Pinball,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ObsessionPinball
Iron Storm,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/IronStorm
Dominion Tank Police,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DominionTankPolice
Armitage III,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ArmitageIII
Serial Experiments Lain,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SerialExperimentsLain
Bubblegum Crisis,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BubblegumCrisis
Cyberpunk: Edgerunners,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CyberpunkEdgerunners
Ergo Proxy,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ErgoProxy
Texhnolyze,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Texhnolyze
Genocyber,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Genocyber
Angel Cop,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AngelCop
Cyber City Oedo 808,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CyberCityOedo808
Ghost in the Shell: Stand Alone Complex,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GhostInTheShellStandAloneComplex
Ghost in the Shell: SAC_2045,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GhostInTheShellSAC2045
Megazone 23,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Megazone23
Bubblegum Crisis,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BubblegumCrisis
Macross Plus,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MacrossPlus
Macross,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Macross
Metropolis (2001),https://tvtropes.org/pmwiki/pmwiki.php/Anime/Metropolis2001
Psycho-Pass,https://tvtropes.org/pmwiki/pmwiki.php/Anime/PsychoPass
Viper's Creed,https://tvtropes.org/pmwiki/pmwiki.php/Anime/VipersCreed
AKIRA,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Akira
The Legend of Mother Sarah,https://tvtropes.org/pmwiki/pmwiki.php/Manga/TheLegendOfMotherSarah
Battle Angel Alita,https://tvtropes.org/pmwiki/pmwiki.php/Manga/BattleAngelAlita
Appleseed,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Appleseed
Eden: It's an Endless World!,https://tvtropes.org/pmwiki/pmwiki.php/Manga/EdenItsAnEndlessWorld
