title,url
.hack//SIGN,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DotHackSign
Den-noh Coil,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DenNohCoil
Cowboy Bebop,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CowboyBebop
Neon Genesis Evangelion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion
Puella Magi Madoka Magica,https://tvtropes.org/pmwiki/pmwiki.php/Anime/PuellaMagiMadokaMagica
Zegapain,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Zegapain
BLAME!,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Blame
Gunslinger Girl,https://tvtropes.org/pmwiki/pmwiki.php/Manga/GunslingerGirl
Hokuto no Ken,https://tvtropes.org/pmwiki/pmwiki.php/Manga/HokutoNoKen
on a motorcycle,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Akira
2000 AD,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TwoThousandAD
Judge Dredd,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/JudgeDredd
Barb Wire,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BarbWire
Comics' Greatest World,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/ComicsGreatestWorld
Bucky O'Hare and the Toad Wars!,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BuckyOHareAndTheToadWars
Pugad Baboy,https://tvtropes.org/pmwiki/pmwiki.php/ComicStrip/PugadBaboy
A Certain Magical Index,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex
Paprika,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Paprika
Ninja Slayer,https://tvtropes.org/pmwiki/pmwiki.php/Literature/NinjaSlayer
Neuromancer,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Neuromancer
Ai no Kusabi,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AiNoKusabi
Cassandra Kresnov,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CassandraKresnov
The Caves of Steel,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheCavesOfSteel
Doctor Who New Adventures,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DoctorWhoNewAdventures
True Names,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TrueNames
