title,url
Robotech,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Robotech
Attack on Titan,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AttackOnTitan
Gamera Rebirth,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GameraRebirth
Godzilla: Planet of the Monsters,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GodzillaPlanetOfTheMonsters
Godzilla: City on the Edge of Battle,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GodzillaCityOnTheEdgeOfBattle
Godzilla: The Planet Eater,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GodzillaThePlanetEater
Godzilla: Singular Point,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GodzillaSingularPoint
Neon Genesis Evangelion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion
Rebuild of Evangelion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/RebuildOfEvangelion
Pacific Rim: The Black,https://tvtropes.org/pmwiki/pmwiki.php/Anime/PacificRimTheBlack
SSSS.GRIDMAN,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SSSSGridman
SSSS.DYNɅZENON,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SSSSDynazenon
GRIDMAN UNIVERSE,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GridmanUniverse
The☆Ultraman,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheUltraman
Ultraman: The Adventure Begins,https://tvtropes.org/pmwiki/pmwiki.php/Anime/UltramanTheAdventureBegins
Kaiju Girls,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/KaijuGirls
The Island of Giant Insects,https://tvtropes.org/pmwiki/pmwiki.php/Manga/TheIslandOfGiantInsects
Kaiju Girl Caramelise,https://tvtropes.org/pmwiki/pmwiki.php/Manga/KaijuGirlCaramelise
Kaiju No. 8,https://tvtropes.org/pmwiki/pmwiki.php/Manga/KaijuNumber8
Ultraman,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Ultraman
Ultra Kaiju Anthropomorphization Project Feat Pop Comic Code,https://tvtropes.org/pmwiki/pmwiki.php/Manga/UltraKaijuAnthropomorphizationProjectFeatPopComicCode
Darkness Heels -Lili-,https://tvtropes.org/pmwiki/pmwiki.php/Manga/DarknessHeelsLili
Firebreather,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Firebreather
Giantkiller,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Giantkiller
Godzilla (IDW Publishing),https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/GodzillaIDWPublishing
"Godzilla, King of the Monsters (1977)",https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/GodzillaKingOfTheMonsters1977
Kaijumax,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Kaijumax
Monsters Unleashed,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/MonstersUnleashed
Ultramega,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Ultramega
NES Godzilla Creepypasta,https://tvtropes.org/pmwiki/pmwiki.php/Literature/NESGodzillaCreepypasta
All Your Ruins,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllYourRuins
Atomic Rex,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AtomicRex
The Atomic Time of Monsters,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheAtomicTimeOfMonsters
Clifford the Big Red Dog,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CliffordTheBigRedDog
Daikaiju Yuki,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DaikaijuYuki
The Kaiju Preservation Society,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheKaijuPreservationSociety
Nemesis Saga,https://tvtropes.org/pmwiki/pmwiki.php/Literature/NemesisSaga
Shambling Towards Hiroshima,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ShamblingTowardsHiroshima
Carta Marina,https://tvtropes.org/pmwiki/pmwiki.php/Art/CartaMarina
Godzilla vs. Gigan Rex,https://tvtropes.org/pmwiki/pmwiki.php/Film/GodzillaVsGiganRex
20 Million Miles to Earth,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwentyMillionMilesToEarth
The Amazing Colossal Man,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheAmazingColossalMan
A*P*E,https://tvtropes.org/pmwiki/pmwiki.php/Film/Ape
Attack of the 50-Foot Woman,https://tvtropes.org/pmwiki/pmwiki.php/Film/AttackOfThe50FootWoman
"The Beast from 20,000 Fathoms",https://tvtropes.org/pmwiki/pmwiki.php/Film/TheBeastFromTwentyThousandFathoms
Beginning of the End,https://tvtropes.org/pmwiki/pmwiki.php/Film/BeginningOfTheEnd
Big Man Japan,https://tvtropes.org/pmwiki/pmwiki.php/Film/BigManJapan
The Blob (1958),https://tvtropes.org/pmwiki/pmwiki.php/Film/TheBlob1958
The Blob (1988),https://tvtropes.org/pmwiki/pmwiki.php/Film/TheBlob1988
The Black Scorpion,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheBlackScorpion
Brush Of The God,https://tvtropes.org/pmwiki/pmwiki.php/Film/BrushOfTheGod
Pulgasari,https://tvtropes.org/pmwiki/pmwiki.php/Film/Pulgasari
The Adventures of Galgameth,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheAdventuresOfGalgameth
Cloverfield,https://tvtropes.org/pmwiki/pmwiki.php/Film/Cloverfield
Colossal,https://tvtropes.org/pmwiki/pmwiki.php/Film/Colossal
Daigoro vs. Goliath,https://tvtropes.org/pmwiki/pmwiki.php/Film/DaigoroVsGoliath
Daimajin,https://tvtropes.org/pmwiki/pmwiki.php/Film/Daimajin
