title,url
Canaan,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Canaan
Darker than Black,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DarkerThanBLACK
Gibiate,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gibiate
Marvel Anime,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MarvelAnime
Marvel Anime: Wolverine,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MarvelAnimeWolverine
Marvel Anime: X-Men,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MarvelAnimeXMen
Resident Evil: Damnation,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ResidentEvilDamnation
The Reflection,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheReflection
Scryed,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Scryed
Speed Grapher,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SpeedGrapher
Tiger & Bunny,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TigerAndBunny
Towa no Quon,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TowaNoQuon
Dead Leaves,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DeadLeaves
Ajin,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Ajin
AKIRA,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AKIRA
Alabaster,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Alabaster
Choujin X,https://tvtropes.org/pmwiki/pmwiki.php/Manga/ChoujinX
Elfen Lied,https://tvtropes.org/pmwiki/pmwiki.php/Manga/ElfenLied
Gangsta.,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Gangsta
Gilgamesh,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Gilgamesh
Guyver,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Guyver
Interviews with Monster Girls,https://tvtropes.org/pmwiki/pmwiki.php/Manga/InterviewsWithMonsterGirls
My Hero Academia,https://tvtropes.org/pmwiki/pmwiki.php/Manga/MyHeroAcademia
My Hero Academia Smash!!,https://tvtropes.org/pmwiki/pmwiki.php/Manga/MyHeroAcademiaSmash
My Hero Academia: Team Up Mission,https://tvtropes.org/pmwiki/pmwiki.php/Manga/MyHeroAcademiaTeamUpMission
My Hero Academia: Vigilantes,https://tvtropes.org/pmwiki/pmwiki.php/Manga/MyHeroAcademiaVigilantes
NEEDLESS,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Needless
Nurse Hitomi's Monster Infirmary,https://tvtropes.org/pmwiki/pmwiki.php/Manga/NurseHitomisMonsterInfirmary
Oddman 11,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Oddman11
Ode to Kirihito,https://tvtropes.org/pmwiki/pmwiki.php/Manga/OdeToKirihito
Pupa,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Pupa
Radiant,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Radiant
She Becomes a Tree,https://tvtropes.org/pmwiki/pmwiki.php/Manga/SheBecomesATree
Skull Man,https://tvtropes.org/pmwiki/pmwiki.php/Manga/SkullMan
Tokyo Ghoul,https://tvtropes.org/pmwiki/pmwiki.php/Manga/TokyoGhoul
Toward the Terra,https://tvtropes.org/pmwiki/pmwiki.php/Manga/TowardTheTerra
Translucent,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Translucent
Alt★Hero,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AltHero
Black Hole,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BlackHole
