title,url
Nadia: The Secret of Blue Water,https://tvtropes.org/pmwiki/pmwiki.php/Anime/NadiaTheSecretOfBlueWater
Castle in the Sky,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CastleInTheSky
Chainsaw Man,https://tvtropes.org/pmwiki/pmwiki.php/Manga/ChainsawMan
Dorohedoro,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Dorohedoro
Samurai 8: The Tale of Hachimaru,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Samurai8TheTaleOfHachimaru
The Department of Truth,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheDepartmentOfTruth
King City,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/KingCity
Prophet,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Prophet
Multiple Warheads,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/MultipleWarheads
The Nikopol Trilogy,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheNikopolTrilogy
Saga,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Saga
The Sandman (1989),https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheSandman1989
Shutter,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Shutter
House of Leaves,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HouseOfLeaves
The Southern Reach Trilogy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheSouthernReachTrilogy
The Cosmere,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheCosmere
A Face Like Glass,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AFaceLikeGlass
Cuckoo Song,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CuckooSong
Thursday Next,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ThursdayNext
Nursery Crime,https://tvtropes.org/pmwiki/pmwiki.php/Literature/NurseryCrime
Southern Reach Trilogy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheSouthernReachTrilogy
Ambergris,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Ambergris
Atlan,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Atlan
Bas-Lag Cycle,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BasLagCycle
Perdido Street Station,https://tvtropes.org/pmwiki/pmwiki.php/Literature/PerdidoStreetStation
The Scar,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheScar
Iron Council,https://tvtropes.org/pmwiki/pmwiki.php/Literature/IronCouncil
Borne,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Borne
Caeli-Amur,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CaeliAmur
Castle Cycle,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CastleCycle
Deepgate Codex,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DeepgateCodex
Dusk,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Dusk
Dawn,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Dawn
The Etched City,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheEtchedCity
Encryption Straffe,https://tvtropes.org/pmwiki/pmwiki.php/Literature/EncryptionStraffe
Gormenghast,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Gormenghast
Going Bovine,https://tvtropes.org/pmwiki/pmwiki.php/Literature/GoingBovine
His Dark Materials,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HisDarkMaterials
House of Leaves,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HouseOfLeaves
The Iron Dragon's Daughter,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheIronDragonsDaughter
Jackelian Series,https://tvtropes.org/pmwiki/pmwiki.php/Literature/JackelianSeries
Land And Overland,https://tvtropes.org/pmwiki/pmwiki.php/Literature/LandAndOverland
Legends of the Red Sun,https://tvtropes.org/pmwiki/pmwiki.php/Literature/LegendsOfTheRedSun
Book of the New Sun,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BookOfTheNewSun
Mainspring,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Mainspring
The Poison Master,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ThePoisonMaster
Punktown,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Punktown
The Red Tower,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheRedTower
Rollerskater,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Rollerskater
The Southern Reach Trilogy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheSouthernReachTrilogy
Theatre Of The Gods,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheatreOfTheGods
Tristopolis,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Tristopolis
The Waking Engine,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheWakingEngine
House of Leaves,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HouseOfLeaves
The Southern Reach Trilogy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheSouthernReachTrilogy
The Martian,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheMartian
Deeper Up the Tower,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DeeperUpTheTower
Mirror World,https://tvtropes.org/pmwiki/pmwiki.php/Literature/MirrorWorld
Urban Reverie,https://tvtropes.org/pmwiki/pmwiki.php/Literature/UrbanReverie
House of Leaves,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HouseOfLeaves
The House of Night,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheHouseOfNight
Welcome to Night Vale,https://tvtropes.org/pmwiki/pmwiki.php/Podcast/WelcomeToNightVale
Immortal,https://tvtropes.org/pmwiki/pmwiki.php/Film/Immortal
Annihilation (2018),https://tvtropes.org/pmwiki/pmwiki.php/Film/Annihilation2018
Sorry to Bother You,https://tvtropes.org/pmwiki/pmwiki.php/Film/SorryToBotherYou
Inland Empire,https://tvtropes.org/pmwiki/pmwiki.php/Film/InlandEmpire
The Backrooms,https://tvtropes.org/pmwiki/pmwiki.php/WebOriginal/TheBackrooms
The Clockwork Raven,https://tvtropes.org/pmwiki/pmwiki.php/WebOriginal/TheClockworkRaven
FAMIB,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/FAMIB
Floraverse,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Floraverse
Homestuck,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Homestuck
Kill Six Billion Demons,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/KillSixBillionDemons
Mountain Time,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/MountainTime
Overside,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Overside
Adventure Time,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime
Gravity Falls,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/GravityFalls
Hilda,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Hilda
Infinity Train,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/InfinityTrain
Welcome to the Wayne,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/WelcomeToTheWayne
Blades in the Dark,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/BladesInTheDark
Dungeons & Dragons,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/DungeonsAndDragons
Dark Sun,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/DarkSun
Eberron,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Eberron
Nentir Vale,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/NentirVale
Planescape,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Planescape
Spelljammer,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Spelljammer
Electric Bastionland,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/ElectricBastionland
Invisible Sun,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/InvisibleSun
