title,url
A Certain Magical Index: Miracle of Endymion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ACertainMagicalIndexMiracleOfEndymion
Belle (2021),https://tvtropes.org/pmwiki/pmwiki.php/Anime/Belle2021
Cowboy Bebop,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CowboyBebop
Den-noh Coil,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DenNohCoil
The Orbital Children,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheOrbitalChildren
Gatchaman Crowds,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GatchamanCrowds
Ergo Proxy,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ErgoProxy
Psycho-Pass,https://tvtropes.org/pmwiki/pmwiki.php/Anime/PsychoPass
Ghost in the Shell: Stand Alone Complex,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GhostInTheShellStandAloneComplex
Digimon Tamers,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonTamers
Lain,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SerialExperimentsLain
Digimon Universe: App Monsters,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonUniverseAppMonsters
Summer Wars,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SummerWars
Real Drive,https://tvtropes.org/pmwiki/pmwiki.php/Anime/RealDrive
Den-noh Coil,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DenNohCoil
Yu-Gi-Oh!,https://tvtropes.org/pmwiki/pmwiki.php/Anime/YuGiOh
A Certain Magical Index: Miracle of Endymion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ACertainMagicalIndexMiracleOfEndymion
Astro Boy,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AstroBoy
A Certain Scientific Railgun,https://tvtropes.org/pmwiki/pmwiki.php/Manga/ACertainScientificRailgun
Appleseed,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Appleseed
Astro Boy,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AstroBoy
Pluto,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Pluto
Astro Boy,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AstroBoy
Appleseed,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Appleseed
Chihayafuru,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Chihayafuru
Firewake,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Firewake
Transmetropolitan,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Transmetropolitan
Wildcats 3.0,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/WildCATSWildStorm
