title,url
G Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileFighterGGundam
Mobile Suit Gundam Wing,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamWing
∀ Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TurnAGundam
Mobile Suit Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam
Mobile Suit Gundam: The 08th MS Team,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamThe08thMSTeam
Mobile Suit Gundam MS IGLOO,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamMSIGLOO
Mobile Suit Gundam 0080: War in the Pocket,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam0080WarInThePocket
Mobile Suit Gundam 0083: Stardust Memory,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam0083StardustMemory
Mobile Suit Gundam Unicorn,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamUnicorn
Mobile Fighter G Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileFighterGGundam
Mobile Suit Gundam: Iron-Blooded Orphans,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamIronBloodedOrphans
Mobile Suit Gundam Wing,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamWing
Combat Mecha Xabungle,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Xabungle
Super Dimension Fortress Macross,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SuperDimensionFortressMacross
Macross,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Macross
Macross 7,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Macross7
Super Dimension Cavalry Southern Cross,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SuperDimensionCavalrySouthernCross
Genesis Climber MOSPEADA,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GenesisClimberMospeada
Robotech,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Robotech
Robotech II: The Sentinels,https://tvtropes.org/pmwiki/pmwiki.php/Anime/RobotechIITheSentinels
Martian Successor Nadesico,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MartianSuccessorNadesico
Armored Trooper VOTOMS,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ArmoredTrooperVotoms
Str.A.In.: Strategic Armored Infantry,https://tvtropes.org/pmwiki/pmwiki.php/Anime/StrainStrategicArmoredInfantry
Dai-Guard,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DaiGuard
Code Geass,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CodeGeass
Mobile Suit Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam
Armored Trooper VOTOMS,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ArmoredTrooperVotoms
Flag,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Flag
Gaiking: Legend of Daiku Maryu,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GaikingLegendOfDaikuMaryu
Gaiking,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gaiking
Blue Comet SPT Layzner,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BlueCometSPTLayzner
Viper's Creed,https://tvtropes.org/pmwiki/pmwiki.php/Anime/VipersCreed
Argevollen,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Argevollen
Aldnoah.Zero,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AldnoahZero
Panzer World Galient,https://tvtropes.org/pmwiki/pmwiki.php/Anime/PanzerWorldGalient
Neon Genesis Evangelion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion
Obsolete,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Obsolete
Active Raid,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ActiveRaid
AMAIM Warrior at the Borderline,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AmaimWarriorAtTheBorderline
Rumble Garanndoll,https://tvtropes.org/pmwiki/pmwiki.php/Anime/RumbleGaranndoll
Aura Battler Dunbine,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AuraBattlerDunbine
The Second Renaissance Part II,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheAnimatrix
Aquarion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GenesisOfAquarion
G Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileFighterGGundam
