title,url
8th Man,https://tvtropes.org/pmwiki/pmwiki.php/Anime/EighthMan
All-Purpose Cultural Cat Girl Nuku Nuku,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AllPurposeCulturalCatGirlNukuNuku
Android Announcer Maico 2010,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AndroidAnnouncerMaico2010
Android Kikaider: The Animation,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AndroidKikaiderTheAnimation
Armitage III,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ArmitageIII
Astro Boy,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AstroBoy
Aura Battler Dunbine,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AuraBattlerDunbine
Blue Comet SPT Layzner,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BlueCometSPTLayzner
Brave Series,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BraveSeries
Brave Exkaiser,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BraveExkaiser
The Brave Fighter of Sun Fighbird,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheBraveFighterOfSunFighbird
The Brave Fighter of Legend Da-Garn,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheBraveFighterOfLegendDaGarn
The Brave Express Might Gaine,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheBraveExpressMightGaine
Brave Police J-Decker,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BravePoliceJDecker
The Brave of Gold Goldran,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheBraveOfGoldGoldran
Brave Command Dagwon,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BraveCommandDagwon
GaoGaiGar,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GaoGaiGar
GaoGaiGar FINAL,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GaoGaiGarFinal
Busou Shinki,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BusouShinki
Cyborg 009 (1966),https://tvtropes.org/pmwiki/pmwiki.php/Anime/Cyborg0091966
Cyborg 009: Monster Wars,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Cyborg009MonsterWars
Cyborg 009 The Movie: Legend of the Super Galaxy,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Cyborg009TheMovieLegendOfTheSuperGalaxy
009 Re:Cyborg,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ZeroZeroNineReCyborg
Cyborg 009 VS Devilman,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Cyborg009VSDevilman
Cyborg 009: Call of Justice,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Cyborg009CallOfJustice
Cybot Robotchi,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CybotRobotchi
Daitarn 3,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Daitarn3
Danganronpa: The Animation,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DanganronpaTheAnimation
Digimon Adventure,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonAdventure
Digimon Adventure 02,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonAdventure02
Digimon Tamers,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonTamers
Digimon Frontier,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonFrontier
Digimon Data Squad,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonDataSquad
Digimon Fusion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonFusion
Digimon Xros Wars: The Young Hunters Who Leapt Through Time,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonXrosWarsTheYoungHuntersWhoLeaptThroughTime
Digimon Universe: App Monsters,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonUniverseAppMonsters
Digimon Adventure: (2020),https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonAdventure2020
Digimon Ghost Game,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonGhostGame
Dragon Ball Z,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallZ
Dragon Ball Z: The Return of Cooler,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallZTheReturnOfCooler
 Dragon Ball Z: Super Android 13!,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallZSuperAndroid13
Eden,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Eden
Expelled from Paradise,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ExpelledFromParadise
FLCL,https://tvtropes.org/pmwiki/pmwiki.php/Anime/FLCL
Frame Arms Girls,https://tvtropes.org/pmwiki/pmwiki.php/Anime/FrameArmsGirls
Gaiking,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gaiking
Gaiking: Legend of Daiku Maryu,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GaikingLegendOfDaikuMaryu
Gasaraki,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gasaraki
GEAR Fighter Dendoh,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GearFighterDendoh
Ghost in the Shell: Stand Alone Complex,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GhostInTheShellStandAloneComplex
Ghost in the Shell: Arise,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GhostInTheShellArise
Ghost in the Shell: SAC_2045,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GhostInTheShellSAC2045
Giant Gorg,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GiantGorg
Gigantor,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gigantor
Ginga Hyouryuu Vifam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GingaHyouryuuVifam
God Mars,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GodMars
God Sigma,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GodSigma
Mobile Suit Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam
Mobile Suit Zeta Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitZetaGundam
Mobile Suit Gundam ZZ,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamZZ
Mobile Suit Gundam: Char's Counterattack,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamCharsCounterattack
Mobile Suit Gundam 0080: War in the Pocket,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam0080WarInThePocket
Mobile Suit Gundam 0083: Stardust Memory,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam0083StardustMemory
Mobile Suit Gundam F91,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamF91
Mobile Suit Victory Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitVictoryGundam
Mobile Fighter G Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileFighterGGundam
Mobile Suit Gundam Wing,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamWing
Mobile Suit Gundam Wing: Endless Waltz,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamWingEndlessWaltz
Mobile Suit Gundam: The 08th MS Team,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamThe08thMSTeam
After War Gundam X,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AfterWarGundamX
∀ Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TurnAGundam
Mobile Suit Gundam SEED,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamSeed
Mobile Suit Gundam Seed Destiny,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamSeedDestiny
Mobile Suit Gundam 00,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam00
Gundam 00: A Wakening of the Trailblazer,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gundam00AWakeningOfTheTrailblazer
Mobile Suit Gundam Unicorn,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamUnicorn
Mobile Suit Gundam AGE,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamAGE
Gundam: Reconguista in G,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GundamReconguistaInG
Mobile Suit Gundam: Iron-Blooded Orphans,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamIronBloodedOrphans
Mobile Suit Gundam Narrative,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamNarrative
Mobile Suit Gundam: The Witch from Mercury,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamTheWitchFromMercury
Hand Maid May,https://tvtropes.org/pmwiki/pmwiki.php/Anime/HandMaidMay
Heat Guy J,https://tvtropes.org/pmwiki/pmwiki.php/Anime/HeatGuyJ
Heavy Metal L-Gaim,https://tvtropes.org/pmwiki/pmwiki.php/Anime/HeavyMetalLGaim
HEYBOT!,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Heybot
I Dream of Mimi,https://tvtropes.org/pmwiki/pmwiki.php/Anime/IDreamOfMimi
Jinzō Konchū Kabuto Borg VxV,https://tvtropes.org/pmwiki/pmwiki.php/Anime/JinzoKonchuKabutoBorgVXV
Key the Metal Idol,https://tvtropes.org/pmwiki/pmwiki.php/Anime/KeyTheMetalIdol
Kotetsu Jeeg,https://tvtropes.org/pmwiki/pmwiki.php/Anime/KotetsuJeeg
Kowarekake no Orgel,https://tvtropes.org/pmwiki/pmwiki.php/Anime/KowarekakeNoOrgel
Mashin Hero Wataru Series,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MashinHeroWataruSeries
Mashin Hero Wataru The Seven Spirits Of Ryujinmaru,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MashinHeroWataruTheSevenSpiritsOfRyujinmaru
Mazinger Z,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MazingerZ
Great Mazinger,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GreatMazinger
UFO Robo Grendizer,https://tvtropes.org/pmwiki/pmwiki.php/Anime/UFORoboGrendizer
God Mazinger,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GodMazinger
Mazinkaiser,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Mazinkaiser
Shin Mazinger,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ShinMazinger
Mazinger Z: Infinity,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MazingerZInfinity
Mega Man: Upon a Star,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MegaManUponAStar
MegaMan NT Warrior (2002),https://tvtropes.org/pmwiki/pmwiki.php/Anime/MegaManNTWarrior2002
Metal Armor Dragonar,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MetalArmorDragonar
Mirai Robo Daltanious,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MiraiRoboDaltanious
Miss Monochrome,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MissMonochrome
Neo Human Casshern,https://tvtropes.org/pmwiki/pmwiki.php/Anime/NeoHumanCasshern
Casshan: Robot Hunter,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CasshanRobotHunter
Casshern Sins,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CasshernSins
Net Ghost PiPoPa,https://tvtropes.org/pmwiki/pmwiki.php/Anime/NetGhostPiPoPa
The Orbital Children,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheOrbitalChildren
Overman King Gainer,https://tvtropes.org/pmwiki/pmwiki.php/Anime/OvermanKingGainer
Plastic Memories,https://tvtropes.org/pmwiki/pmwiki.php/Anime/PlasticMemories
Prima Doll,https://tvtropes.org/pmwiki/pmwiki.php/Anime/PrimaDoll
Raideen,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Raideen
Robot Romance Trilogy,https://tvtropes.org/pmwiki/pmwiki.php/Anime/RobotRomanceTrilogy
Combattler V,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CombattlerV
Voltes V,https://tvtropes.org/pmwiki/pmwiki.php/Anime/VoltesV
Daimos,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Daimos
Saber Marionette J,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SaberMarionetteJ
Saber Marionette R,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SaberMarionetteR
Samurai Pizza Cats,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SamuraiPizzaCats
Shippu! Iron Leaguer,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ShippuIronLeaguer
Steel Angel Kurumi 2,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SteelAngelKurumi2
