title,url
Aura Battler Dunbine,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AuraBattlerDunbine
Bio-Hunter,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BioHunter
Digimon Tamers,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonTamers
Digimon Universe: App Monsters,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonUniverseAppMonsters
Dragon Ball Z,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallZ
Dragon Ball Super,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallSuper
El-Hazard: The Magnificent World,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ElHazardTheMagnificentWorld
Leijiverse,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Leijiverse
Captain Harlock,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CaptainHarlock
Space Battleship Yamato,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SpaceBattleshipYamato
Mnemosyne,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Mnemosyne
Panzer World Galient,https://tvtropes.org/pmwiki/pmwiki.php/Anime/PanzerWorldGalient
Puella Magi Madoka Magica,https://tvtropes.org/pmwiki/pmwiki.php/Anime/PuellaMagiMadokaMagica
Sailor Moon,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SailorMoon
Star★Twinkle Pretty Cure,https://tvtropes.org/pmwiki/pmwiki.php/Anime/StarTwinklePrettyCure
Tweeny Witches,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TweenyWitches
The Vision of Escaflowne,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheVisionOfEscaflowne
Wolf's Rain,https://tvtropes.org/pmwiki/pmwiki.php/Anime/WolfsRain
Advent Children,https://tvtropes.org/pmwiki/pmwiki.php/Anime/FinalFantasyVIIAdventChildren
Boonie Bears,https://tvtropes.org/pmwiki/pmwiki.php/Animation/BoonieBears
Broken Saints,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/BrokenSaints
Kubo Punko,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/KuboPunko
Matt 'n' Dusty,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/MattNDusty
RWBY,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/RWBY
Confinement,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/Confinement
Detective Void,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/DetectiveVoid
SCP Animated - Tales from the Foundation,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/SCPAnimatedTalesFromTheFoundation
SCP Chronicles,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/SCPChronicles
ARIA,https://tvtropes.org/pmwiki/pmwiki.php/Manga/ARIA
Dandadan,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Dandadan
Dragon Ball,https://tvtropes.org/pmwiki/pmwiki.php/Manga/DragonBall
EDENS ZERO,https://tvtropes.org/pmwiki/pmwiki.php/Manga/EdensZero
Hunter × Hunter,https://tvtropes.org/pmwiki/pmwiki.php/Manga/HunterXHunter
Gintama,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Gintama
Galaxy Express 999,https://tvtropes.org/pmwiki/pmwiki.php/Manga/GalaxyExpress999
Queen Millennia,https://tvtropes.org/pmwiki/pmwiki.php/Manga/QueenMillennia
Negima! Magister Negi Magi,https://tvtropes.org/pmwiki/pmwiki.php/Manga/NegimaMagisterNegiMagi
Outlaw Star,https://tvtropes.org/pmwiki/pmwiki.php/Manga/OutlawStar
Samurai 8: The Tale of Hachimaru,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Samurai8TheTaleOfHachimaru
Urusei Yatsura,https://tvtropes.org/pmwiki/pmwiki.php/Manga/UruseiYatsura
Urusei Yatsura,https://tvtropes.org/pmwiki/pmwiki.php/Manga/UruseiYatsura
Zombiepowder.,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Zombiepowder
Übel Blatt,https://tvtropes.org/pmwiki/pmwiki.php/Manga/UbelBlatt
Bloodline: The Last Royal Vampire,https://tvtropes.org/pmwiki/pmwiki.php/Manhua/BloodlineTheLastRoyalVampire
Invincible,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Invincible
Judge Dredd,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/JudgeDredd
Pathfinder: Worldscape,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/PathfinderWorldscape
Rom Spaceknight,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/RomSpaceknight
Saga,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Saga
Soulfire,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Soulfire
daughter of Zeus,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/WonderWoman
New Gods,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/NewGods
Ghost Rider,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/GhostRider
the original comic,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Invincible
Arawn,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Arawn
Mars,https://tvtropes.org/pmwiki/pmwiki.php/Literature/JohnCarterOfMars
granddaddy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheLordOfTheRings
The Acts of Caine,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheActsOfCaine
Almost Night,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AlmostNight
Apprentice Adept,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ApprenticeAdept
Artemis Fowl,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ArtemisFowl
The Asterisk War,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheAsteriskWar
Belisarius Series,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BelisariusSeries
Beyond Reality,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BeyondReality
The Bone Season,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheBoneSeason
The Solomon Code,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheSolomonCode
Book of the New Sun,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BookOfTheNewSun
A Certain Magical Index,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex
Daikaiju Yuki,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DaikaijuYuki
Dante Valentine,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DanteValentine
The Dark Angel Trilogy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheDarkAngelTrilogy
Discworld,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Discworld
The Last Hero,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheLastHero
The Science of Discworld,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheScienceOfDiscworld
Dragaera,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Dragaera
Dragon Pearl,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DragonPearl
Ecko Rising,https://tvtropes.org/pmwiki/pmwiki.php/Literature/EckoRising
Encryption Straffe,https://tvtropes.org/pmwiki/pmwiki.php/Literature/EncryptionStraffe
Eighth Doctor Adventures,https://tvtropes.org/pmwiki/pmwiki.php/Literature/EighthDoctorAdventures
Doctor Who New Adventures,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DoctorWhoNewAdventures
Feral: The Story of a Half-Orc,https://tvtropes.org/pmwiki/pmwiki.php/Literature/FeralTheStoryOfAHalfOrc
The First Dwarf King,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheFirstDwarfKing
Freakling,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Freakling
Glory Road,https://tvtropes.org/pmwiki/pmwiki.php/Literature/GloryRoad
Grunts!,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Grunts
His Dark Materials,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HisDarkMaterials
