title,url
Bio-Hunter,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BioHunter
Blue Gender,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BlueGender
B: The Beginning,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BTheBeginning
Danganronpa: The Animation,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DanganronpaTheAnimation
Danganronpa 3: The End of Hope's Peak High School,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Danganronpa3TheEndOfHopesPeakHighSchool
Genocyber,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Genocyber
Hero Mask,https://tvtropes.org/pmwiki/pmwiki.php/Anime/HeroMask
Iczer-One,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Iczer
Mars of Destruction,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MarsOfDestruction
Neon Genesis Evangelion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion
Resident Evil: Infinite Darkness,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ResidentEvilInfiniteDarkness
Serial Experiments Lain,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SerialExperimentsLain
Vampire Wars,https://tvtropes.org/pmwiki/pmwiki.php/Anime/VampireWars
Kite Liberator,https://tvtropes.org/pmwiki/pmwiki.php/Anime/KiteLiberator
Lily C.A.T.,https://tvtropes.org/pmwiki/pmwiki.php/Anime/LilyCAT
Memories,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Memories
Resident Evil: Degeneration,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ResidentEvilDegeneration
Resident Evil: Damnation,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ResidentEvilDamnation
Resident Evil: Vendetta,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ResidentEvilVendetta
Seoul Station,https://tvtropes.org/pmwiki/pmwiki.php/Animation/SeoulStation
Autodale,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/Autodale
Internecion Cube,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/InternecionCube
Murder Drones,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/MurderDrones
Shed 17,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/Shed17
AKIRA,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Akira
Alien Nine,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AlienNine
Bio-Meat: Nectar,https://tvtropes.org/pmwiki/pmwiki.php/Manga/BioMeatNectar
Biomega,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Biomega
Brynhildr in the Darkness,https://tvtropes.org/pmwiki/pmwiki.php/Manga/BrynhildrInTheDarkness
Deadman Wonderland,https://tvtropes.org/pmwiki/pmwiki.php/Manga/DeadmanWonderland
Denjin N,https://tvtropes.org/pmwiki/pmwiki.php/Manga/DenjinN
Drifting Classroom,https://tvtropes.org/pmwiki/pmwiki.php/Manga/DriftingClassroom
Elfen Lied,https://tvtropes.org/pmwiki/pmwiki.php/Manga/ElfenLied
Emerging,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Emerging
