title,url
Infinite Ryvius,https://tvtropes.org/pmwiki/pmwiki.php/Anime/InfiniteRyvius
Stellvia of the Universe,https://tvtropes.org/pmwiki/pmwiki.php/Anime/StellviaOfTheUniverse
Tenchi Muyo! GXP,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TenchiMuyoGXP
Majestic Prince,https://tvtropes.org/pmwiki/pmwiki.php/Manga/MajesticPrince
Pilot Candidate,https://tvtropes.org/pmwiki/pmwiki.php/Manga/PilotCandidate
Starfleet Academy,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/StarfleetAcademy
Cleopatra in Space,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/CleopatraInSpace
Jedi Academy Trilogy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/JediAcademyTrilogy
Young Jedi Knights,https://tvtropes.org/pmwiki/pmwiki.php/Literature/YoungJediKnights
Ender's Game,https://tvtropes.org/pmwiki/pmwiki.php/Literature/EndersGame
Fleet School,https://tvtropes.org/pmwiki/pmwiki.php/Literature/FleetSchool
Ciaphas Cain,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CiaphasCain
Space Cadet,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SpaceCadet
Honor Harrington,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HonorHarrington
Vorkosigan Saga,https://tvtropes.org/pmwiki/pmwiki.php/Literature/VorkosiganSaga
Arrivals from the Dark,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ArrivalsFromTheDark
Dune,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Dune
Space Academy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SpaceAcademy
Ender's Game,https://tvtropes.org/pmwiki/pmwiki.php/Literature/EndersGame
The Last Jedi,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheLastJedi
Solo: A Star Wars Story,https://tvtropes.org/pmwiki/pmwiki.php/Film/Solo
Spacecamp,https://tvtropes.org/pmwiki/pmwiki.php/Film/Spacecamp
the 2009 movie,https://tvtropes.org/pmwiki/pmwiki.php/Film/StarTrek2009
SpaceCamp,https://tvtropes.org/pmwiki/pmwiki.php/Film/SpaceCamp
Wing Commander Academy,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/WingCommanderAcademy
Ben 10,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Ben10
Cleopatra in Space,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/CleopatraInSpace
The Fairly OddParents!,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/TheFairlyOddParents
Buzz Lightyear of Star Command,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BuzzLightyearOfStarCommand
Sym-Bionic Titan,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/SymBionicTitan
Transformers: Animated,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/TransformersAnimated
Voltron: Legendary Defender,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/VoltronLegendaryDefender
"Warhammer 40,000",https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Warhammer40000
Star Trek: Enterprise,https://tvtropes.org/pmwiki/pmwiki.php/Series/StarTrekEnterprise
Babylon 5,https://tvtropes.org/pmwiki/pmwiki.php/Series/BabylonFive
Space Cases,https://tvtropes.org/pmwiki/pmwiki.php/Series/SpaceCases
Red Dwarf,https://tvtropes.org/pmwiki/pmwiki.php/Series/RedDwarf
Pandora,https://tvtropes.org/pmwiki/pmwiki.php/Series/Pandora
Space Academy,https://tvtropes.org/pmwiki/pmwiki.php/Series/SpaceAcademy
Dark Forces Saga,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DarkForcesSaga
Star Trek: Starfleet Academy,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/StarTrekStarfleetAcademy
Star Trek: Klingon Academy,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/StarTrekKlingonAcademy
Star Trek Online,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/StarTrekOnline
Wing Commander,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/WingCommander
MechQuest,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/MechQuest
Space Quest V: The Next Mutation,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SpaceQuestVTheNextMutation
