title,url
Ki Manipulation,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/KiManipulation
Phlebotinum,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Phlebotinum
Pure Energy,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/PureEnergy
Energy Weapon,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EnergyWeapon
Radioactive Tropes,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/RadioactiveTropes
Agony Beam,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AgonyBeam
Beam O War,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BeamOWar
Beam Spam,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BeamSpam
Breath Weapon,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BreathWeapon
Converging Stream Weapon,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ConvergingStreamWeapon
Death Ray,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DeathRay
Disintegrator Ray,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DisintegratorRay
Energy Ball,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EnergyBall
Energy Bow,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EnergyBow
Energy Ring Attack,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EnergyRingAttack
Eye Beams,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EyeBeams
Fire Breathing Weapon,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/FireBreathingWeapon
Hand Blast,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HandBlast
Head Blast,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HeadBlast
Hard Light,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HardLight
Hypno Ray,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HypnoRay
Homing Lasers,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HomingLasers
Kamehame Hadoken,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/KamehameHadoken
Kill Sat,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/KillSat
Lightning Gun,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/LightningGun
Magic Missile Storm,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/MagicMissileStorm
Plasma Cannon,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/PlasmaCannon
Projectile Spell,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ProjectileSpell
Ray Gun,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/RayGun
Reflecting Laser,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ReflectingLaser
Shrink Ray,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ShrinkRay
Slow Laser,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/SlowLaser
Sweeping Laser Explosion,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/SweepingLaserExplosion
Sword Beam,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/SwordBeam
Tractor Beam,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TractorBeam
Transformation Ray,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TransformationRay
Wave Motion Gun,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/WaveMotionGun
Wave Motion Tuning Fork,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/WaveMotionTuningFork
We Will Use Lasers In The Future,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/WeWillUseLasersInTheFuture
Video Game Effects And Spells,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/VideoGameEffectsAndSpells
Special Attack,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/SpecialAttack
