title,url
Transhuman,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Transhuman
Uplifted Animal,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/UpliftedAnimal
Functional Magic,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/FunctionalMagic
Applied Phlebotinum,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AppliedPhlebotinum
The Chosen One,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TheChosenOne
Superpower Lottery,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/SuperpowerLottery
Charles Atlas Superpower,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/CharlesAtlasSuperpower
Romanticism Versus Enlightenment,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/RomanticismVersusEnlightenment
No Transhumanism Allowed,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/NoTranshumanismAllowed
Job Stealing Robot,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/JobStealingRobot
The Singularity,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TheSingularity
Terraforming,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Terraforming
Misery Builds Character,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/MiseryBuildsCharacter
Beware The Superman,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BewareTheSuperman
The Social Darwinist,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TheSocialDarwinist
Evilutionary Biologist,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EvilutionaryBiologist
A God Am I,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Cybernetics Eat Your Soul,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/CyberneticsEatYourSoul
Artificial Intelligence,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialIntelligence
Screw The Rules I Have Money,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ScrewTheRulesIHaveMoney
Screw The Rules I Make Them,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ScrewTheRulesIMakeThem
Screw The Rules I Have Connections,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ScrewTheRulesIHaveConnections
Ludd Was Right,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/LuddWasRight
Noble Savage,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/NobleSavage
I Want My Jet Pack,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/IWantMyJetPack
Applied Phlebotinum,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AppliedPhlebotinum
Brain Uploading,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BrainUploading
Wetware C P U,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/WetwareCPU
A Nazi By Any Other Name,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ANaziByAnyOtherName
Mad Scientist,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/MadScientist
A God Am I,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Cybernetics Eat Your Soul,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/CyberneticsEatYourSoul
Ascend To A Higher Plane Of Existence,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AscendToAHigherPlaneOfExistence
Would Be Rude To Say Genocide,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/WouldBeRudeToSayGenocide
Squick,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Squick
Deadly Upgrade,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DeadlyUpgrade
Utopia Justifies The Means,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/UtopiaJustifiesTheMeans
Artificial Limbs,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialLimbs
Stock Superpowers Index,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/StockSuperpowersIndex
No Transhumanism Allowed,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/NoTranshumanismAllowed
Cyberpunk,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Cyberpunk
Post Cyberpunk,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/PostCyberpunk
Ubermensch,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Ubermensch
Blue And Orange Morality,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Sub Trope,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/SubTrope
Trans Nature,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TransNature
Mutants,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Mutants
Human Subspecies,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HumanSubspecies
Formerly Sapient Species,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/FormerlySapientSpecies
Anthropomorphic Transformation,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AnthropomorphicTransformation
Artificial Animal People,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialAnimalPeople
Beast Man,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BeastMan
Funny Animal,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/FunnyAnimal
Half Human Hybrid,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Artificial Hybrid,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialHybrid
Artificial Human,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialHuman
Exactly What It Says On The Tin,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ExactlyWhatItSaysOnTheTin
Designer Babies,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DesignerBabies
Artificial Hybrid,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialHybrid
Artificial Limbs,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialLimbs
Artificial Limbs Are Stronger,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialLimbsAreStronger
Ascend To A Higher Plane Of Existence,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AscendToAHigherPlaneOfExistence
Assimilation Plot,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AssimilationPlot
Hive Mind,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HiveMind
Badass Transplant,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BadassTransplant
Being Human Sucks,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BeingHumanSucks
Beware The Superman,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BewareTheSuperman
Bio Augmentation,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BioAugmentation
Cyborg,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Cyborg
Brain Uploading,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BrainUploading
Cloning Blues,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/CloningBlues
Clones Are People Too,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ClonesArePeopleToo
