title,url
Tropes Out On A Limb,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TropesOutOnALimb
Abnormal Limb Rotation Range,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AbnormalLimbRotationRange
Animate Body Parts,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AnimateBodyParts
Appendage Assimilation,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AppendageAssimilation
Artificial Limbs,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialLimbs
Artificial Limbs Are Stronger,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialLimbsAreStronger
Breaking In Old Habits,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BreakingInOldHabits
Ill Be In My Bunk,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/IllBeInMyBunk
Cognizant Limbs,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/CognizantLimbs
Cranium Chase,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/CraniumChase
Detachment Combat,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DetachmentCombat
Detachable Lower Half,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DetachableLowerHalf
Dismemberment Is Cheap,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DismembermentIsCheap
Easily Detachable Robot Parts,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EasilyDetachableRobotParts
Electronic Eyes,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ElectronicEyes
Evil Hand,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EvilHand
Eye Spy,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EyeSpy
Fake Arm Disarm,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/FakeArmDisarm
Good Prosthetic Evil Prosthetic,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/GoodProstheticEvilProsthetic
Ironically Disabled Artist,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/IronicallyDisabledArtist
Helping Hands,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HelpingHands
Hook Hand,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HookHand
Lego Body Parts,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/LegoBodyParts
Losing Your Head,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/LosingYourHead
Organ Autonomy,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/OrganAutonomy
Plug N Play Prosthetics,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/PlugNPlayProsthetics
Prosthetic Limb Reveal,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ProstheticLimbReveal
Pulling Themselves Together,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/PullingThemselvesTogether
Seadog Peg Leg,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/SeadogPegLeg
Serial Prostheses,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/SerialProstheses
Swiss Army Appendage,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/SwissArmyAppendage
Who Needs Their Whole Body,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/WhoNeedsTheirWholeBody
Who Even Needs A Brain,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/WhoEvenNeedsABrain
