title,url
Magical Computer,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/MagicalComputer
Hollywood Style,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HollywoodStyle
Techno Wizard,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TechnoWizard
Cyberspace,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Cyberspace
Magitek,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Magitek
Clarkes Third Law,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ClarkesThirdLaw
The Alleged Computer,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TheAllegedComputer
The Alternet,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TheAlternet
Artificial Intelligence,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialIntelligence
A I Is A Crapshoot,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AIIsACrapshoot
Benevolent A I,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BenevolentAI
Beeping Computers,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BeepingComputers
Billions Of Buttons,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BillionsOfButtons
Computer Equals Monitor,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ComputerEqualsMonitor
Computer Equals Tapedrive,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ComputerEqualsTapedrive
The Computer Is Your Friend,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TheComputerIsYourFriend
Computers Speak Binary,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ComputersSpeakBinary
Computer Virus,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ComputerVirus
Contagious A I,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ContagiousAI
Cool Code Of Source,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/CoolCodeOfSource
The Cracker,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TheCracker
Cut The Juice,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/CutTheJuice
Cyber Green,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/CyberGreen
Destruction Equals Off Switch,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DestructionEqualsOffSwitch
Deus Est Machina,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DeusEstMachina
Digital Abomination,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DigitalAbomination
Digitized Hacker,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DigitizedHacker
Dueling Hackers,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DuelingHackers
Enhance Button,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EnhanceButton
Everything Is Online,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EverythingIsOnline
Everything Sensor,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EverythingSensor
Exact Progress Bar,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ExactProgressBar
Expositron9000,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Expositron9000
Extreme Graphical Representation,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ExtremeGraphicalRepresentation
Facial Recognition Software,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/FacialRecognitionSoftware
The Genie In The Machine,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TheGenieInTheMachine
