title,url
Ace Custom,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AceCustom
American Robot,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AmericanRobot
Animal Mecha,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AnimalMecha
Arm Cannon,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArmCannon
Armored Coffins,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArmoredCoffins
Bell Bottom Limbed Bots,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BellBottomLimbedBots
B F S,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BFS
Caped Mecha,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/CapedMecha
Chest Blaster,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ChestBlaster
Chicken Walker,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ChickenWalker
Combining Mecha,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/CombiningMecha
Cyber Cyclops,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/CyberCyclops
Deflector Shields,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DeflectorShields
Doomed Upgrade,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DoomedUpgrade
Eye Beams,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EyeBeams
Fem Bot,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/FemBot
First Church Of Mecha,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/FirstChurchOfMecha
Giant Robot Hands Save Lives,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/GiantRobotHandsSaveLives
Giant Scrap Robot,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/GiantScrapRobot
Head Blast,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HeadBlast
Hover Mecha,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HoverMecha
Hover Skates,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HoverSkates
Humongous Mecha,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HumongousMecha
Idiosyncratic Mecha Storage,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/IdiosyncraticMechaStorage
If It Swims It Flies,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/IfItSwimsItFlies
Impossibly Graceful Giant,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ImpossiblyGracefulGiant
Instant Armor,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/InstantArmor
Instant Awesome Just Add Mecha,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/InstantAwesomeJustAddMecha
Kibbles And Bits,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/KibblesAndBits
The Kid With The Remote Control,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TheKidWithTheRemoteControl
Leader Forms The Head,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/LeaderFormsTheHead
