title,url
Atomic Hate,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AtomicHate
Ranged Energy Attack Tropes,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/RangedEnergyAttackTropes
Heat Index,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HeatIndex
Heliotropes,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Heliotropes
Metallic Tropes,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/MetallicTropes
Power,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Power
Ranged Energy Attack Tropes,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/RangedEnergyAttackTropes
Superweapon,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Superweapon
Technological Tropes,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TechnologicalTropes
This Index Glows,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ThisIndexGlows
This Index Is On Fire,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ThisIndexIsOnFire
Toxic Tropes,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ToxicTropes
Transformation Causes,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TransformationCauses
Tropes That Go Boom,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TropesThatGoBoom
Atomic Hate,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AtomicHate
Artistic License Nuclear Physics,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtisticLicenseNuclearPhysics
Artistic License,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtisticLicense
Going Critical,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/GoingCritical
Instant Cooldown,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/InstantCooldown
Dirty Bomb,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DirtyBomb
E M P,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EMP
Fantastic Radiation Shielding,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/FantasticRadiationShielding
Anti Radiation Drug,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AntiRadiationDrug
Fast Killing Radiation,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/FastKillingRadiation
Hiroshima As A Unit Of Measure,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/HiroshimaAsAUnitOfMeasure
Nuclear Mutant,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/NuclearMutant
Nuclear Nullifier,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/NuclearNullifier
Radiation Immune Mutants,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/RadiationImmuneMutants
Radiation Induced Superpowers,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/RadiationInducedSuperpowers
Sickly Green Glow,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/SicklyGreenGlow
Transmutation,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Transmutation
Applied Phlebotinum,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AppliedPhlebotinum
Phlebotinum Du Jour,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/PhlebotinumDuJour
Toxic Phlebotinum,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ToxicPhlebotinum
