title,url
Robot,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Robot
Artificial Intelligence,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialIntelligence
Mechanical Lifeforms,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/MechanicalLifeforms
Cyborg,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Cyborg
Theme Tune Roll Call,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ThemeTuneRollCall
Robot,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Robot
Robot And A I Works,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/RobotAndAIWorks
Autonomous And Artificial Appendage Index,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AutonomousAndArtificialAppendageIndex
Mecha Tropes,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/MechaTropes
Sliding Scale Of Anthropomorphism,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/SlidingScaleOfAnthropomorphism
A I Cronym,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AICronym
A I Getting High,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AIGettingHigh
A I Is A Crapshoot,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AIIsACrapshoot
Alternative Turing Test,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AlternativeTuringTest
Android Identifier,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AndroidIdentifier
Androids Are People Too,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AndroidsArePeopleToo
Artificial Family Member,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialFamilyMember
Artificial Intelligence,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialIntelligence
Ban On A I,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BanOnAI
Benevolent A I,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BenevolentAI
Cheerful A I,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/CheerfulAI
The Computer Is A Cheating Bastard,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TheComputerIsACheatingBastard
The Computer Is Your Friend,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TheComputerIsYourFriend
Computer Voice,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ComputerVoice
Contagious A I,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ContagiousAI
Deus Est Machina,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DeusEstMachina
Digital Abomination,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DigitalAbomination
Eldritch Abomination,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EldritchAbomination
Electronic Speech Impediment,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ElectronicSpeechImpediment
Sub Trope,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/SubTrope
Computer Voice,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ComputerVoice
Emergent Human,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/EmergentHuman
Expositron9000,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Expositron9000
