title,url
Teleportation,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Teleportation
Alternate Self,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AlternateSelf
Teleporter Accident,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/TeleporterAccident
Artistic License Physics,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ArtisticLicensePhysics
Acceptable Breaks From Reality,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableBreaksFromReality
Blind Jump,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BlindJump
Body Uploading,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/BodyUploading
Butlerspace,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Butlerspace
Crack In The Sky,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/CrackInTheSky
Cool Gate,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/CoolGate
Portal Pool,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/PortalPool
Portal Door,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/PortalDoor
Destructive Teleportation,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DestructiveTeleportation
Twinmaker,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Twinmaker
One To Million To One,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/OneToMillionToOne
Dimensional Cutter,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/DimensionalCutter
Extradimensional Emergency Exit,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ExtradimensionalEmergencyExit
Extradimensional Shortcut,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/ExtradimensionalShortcut
Fighting Across Time And Space,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/FightingAcrossTimeAndSpace
Flash Step,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/FlashStep
Super Speed,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/SuperSpeed
Flashy Teleportation,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/FlashyTeleportation
Hellgate,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/Hellgate
Inconvenient Summons,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/InconvenientSummons
Magic Mirror,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/MagicMirror
Mass Teleportation,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/MassTeleportation
Mental Space Travel,https://www.tvtropes.org/pmwiki/pmwiki.php/Main/MentalSpaceTravel
