text,url,source_url
OverSimplified,/pmwiki/pmwiki.php/WebAnimation/OverSimplified,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
DEATH BATTLE!,/pmwiki/pmwiki.php/WebAnimation/DeathBattle,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
,/pmwiki/pmwiki.php/Manga/DeathNote,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Lex Luthor,/pmwiki/pmwiki.php/ComicBook/LexLuthor,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Doctor Doom,/pmwiki/pmwiki.php/ComicBook/DoctorDoom,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Motherbox,/pmwiki/pmwiki.php/ComicBook/NewGods,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Ezekiel 28:2,/pmwiki/pmwiki.php/Literature/BookOfEzekiel,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
The Bible,/pmwiki/pmwiki.php/Literature/TheBible,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
The Bible,/pmwiki/pmwiki.php/Literature/TheBible,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Book of Ezekiel,/pmwiki/pmwiki.php/Literature/BookOfEzekiel,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
2nd Thessalonians,/pmwiki/pmwiki.php/Literature/BooksOfThessalonians,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Horus Heresy,/pmwiki/pmwiki.php/Literature/HorusHeresy,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Book of Ezekiel,/pmwiki/pmwiki.php/Literature/BookOfEzekiel,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Heathers,/pmwiki/pmwiki.php/Theatre/Heathers,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Pokémon Live!,/pmwiki/pmwiki.php/Theatre/PokemonLive,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
The Kansas Collection,/pmwiki/pmwiki.php/Theatre/TheKansasCollection,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Classical Mythology,/pmwiki/pmwiki.php/Myth/ClassicalMythology,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Norse Mythology,/pmwiki/pmwiki.php/Myth/NorseMythology,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
The Gods Must Be Crazy,/pmwiki/pmwiki.php/Film/TheGodsMustBeCrazy,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
,/pmwiki/pmwiki.php/WebVideo/TheReviewReviewer,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Critical Role,/pmwiki/pmwiki.php/WebVideo/CriticalRole,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Changeling: The Lost,/pmwiki/pmwiki.php/TabletopGame/ChangelingTheLost,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Dungeons & Dragons,/pmwiki/pmwiki.php/TabletopGame/DungeonsAndDragons,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Dark Sun,/pmwiki/pmwiki.php/TabletopGame/DarkSun,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Forgotten Realms,/pmwiki/pmwiki.php/TabletopGame/ForgottenRealms,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Ravenloft,/pmwiki/pmwiki.php/TabletopGame/Ravenloft,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Exalted,/pmwiki/pmwiki.php/TabletopGame/Exalted,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Genius: The Transgression,/pmwiki/pmwiki.php/TabletopGame/GeniusTheTransgression,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Leviathan: The Tempest,/pmwiki/pmwiki.php/TabletopGame/LeviathanTheTempest,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Mage: The Awakening,/pmwiki/pmwiki.php/TabletopGame/MageTheAwakening,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Magic: The Gathering,/pmwiki/pmwiki.php/TabletopGame/MagicTheGathering,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Nobilis,/pmwiki/pmwiki.php/TabletopGame/Nobilis,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Rifts,/pmwiki/pmwiki.php/TabletopGame/Rifts,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Shadowrun,/pmwiki/pmwiki.php/TabletopGame/Shadowrun,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Systems Malfunction,/pmwiki/pmwiki.php/TabletopGame/SystemsMalfunction,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Vampire: The Masquerade,/pmwiki/pmwiki.php/TabletopGame/VampireTheMasquerade,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Warhammer,/pmwiki/pmwiki.php/TabletopGame/Warhammer,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
"Warhammer 40,000",/pmwiki/pmwiki.php/TabletopGame/Warhammer40000,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
BIONICLE,/pmwiki/pmwiki.php/Toys/Bionicle,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Bob Backlund,/pmwiki/pmwiki.php/Wrestling/BobBacklund,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
1994 Survivor Series,/pmwiki/pmwiki.php/Wrestling/SurvivorSeries,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Bret Hart,/pmwiki/pmwiki.php/Wrestling/BretHart,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
WCW Monday Nitro,/pmwiki/pmwiki.php/Wrestling/WCWMondayNitro,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
New World Order,/pmwiki/pmwiki.php/Wrestling/NewWorldOrder,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Sting,/pmwiki/pmwiki.php/Wrestling/Sting,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Hollywood Hogan,/pmwiki/pmwiki.php/Wrestling/HulkHogan,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
ECW,/pmwiki/pmwiki.php/Wrestling/ECW,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
World Wrestling Federation,/pmwiki/pmwiki.php/Wrestling/WorldWrestlingFederation,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
The Dudley Boyz,/pmwiki/pmwiki.php/Wrestling/TheDudleyBoys,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
TNA,/pmwiki/pmwiki.php/Wrestling/ImpactWrestling,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
AJ Styles,/pmwiki/pmwiki.php/Wrestling/AJStyles,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Daffney Unger,/pmwiki/pmwiki.php/Wrestling/DaffneyUnger,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
DGeneration X,/pmwiki/pmwiki.php/Wrestling/DGenerationX,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Road Dogg,/pmwiki/pmwiki.php/Wrestling/RoadDogg,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Tori (Terri Poch),/pmwiki/pmwiki.php/Wrestling/TerriPoch,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Vince McMahon,/pmwiki/pmwiki.php/Wrestling/VinceMcMahon,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
"John ""Bradshaw"" Layfield",/pmwiki/pmwiki.php/Wrestling/JohnBradshawLayfield,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Athena,/pmwiki/pmwiki.php/Wrestling/EmberMoon,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Ric Flair,/pmwiki/pmwiki.php/Wrestling/RicFlair,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
The Rock,/pmwiki/pmwiki.php/Wrestling/DwayneJohnson,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
CM Punk,/pmwiki/pmwiki.php/Wrestling/CMPunk,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Bray Wyatt,/pmwiki/pmwiki.php/Wrestling/BrayWyatt,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
CZW,/pmwiki/pmwiki.php/Wrestling/CZW,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Chris Hero,/pmwiki/pmwiki.php/Wrestling/ChrisHero,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
MVP,/pmwiki/pmwiki.php/Wrestling/MontelVontaviousPorter,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Adam Cole,/pmwiki/pmwiki.php/Wrestling/AdamCole,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
ROH,/pmwiki/pmwiki.php/Wrestling/RingOfHonor,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
exotic goddess,/pmwiki/pmwiki.php/Wrestling/MandyLeon,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Alexa Bliss,/pmwiki/pmwiki.php/Wrestling/AlexaBliss,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Delmi Exo,/pmwiki/pmwiki.php/Wrestling/TeamSeaStars,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Seth Rollins,/pmwiki/pmwiki.php/Wrestling/SethRollins,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Kevin Owens,/pmwiki/pmwiki.php/Wrestling/KevinOwens,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Blackthorn Corporation,/pmwiki/pmwiki.php/Roleplay/BlackthornCorporation,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Dawn of a New Age: Oldport Blues,/pmwiki/pmwiki.php/Roleplay/DawnOfANewAgeOldportBlues,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI
Angel Beats!,/pmwiki/pmwiki.php/Anime/AngelBeats,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/AnimeAndManga
