text,url,source_url,concatenated
300,https://tvtropes.org/pmwiki/pmwiki.php/Film/ThreeHundred,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/Film,'300':'https://tvtropes.org/pmwiki/pmwiki.php/Film/ThreeHundred'
.hack//G.U.,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DotHackGU,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/VideoGames,'.hack//G.U.':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DotHackGU'
'90s cartoon,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/XMenTheAnimatedSeries,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/ComicBooks,''90s cartoon':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/XMenTheAnimatedSeries'
"""Darkseid does not do. Darkseid IS.""",https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/MisterMiracle2017,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/ComicBooks,"'""Darkseid does not do. Darkseid IS.""':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/MisterMiracle2017'"
"""I am many things, Kal-El. But here, I am God.""",https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/SupermanTheAnimatedSeries,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/ComicBooks,"'""I am many things, Kal-El. But here, I am God.""':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/SupermanTheAnimatedSeries'"
"""I. AM. THE. NEW. GOD.""",https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/FinalCrisis,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/ComicBooks,"'""I. AM. THE. NEW. GOD.""':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/FinalCrisis'"
13 Sins,https://tvtropes.org/pmwiki/pmwiki.php/Film/ThirteenSins,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/Film,'13 Sins':'https://tvtropes.org/pmwiki/pmwiki.php/Film/ThirteenSins'
1994 Survivor Series,https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/SurvivorSeries,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI,'1994 Survivor Series':'https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/SurvivorSeries'
2000 AD,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TwoThousandAD,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/ComicBooks,'2000 AD':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TwoThousandAD'
2nd Thessalonians,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BooksOfThessalonians,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI,'2nd Thessalonians':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/BooksOfThessalonians'
30 Rock,https://tvtropes.org/pmwiki/pmwiki.php/Series/ThirtyRock,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/Film,'30 Rock':'https://tvtropes.org/pmwiki/pmwiki.php/Series/ThirtyRock'
8-Bit Theater,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/Webcomics,'8-Bit Theater':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater'
A Certain Magical Index,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/AnimeAndManga,'A Certain Magical Index':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex'
A God Somewhere,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AGodSomewhere,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/ComicBooks,'A God Somewhere':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AGodSomewhere'
A Nightmare on Elm Street (1984),https://tvtropes.org/pmwiki/pmwiki.php/Film/ANightmareOnElmStreet1984,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/Film,'A Nightmare on Elm Street (1984)':'https://tvtropes.org/pmwiki/pmwiki.php/Film/ANightmareOnElmStreet1984'
A Nightmare on Elm Street (2010),https://tvtropes.org/pmwiki/pmwiki.php/Film/ANightmareOnElmStreet2010,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/Film,'A Nightmare on Elm Street (2010)':'https://tvtropes.org/pmwiki/pmwiki.php/Film/ANightmareOnElmStreet2010'
A.I.: Artificial Intelligence,https://tvtropes.org/pmwiki/pmwiki.php/Film/AIArtificialIntelligence,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/Film,'A.I.: Artificial Intelligence':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AIArtificialIntelligence'
Ace Lightning,https://tvtropes.org/pmwiki/pmwiki.php/Series/AceLightning,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/LiveActionTV,'Ace Lightning':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AceLightning'
Acts of Gord,https://tvtropes.org/pmwiki/pmwiki.php/Website/ActsOfGord,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/WebOriginal,'Acts of Gord':'https://tvtropes.org/pmwiki/pmwiki.php/Website/ActsOfGord'
Adam Cole,https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/AdamCole,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI,'Adam Cole':'https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/AdamCole'
Advent Rising,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AdventRising,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/VideoGames,'Advent Rising':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AdventRising'
Age of Apocalypse,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AgeOfApocalypse,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/ComicBooks,'Age of Apocalypse':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AgeOfApocalypse'
Air Gear,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AirGear,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/AnimeAndManga,'Air Gear':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AirGear'
AJ Styles,https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/AJStyles,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI,'AJ Styles':'https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/AJStyles'
Akatsuki Blitzkampf,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AkatsukiBlitzkampf,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/VideoGames,'Akatsuki Blitzkampf':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AkatsukiBlitzkampf'
AKIRA,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AKIRA,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/AnimeAndManga,'AKIRA':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AKIRA'
Aladdin,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Aladdin,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/Film,'Aladdin':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Aladdin'
Alexa Bliss,https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/AlexaBliss,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI,'Alexa Bliss':'https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/AlexaBliss'
Almost Famous,https://tvtropes.org/pmwiki/pmwiki.php/Film/AlmostFamous,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/Film,'Almost Famous':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AlmostFamous'
AlternateHistory.com,https://tvtropes.org/pmwiki/pmwiki.php/Website/AlternateHistoryDotCom,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/WebOriginal,'AlternateHistory.com':'https://tvtropes.org/pmwiki/pmwiki.php/Website/AlternateHistoryDotCom'
American Horror Story: Freak Show,https://tvtropes.org/pmwiki/pmwiki.php/Series/AmericanHorrorStoryFreakShow,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/LiveActionTV,'American Horror Story: Freak Show':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AmericanHorrorStoryFreakShow'
Amnesia: A Machine for Pigs,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AmnesiaAMachineForPigs,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/VideoGames,'Amnesia: A Machine for Pigs':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AmnesiaAMachineForPigs'
Amphibia,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Amphibia,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/WesternAnimation,'Amphibia':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Amphibia'
Angel,https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/LiveActionTV,'Angel':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel'
Angel Beats!,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AngelBeats,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/AnimeAndManga,'Angel Beats!':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/AngelBeats'
Anno 1800,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Anno1800,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/VideoGames,'Anno 1800':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Anno1800'
Apotheosis (Swann),https://tvtropes.org/pmwiki/pmwiki.php/Literature/ApotheosisSwann,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/Literature,'Apotheosis (Swann)':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ApotheosisSwann'
Aquila,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Aquila,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/ComicBooks,'Aquila':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Aquila'
Ar tonelico II: Melody of Metafalica,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArTonelicoIIMelodyOfMetafalica,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/VideoGames,'Ar tonelico II: Melody of Metafalica':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArTonelicoIIMelodyOfMetafalica'
Arc of Fire,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ArcOfFire,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/Literature,'Arc of Fire':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ArcOfFire'
Arc the Lad,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArcTheLad,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/VideoGames,'Arc the Lad':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArcTheLad'
Arkn: Legacy,https://tvtropes.org/pmwiki/pmwiki.php/WebOriginal/ArknLegacy,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/WebOriginal,'Arkn: Legacy':'https://tvtropes.org/pmwiki/pmwiki.php/WebOriginal/ArknLegacy'
Armored Trooper VOTOMS,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ArmoredTrooperVOTOMS,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/AnimeAndManga,'Armored Trooper VOTOMS':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/ArmoredTrooperVOTOMS'
Asgard,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheMightyThor,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/ComicBooks,'Asgard':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheMightyThor'
Ashes of the Singularity,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AshesOfTheSingularity,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/VideoGames,'Ashes of the Singularity':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AshesOfTheSingularity'
Assassin's Creed Origins,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AssassinsCreedOrigins,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/VideoGames,'Assassin's Creed Origins':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AssassinsCreedOrigins'
Asura's Wrath,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AsurasWrath,https://tvtropes.org/pmwiki/pmwiki.php/AGodAmI/VideoGames,'Asura's Wrath':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AsurasWrath'
Athena,https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/EmberMoon,https://tvtropes.org/pmwiki/pmwiki.php/Main/AGodAmI,'Athena':'https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/EmberMoon'
