text,url,source_url,concatenated
3,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Crysis3,https://tvtropes.org/pmwiki/pmwiki.php/AIIsACrapshoot/VideoGames,'3':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Crysis3'
9,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Nine,https://tvtropes.org/pmwiki/pmwiki.php/AIIsACrapshoot/Film,'9':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Nine'
2027,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TwentyTwentySeven,https://tvtropes.org/pmwiki/pmwiki.php/AIIsACrapshoot/VideoGames,'2027':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TwentyTwentySeven'
.hack//G.U.,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DotHackGU,https://tvtropes.org/pmwiki/pmwiki.php/AIIsACrapshoot/VideoGames,'.hack//G.U.':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DotHackGU'
"""Weird Al"" Yankovic",https://tvtropes.org/pmwiki/pmwiki.php/Music/WeirdAlYankovic,https://tvtropes.org/pmwiki/pmwiki.php/AIIsACrapshoot/WesternAnimation,"'""Weird Al"" Yankovic':'https://tvtropes.org/pmwiki/pmwiki.php/Music/WeirdAlYankovic'"
½ Prince,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HalfPrince,https://tvtropes.org/pmwiki/pmwiki.php/AIIsACrapshoot/AnimeAndManga,'½ Prince':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/HalfPrince'
2001: A Space Odyssey,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwoThousandOneASpaceOdyssey,https://tvtropes.org/pmwiki/pmwiki.php/AIIsACrapshoot/Film,'2001: A Space Odyssey':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TwoThousandOneASpaceOdyssey'
2010: The Year We Make Contact,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwoThousandTenTheYearWeMakeContact,https://tvtropes.org/pmwiki/pmwiki.php/AIIsACrapshoot/Film,'2010: The Year We Make Contact':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TwoThousandTenTheYearWeMakeContact'
4chan,https://tvtropes.org/pmwiki/pmwiki.php/Website/FourChan,https://tvtropes.org/pmwiki/pmwiki.php/AIIsACrapshoot/WebOriginal,'4chan':'https://tvtropes.org/pmwiki/pmwiki.php/Website/FourChan'
50 Ways to Die in Minecraft,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/FiftyWaysToDieInMinecraft,https://tvtropes.org/pmwiki/pmwiki.php/Main/AIIsACrapshoot,'50 Ways to Die in Minecraft':'https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/FiftyWaysToDieInMinecraft'
6-Commando,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/SixCommando,https://tvtropes.org/pmwiki/pmwiki.php/AIIsACrapshoot/Webcomics,'6-Commando':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/SixCommando'
7-Second Riddles,https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/SevenSecondRiddles,https://tvtropes.org/pmwiki/pmwiki.php/AIIsACrapshoot/WebOriginal,'7-Second Riddles':'https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/SevenSecondRiddles'
A for Andromeda,https://tvtropes.org/pmwiki/pmwiki.php/Series/AForAndromeda,https://tvtropes.org/pmwiki/pmwiki.php/AIIsACrapshoot/LiveActionTV,'A for Andromeda':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AForAndromeda'
A Miracle of Science,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AMiracleOfScience,https://tvtropes.org/pmwiki/pmwiki.php/AIIsACrapshoot/Webcomics,'A Miracle of Science':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AMiracleOfScience'
a movie,https://tvtropes.org/pmwiki/pmwiki.php/Film/BillionDollarBrain,https://tvtropes.org/pmwiki/pmwiki.php/AIIsACrapshoot/Literature,'a movie':'https://tvtropes.org/pmwiki/pmwiki.php/Film/BillionDollarBrain'
A.M.I.: Artificial Machine Intelligence,https://tvtropes.org/pmwiki/pmwiki.php/Film/AMIArticifialMachineIntelligence,https://tvtropes.org/pmwiki/pmwiki.php/AIIsACrapshoot/Film,'A.M.I.: Artificial Machine Intelligence':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AMIArticifialMachineIntelligence'
