text,url,source_url
Code Geass,/pmwiki/pmwiki.php/Anime/CodeGeass,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Code Geass,/pmwiki/pmwiki.php/Anime/CodeGeass,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Concrete Revolutio: Choujin Gensou,/pmwiki/pmwiki.php/Anime/ConcreteRevolutioChoujinGensou,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Fullmetal Alchemist (2003),/pmwiki/pmwiki.php/Anime/FullmetalAlchemist2003,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Jin-Roh: The Wolf Brigade,/pmwiki/pmwiki.php/Anime/JinRohTheWolfBrigade,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Kiki's Delivery Service,/pmwiki/pmwiki.php/Anime/KikisDeliveryService,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Mobile Suit Gundam Wing,/pmwiki/pmwiki.php/Anime/MobileSuitGundamWing,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
The Place Promised in Our Early Days,/pmwiki/pmwiki.php/Anime/ThePlacePromisedInOurEarlyDays,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Read or Die,/pmwiki/pmwiki.php/Anime/ReadOrDie,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Sakura Wars (2000),/pmwiki/pmwiki.php/Anime/SakuraWars2000,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Strike Witches,/pmwiki/pmwiki.php/Anime/StrikeWitches,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Super Dimension Fortress Macross,/pmwiki/pmwiki.php/Anime/SuperDimensionFortressMacross,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Astra Lost in Space,/pmwiki/pmwiki.php/Manga/AstraLostInSpace,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Can Even a Mob Highschooler Like Me Be a Normie if I Become an Adventurer?,/pmwiki/pmwiki.php/Manga/CanEvenAMobHighschoolerLikeMeBeANormieIfIBecomeAnAdventurer,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Cantarella,/pmwiki/pmwiki.php/Manga/Cantarella,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Captain Tsubasa,/pmwiki/pmwiki.php/Manga/CaptainTsubasa,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Chrono Crusade,/pmwiki/pmwiki.php/Manga/ChronoCrusade,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Gintama,/pmwiki/pmwiki.php/Manga/Gintama,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Jin,/pmwiki/pmwiki.php/Manga/Jin,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Kaiju No. 8,/pmwiki/pmwiki.php/Manga/KaijuNumber8,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
A Love Letter For The Marching Puppy,/pmwiki/pmwiki.php/Manga/ALoveLetterForTheMarchingPuppy,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Moriarty the Patriot,/pmwiki/pmwiki.php/Manga/MoriartyThePatriot,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Ōoku: The Inner Chambers,/pmwiki/pmwiki.php/Manga/OokuTheInnerChambers,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Tokyo Ghoul,/pmwiki/pmwiki.php/Manga/TokyoGhoul,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Zipang,/pmwiki/pmwiki.php/Manga/Zipang,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
A Certain Magical Index,/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Full Metal Panic!,/pmwiki/pmwiki.php/Literature/FullMetalPanic,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
A Study in Scarlet,/pmwiki/pmwiki.php/Literature/AStudyInScarlet,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Samurai Girls,/pmwiki/pmwiki.php/Literature/SamuraiGirls,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
Schwarzesmarken,/pmwiki/pmwiki.php/Literature/Schwarzesmarken,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
,/pmwiki/pmwiki.php/VideoGame/StrayGods,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/AnimeAndManga
America's Kingdom,/pmwiki/pmwiki.php/ComicBook/AmericasKingdom,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Arrowsmith,/pmwiki/pmwiki.php/ComicBook/Arrowsmith,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Asterix,/pmwiki/pmwiki.php/ComicBook/Asterix,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Astro City,/pmwiki/pmwiki.php/ComicBook/AstroCity,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Baker Street,/pmwiki/pmwiki.php/ComicBook/BakerStreet,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Blake and Mortimer,/pmwiki/pmwiki.php/ComicBook/BlakeAndMortimer,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Block 109,/pmwiki/pmwiki.php/ComicBook/Block109,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
The Boys,/pmwiki/pmwiki.php/ComicBook/TheBoys,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Chassis,/pmwiki/pmwiki.php/ComicBook/Chassis,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Crossed,/pmwiki/pmwiki.php/ComicBook/Crossed,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Divinity,/pmwiki/pmwiki.php/ComicBook/Divinity,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
X-O Manowar,/pmwiki/pmwiki.php/ComicBook/XOManowar,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Ninjak,/pmwiki/pmwiki.php/ComicBook/Ninjak,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
DMZ,/pmwiki/pmwiki.php/ComicBook/DMZ,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Ex Machina,/pmwiki/pmwiki.php/ComicBook/ExMachina,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Give Me Liberty,/pmwiki/pmwiki.php/ComicBook/GiveMeLiberty,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
JFK Secret Ops,/pmwiki/pmwiki.php/ComicBook/JFKSecretOps,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Jour J,/pmwiki/pmwiki.php/ComicBook/JourJ,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
The Last West,/pmwiki/pmwiki.php/ComicBook/TheLastWest,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Liberality for All,/pmwiki/pmwiki.php/ComicBook/LiberalityForAll,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Lilith,/pmwiki/pmwiki.php/ComicBook/Lilith,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Ministry Of Space,/pmwiki/pmwiki.php/ComicBook/MinistryOfSpace,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Tom Strong,/pmwiki/pmwiki.php/ComicBook/TomStrong,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Rorschach (2020),/pmwiki/pmwiki.php/ComicBook/Rorschach2020,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
"""The Citizen""",/pmwiki/pmwiki.php/ComicBook/MrA,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
The League of Extraordinary Gentlemen,/pmwiki/pmwiki.php/ComicBook/TheLeagueOfExtraordinaryGentlemen,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Omega Complex,/pmwiki/pmwiki.php/ComicBook/OmegaComplex,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Primordial,/pmwiki/pmwiki.php/ComicBook/Primordial,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
The Royals: Masters of War,/pmwiki/pmwiki.php/ComicBook/TheRoyalsMastersOfWar,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Invasion,/pmwiki/pmwiki.php/ComicBook/Savage,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Scarlet Traces,/pmwiki/pmwiki.php/ComicBook/ScarletTraces,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Secret Empire,/pmwiki/pmwiki.php/ComicBook/SecretEmpire,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Steve Rogers,/pmwiki/pmwiki.php/ComicBook/CaptainAmerica,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
HYDRA,/pmwiki/pmwiki.php/ComicBook/HYDRA,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Spider-Man: Life Story,/pmwiki/pmwiki.php/ComicBook/SpiderManLifeStory,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
DC: The New Frontier,/pmwiki/pmwiki.php/ComicBook/DCTheNewFrontier,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
The Multiversity,/pmwiki/pmwiki.php/ComicBook/TheMultiversity,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Über,/pmwiki/pmwiki.php/ComicBook/Uber,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Little Nemo,/pmwiki/pmwiki.php/ComicStrip/LittleNemo,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Queen Gloriana,/pmwiki/pmwiki.php/Literature/TheFaerieQueene,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
Ingsoc regime,/pmwiki/pmwiki.php/Literature/NineteenEightyFour,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
The War of the Worlds,/pmwiki/pmwiki.php/Literature/TheWarOfTheWorlds,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
,/pmwiki/pmwiki.php/Music/HotelCalifornia,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
"the events that took place in Tulsa, Oklahoma",/pmwiki/pmwiki.php/Series/Watchmen2019,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks
