text,url,source_url,concatenated
9,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Nine,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/Film,'9':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Nine'
1632,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SixteenThirtyTwo,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/Literature,'1632':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/SixteenThirtyTwo'
1940,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SakuraWars2019,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/VideoGames,'1940':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SakuraWars2019'
!Hero: The Rock Opera,https://tvtropes.org/pmwiki/pmwiki.php/Music/Hero,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/OtherMedia,'!Hero: The Rock Opera':'https://tvtropes.org/pmwiki/pmwiki.php/Music/Hero'
''TheScience of Discworld 2 and 3,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Discworld,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/Literature,'''TheScience of Discworld 2 and 3':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Discworld'
"""The Citizen""",https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/MrA,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/ComicBooks,"'""The Citizen""':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/MrA'"
[PROTOTYPE],https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/VideoGames,'[PROTOTYPE]':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype'
11/22/63,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ElevenTwentyTwoSixtyThree,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/Literature,'11/22/63':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ElevenTwentyTwoSixtyThree'
1940: Et si la France avait continué la guerre?,https://tvtropes.org/pmwiki/pmwiki.php/Literature/NineteenFortyEtSiLaFranceAvaitContinueLaGuerre,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/Literature,'1940: Et si la France avait continué la guerre?':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/NineteenFortyEtSiLaFranceAvaitContinueLaGuerre'
1983: Doomsday,https://tvtropes.org/pmwiki/pmwiki.php/Literature/NineteenEightyThreeDoomsday,https://tvtropes.org/pmwiki/pmwiki.php/AlternateHistory/FanWorks,'1983: Doomsday':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/NineteenEightyThreeDoomsday'
