text,url,source_url
Pleasant Goat and Big Big Wolf,/pmwiki/pmwiki.php/Animation/PleasantGoatAndBigBigWolf,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
My Story Animated,/pmwiki/pmwiki.php/WebAnimation/MyStoryAnimated,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
OverSimplified,/pmwiki/pmwiki.php/WebAnimation/OverSimplified,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
,/pmwiki/pmwiki.php/ComicStrip/CalvinAndHobbes,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
Scary Gary,/pmwiki/pmwiki.php/ComicStrip/ScaryGary,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
The Apotheosis of Washington,/pmwiki/pmwiki.php/Art/TheApotheosisOfWashington,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
Big Finish Doctor Who,/pmwiki/pmwiki.php/AudioPlay/BigFinishDoctorWho,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
The War of the Worlds,/pmwiki/pmwiki.php/Radio/TheWarOfTheWorlds,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
The Castle,/pmwiki/pmwiki.php/Radio/TheCastle,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
BTS-themed,/pmwiki/pmwiki.php/Music/BTS,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
Kung Fury,/pmwiki/pmwiki.php/Film/KungFury,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
Kung Fury,/pmwiki/pmwiki.php/Film/KungFury,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
Antonio Soprano,/pmwiki/pmwiki.php/Series/TheSopranos,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
Dead Ringers,/pmwiki/pmwiki.php/Series/DeadRingers,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
,/pmwiki/pmwiki.php/VideoGame/MarkOfTheNinja,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
Medieval Madness,/pmwiki/pmwiki.php/Pinball/MedievalMadness,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
Eight Ball,/pmwiki/pmwiki.php/Pinball/EightBall,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnachronismStew
Samurai Champloo,/pmwiki/pmwiki.php/Anime/SamuraiChamploo,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/AnimeAndManga
Samurai Pizza Cats,/pmwiki/pmwiki.php/Anime/SamuraiPizzaCats,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/AnimeAndManga
Oh! Edo Rocket,/pmwiki/pmwiki.php/Anime/OhEdoRocket,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/AnimeAndManga
