text,url,source_url,concatenated
1632,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SixteenThirtyTwo,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/FanWorks,'1632':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/SixteenThirtyTwo'
1776,https://tvtropes.org/pmwiki/pmwiki.php/Theatre/SeventeenSeventySix,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/Theatre,'1776':'https://tvtropes.org/pmwiki/pmwiki.php/Theatre/SeventeenSeventySix'
"""Fortunate Son""",https://tvtropes.org/pmwiki/pmwiki.php/Music/CreedenceClearwaterRevival,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/VideoGames,"'""Fortunate Son""':'https://tvtropes.org/pmwiki/pmwiki.php/Music/CreedenceClearwaterRevival'"
"""Quimbara""",https://tvtropes.org/pmwiki/pmwiki.php/Music/CeliaCruz,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/VideoGames,"'""Quimbara""':'https://tvtropes.org/pmwiki/pmwiki.php/Music/CeliaCruz'"
∀ Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TurnAGundam,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/VideoGames,'∀ Gundam':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/TurnAGundam'
1 Samuel 17,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BooksOfSamuel,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/Literature,'1 Samuel 17':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/BooksOfSamuel'
"10,000 BC",https://tvtropes.org/pmwiki/pmwiki.php/Film/TenThousandBC,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/FilmsWithNoGoodExcuse,"'10,000 BC':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TenThousandBC'"
18th century France,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BeautyAndTheBeast,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/WebOriginal,'18th century France':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BeautyAndTheBeast'
2 Kings,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BooksOfKings,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/Literature,'2 Kings':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/BooksOfKings'
2009 film,https://tvtropes.org/pmwiki/pmwiki.php/Film/StarTrek2009,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/VideoGames,'2009 film':'https://tvtropes.org/pmwiki/pmwiki.php/Film/StarTrek2009'
2Pac,https://tvtropes.org/pmwiki/pmwiki.php/Music/TupacShakur,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/FilmsWithNoGoodExcuse,'2Pac':'https://tvtropes.org/pmwiki/pmwiki.php/Music/TupacShakur'
50 Cent,https://tvtropes.org/pmwiki/pmwiki.php/Music/FiftyCent,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/Music,'50 Cent':'https://tvtropes.org/pmwiki/pmwiki.php/Music/FiftyCent'
64th Street: A Detective Story,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SixtyFourthStreetADetectiveStory,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/VideoGames,'64th Street: A Detective Story':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SixtyFourthStreetADetectiveStory'
A Court of Thorns and Roses,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACourtOfThornsAndRoses,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/Literature,'A Court of Thorns and Roses':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACourtOfThornsAndRoses'
A Hard Day's Knight,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Nightside,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/Literature,'A Hard Day's Knight':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Nightside'
A Knight's Tale,https://tvtropes.org/pmwiki/pmwiki.php/Film/AKnightsTale,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/FilmsUsingRuleOfFunny,'A Knight's Tale':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AKnightsTale'
a rapping dog on the Titanic,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/TitanicTheLegendGoesOn,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/Theatre,'a rapping dog on the Titanic':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/TitanicTheLegendGoesOn'
A Series of Unfortunate Events,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASeriesOfUnfortunateEvents,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/Literature,'A Series of Unfortunate Events':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASeriesOfUnfortunateEvents'
A Series of Unfortunate Events (2017),https://tvtropes.org/pmwiki/pmwiki.php/Series/ASeriesOfUnfortunateEvents2017,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/LiveActionTV,'A Series of Unfortunate Events (2017)':'https://tvtropes.org/pmwiki/pmwiki.php/Series/ASeriesOfUnfortunateEvents2017'
AC/DC,https://tvtropes.org/pmwiki/pmwiki.php/Music/ACDC,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/Music,'AC/DC':'https://tvtropes.org/pmwiki/pmwiki.php/Music/ACDC'
Ace Attorney,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/AceAttorney,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/VisualNovels,'Ace Attorney':'https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/AceAttorney'
Ace Combat,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AceCombat,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/VideoGames,'Ace Combat':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AceCombat'
Ace Combat 04,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AceCombat04ShatteredSkies,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/VideoGames,'Ace Combat 04':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AceCombat04ShatteredSkies'
Ace Combat 2,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AceCombat2,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/VideoGames,'Ace Combat 2':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AceCombat2'
Ace Combat Zero: The Belkan War,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AceCombatZeroTheBelkanWar,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/VideoGames,'Ace Combat Zero: The Belkan War':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AceCombatZeroTheBelkanWar'
Adam Ant,https://tvtropes.org/pmwiki/pmwiki.php/Music/AdamAnt,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/Music,'Adam Ant':'https://tvtropes.org/pmwiki/pmwiki.php/Music/AdamAnt'
Adrian Mole,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AdrianMole,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/Literature,'Adrian Mole':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AdrianMole'
Afro Samurai,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AfroSamurai,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/AnimeAndManga,'Afro Samurai':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/AfroSamurai'
Age of Empires,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AgeOfEmpires,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/VideoGames,'Age of Empires':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AgeOfEmpires'
Age of Empires III,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AgeOfEmpiresIII,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/VideoGames,'Age of Empires III':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AgeOfEmpiresIII'
Aida,https://tvtropes.org/pmwiki/pmwiki.php/Music/Aida,https://tvtropes.org/pmwiki/pmwiki.php/AnachronismStew/Literature,'Aida':'https://tvtropes.org/pmwiki/pmwiki.php/Music/Aida'
