text,url,source_url
Dragon Ball Z,/pmwiki/pmwiki.php/Anime/DragonBallZ,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0
Earth Maiden Arjuna,/pmwiki/pmwiki.php/Anime/EarthMaidenArjuna,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0
Mobile Suit Gundam,/pmwiki/pmwiki.php/Anime/MobileSuitGundam,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0
Mobile Suit Gundam 0083,/pmwiki/pmwiki.php/Anime/MobileSuitGundam0083StardustMemory,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0
Zeta Gundam,/pmwiki/pmwiki.php/Anime/MobileSuitZetaGundam,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0
Mobile Suit Gundam ZZ,/pmwiki/pmwiki.php/Anime/MobileSuitGundamZZ,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0
Mobile Suit Gundam SEED Destiny,/pmwiki/pmwiki.php/Anime/MobileSuitGundamSEEDDestiny,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0
Puella Magi Madoka Magica,/pmwiki/pmwiki.php/Anime/PuellaMagiMadokaMagica,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0
anime,/pmwiki/pmwiki.php/Anime/SandsOfDestruction,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0
Tenchi Muyo!,/pmwiki/pmwiki.php/Anime/TenchiMuyo,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0
Cinq Lumieres,/pmwiki/pmwiki.php/Anime/YesPrettyCure5,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0
Power Star,/pmwiki/pmwiki.php/WebAnimation/PowerStar,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0
RWBY,/pmwiki/pmwiki.php/WebAnimation/RWBY,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0
AKIRA,/pmwiki/pmwiki.php/Manga/Akira,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0
