text,url,source_url,concatenated
9,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Nine,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class5,'9':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Nine'
1953,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheWarOfTheWorlds1953,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0,'1953':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TheWarOfTheWorlds1953'
"""Post-Apocalypse Hero""",https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/HeroSystem,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class5,"'""Post-Apocalypse Hero""':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/HeroSystem'"
"""The Chase""",https://tvtropes.org/pmwiki/pmwiki.php/Series/StarTrekTheNextGeneration,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class5,"'""The Chase""':'https://tvtropes.org/pmwiki/pmwiki.php/Series/StarTrekTheNextGeneration'"
∀ Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TurnAGundam,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class2,'∀ Gundam':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/TurnAGundam'
12 Monkeys,https://tvtropes.org/pmwiki/pmwiki.php/Series/TwelveMonkeys,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class2,'12 Monkeys':'https://tvtropes.org/pmwiki/pmwiki.php/Series/TwelveMonkeys'
12 Monkeys,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwelveMonkeys,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class3A,'12 Monkeys':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TwelveMonkeys'
1962 film,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheDayOfTheTriffids,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class2,'1962 film':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TheDayOfTheTriffids'
1983: Doomsday,https://tvtropes.org/pmwiki/pmwiki.php/Literature/NineteenEightyThreeDoomsday,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class1,'1983: Doomsday':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/NineteenEightyThreeDoomsday'
2005 films,https://tvtropes.org/pmwiki/pmwiki.php/Film/WarOfTheWorlds2005,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0,'2005 films':'https://tvtropes.org/pmwiki/pmwiki.php/Film/WarOfTheWorlds2005'
28 Days Later,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwentyEightDaysLater,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0,'28 Days Later':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TwentyEightDaysLater'
28 Weeks Later,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwentyEightWeeksLater,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class0,'28 Weeks Later':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TwentyEightWeeksLater'
3Below,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ThreeBelow,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/ClassX4,'3Below':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ThreeBelow'
7 Seeds,https://tvtropes.org/pmwiki/pmwiki.php/Manga/SevenSeeds,https://tvtropes.org/pmwiki/pmwiki.php/ApocalypseHow/Class4,'7 Seeds':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/SevenSeeds'
