text,url,source_url,concatenated
A Song of Ice and Fire,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/Literature,'A Song of Ice and Fire':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire'
Adam Cole,https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/AdamCole,https://tvtropes.org/pmwiki/pmwiki.php/Main/BecauseDestinySaysSo,'Adam Cole':'https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/AdamCole'
Aeneid,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheAeneid,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/Literature,'Aeneid':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheAeneid'
Agamemnon,https://tvtropes.org/pmwiki/pmwiki.php/Theatre/Agamemnon,https://tvtropes.org/pmwiki/pmwiki.php/Main/BecauseDestinySaysSo,'Agamemnon':'https://tvtropes.org/pmwiki/pmwiki.php/Theatre/Agamemnon'
Akata Witch,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AkataWitch,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/Literature,'Akata Witch':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AkataWitch'
Alberto Del Rio,https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/AlbertoDelRio,https://tvtropes.org/pmwiki/pmwiki.php/Main/BecauseDestinySaysSo,'Alberto Del Rio':'https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/AlbertoDelRio'
Alterien,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Alterien,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/Literature,'Alterien':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Alterien'
Sailor Moon,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SailorMoon,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/AnimeAndManga,'Sailor Moon':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/SailorMoon'
YuGiOh!,https://tvtropes.org/pmwiki/pmwiki.php/Anime/YuGiOh,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/AnimeAndManga,'YuGiOh!':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/YuGiOh'
Astral Dawn,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AstralDawn,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/Literature,'Astral Dawn':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AstralDawn'
Attack on Titan,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AttackOnTitan,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/AnimeAndManga,'Attack on Titan':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AttackOnTitan'
Avatar: The Last Airbender,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AvatarTheLastAirbender,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/WesternAnimation,'Avatar: The Last Airbender':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AvatarTheLastAirbender'
Babylon 5,https://tvtropes.org/pmwiki/pmwiki.php/Series/BabylonFive,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/LiveActionTV,'Babylon 5':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BabylonFive'
BAD END THEATER,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/BadEndTheater,https://tvtropes.org/pmwiki/pmwiki.php/Main/BecauseDestinySaysSo,'BAD END THEATER':'https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/BadEndTheater'
Baldur’s Gate,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BaldursGate,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/VideoGames,'Baldur’s Gate':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BaldursGate'
Baldur’s Gate II: Throne of Bhaal,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BaldursGateIIThroneOfBhaal,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/VideoGames,'Baldur’s Gate II: Throne of Bhaal':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BaldursGateIIThroneOfBhaal'
Barney Miller,https://tvtropes.org/pmwiki/pmwiki.php/Series/BarneyMiller,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/LiveActionTV,'Barney Miller':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BarneyMiller'
Battle Tendency,https://tvtropes.org/pmwiki/pmwiki.php/Manga/BattleTendency,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/AnimeAndManga,'Battle Tendency':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/BattleTendency'
Battlestar Galactica,https://tvtropes.org/pmwiki/pmwiki.php/Series/BattlestarGalactica2003,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/FanWorks,'Battlestar Galactica':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BattlestarGalactica2003'
Beetlejuice,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Beetlejuice,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/FanWorks,'Beetlejuice':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Beetlejuice'
Belgariad,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Belgariad,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/Literature,'Belgariad':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Belgariad'
Berserk,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Berserk,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/AnimeAndManga,'Berserk':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/Berserk'
BIONICLE,https://tvtropes.org/pmwiki/pmwiki.php/Toys/Bionicle,https://tvtropes.org/pmwiki/pmwiki.php/Main/BecauseDestinySaysSo,'BIONICLE':'https://tvtropes.org/pmwiki/pmwiki.php/Toys/Bionicle'
Blood Angels,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BloodAngels,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/Literature,'Blood Angels':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/BloodAngels'
Brothers of the Snake,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BrothersOfTheSnake,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/Literature,'Brothers of the Snake':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/BrothersOfTheSnake'
Buffy the Vampire Slayer,https://tvtropes.org/pmwiki/pmwiki.php/Series/BuffyTheVampireSlayer,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/LiveActionTV,'Buffy the Vampire Slayer':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BuffyTheVampireSlayer'
Carmen,https://tvtropes.org/pmwiki/pmwiki.php/Theatre/Carmen,https://tvtropes.org/pmwiki/pmwiki.php/Main/BecauseDestinySaysSo,'Carmen':'https://tvtropes.org/pmwiki/pmwiki.php/Theatre/Carmen'
Case Closed,https://tvtropes.org/pmwiki/pmwiki.php/Manga/CaseClosed,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/AnimeAndManga,'Case Closed':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/CaseClosed'
Christopher Daniels,https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/ChristopherDaniels,https://tvtropes.org/pmwiki/pmwiki.php/Main/BecauseDestinySaysSo,'Christopher Daniels':'https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/ChristopherDaniels'
Classical Mythology,https://tvtropes.org/pmwiki/pmwiki.php/Myth/ClassicalMythology,https://tvtropes.org/pmwiki/pmwiki.php/Main/BecauseDestinySaysSo,'Classical Mythology':'https://tvtropes.org/pmwiki/pmwiki.php/Myth/ClassicalMythology'
CM Punk,https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/CMPunk,https://tvtropes.org/pmwiki/pmwiki.php/Main/BecauseDestinySaysSo,'CM Punk':'https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/CMPunk'
Code Geass: Nightmare of Nunnally,https://tvtropes.org/pmwiki/pmwiki.php/Manga/CodeGeassNightmareOfNunnally,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/AnimeAndManga,'Code Geass: Nightmare of Nunnally':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/CodeGeassNightmareOfNunnally'
Code Vein,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CodeVein,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/WesternAnimation,'Code Vein':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CodeVein'
Cradle Series,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CradleSeries,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/Literature,'Cradle Series':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/CradleSeries'
Danger Mouse,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/DangerMouse,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/WesternAnimation,'Danger Mouse':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/DangerMouse'
Dark Was the Night,https://tvtropes.org/pmwiki/pmwiki.php/Film/DarkWasTheNight,https://tvtropes.org/pmwiki/pmwiki.php/Main/BecauseDestinySaysSo,'Dark Was the Night':'https://tvtropes.org/pmwiki/pmwiki.php/Film/DarkWasTheNight'
Deltarune,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Deltarune,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/VideoGames,'Deltarune':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Deltarune'
Destiny of the Shrine Maiden,https://tvtropes.org/pmwiki/pmwiki.php/Manga/DestinyOfTheShrineMaiden,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/AnimeAndManga,'Destiny of the Shrine Maiden':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/DestinyOfTheShrineMaiden'
Devil Survivor,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DevilSurvivor,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/VideoGames,'Devil Survivor':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DevilSurvivor'
Doctor Who,https://tvtropes.org/pmwiki/pmwiki.php/Series/DoctorWho,https://tvtropes.org/pmwiki/pmwiki.php/BecauseDestinySaysSo/LiveActionTV,'Doctor Who':'https://tvtropes.org/pmwiki/pmwiki.php/Series/DoctorWho'
