text,url,source_url
The Nightmare Before Christmas: Zero's Journey,/pmwiki/pmwiki.php/Manga/TheNightmareBeforeChristmasZerosJourney,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Candorville,/pmwiki/pmwiki.php/ComicStrip/Candorville,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Mahabharata,/pmwiki/pmwiki.php/Literature/Mahabharata,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Cyrano de Bergerac,/pmwiki/pmwiki.php/Theatre/CyranoDeBergerac,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Brimstone Valley Mall,/pmwiki/pmwiki.php/Podcast/BrimstoneValleyMall,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Evillious Chronicles,/pmwiki/pmwiki.php/Music/EvilliousChronicles,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Fallout: Nuka Break,/pmwiki/pmwiki.php/WebVideo/FalloutNukaBreak,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Big Hero 6,/pmwiki/pmwiki.php/WesternAnimation/BigHero6,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Kubo and the Two Strings,/pmwiki/pmwiki.php/WesternAnimation/KuboAndTheTwoStrings,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Kung Fu Panda 2,/pmwiki/pmwiki.php/WesternAnimation/KungFuPanda2,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
The LEGO Movie 2: The Second Part,/pmwiki/pmwiki.php/WesternAnimation/TheLegoMovie2TheSecondPart,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Monsters University,/pmwiki/pmwiki.php/WesternAnimation/MonstersUniversity,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
The Nightmare Before Christmas,/pmwiki/pmwiki.php/WesternAnimation/TheNightmareBeforeChristmas,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Danganronpa,/pmwiki/pmwiki.php/VisualNovel/Danganronpa,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Danganronpa V3: Killing Harmony,/pmwiki/pmwiki.php/VisualNovel/DanganronpaV3KillingHarmony,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Double Homework,/pmwiki/pmwiki.php/VisualNovel/DoubleHomework,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Saya no Uta,/pmwiki/pmwiki.php/VisualNovel/SayaNoUta,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
,/pmwiki/pmwiki.php/Series/WeAreMadeOfMiracles,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Blood+,/pmwiki/pmwiki.php/Anime/BloodPlus,https://tvtropes.org/pmwiki/pmwiki.php/BlueAndOrangeMorality/AnimeAndManga
Digimon Tamers,/pmwiki/pmwiki.php/Anime/DigimonTamers,https://tvtropes.org/pmwiki/pmwiki.php/BlueAndOrangeMorality/AnimeAndManga
