text,url,source_url
,/pmwiki/pmwiki.php/Anime/Thumbelina,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodyHorror
Lamput,/pmwiki/pmwiki.php/Animation/Lamput,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodyHorror
,/pmwiki/pmwiki.php/Manga/Parasyte,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodyHorror
Parasyte,/pmwiki/pmwiki.php/Manga/Parasyte,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodyHorror
Roman,/pmwiki/pmwiki.php/Myth/ClassicalMythology,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodyHorror
Celtic Mythology,/pmwiki/pmwiki.php/Myth/CelticMythology,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodyHorror
Japanese Mythology,/pmwiki/pmwiki.php/Myth/JapaneseMythology,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodyHorror
Big Finish Doctor Who,/pmwiki/pmwiki.php/Radio/BigFinishDoctorWho,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodyHorror
Are [Not] Made of This,/pmwiki/pmwiki.php/Music/Eurythmics,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodyHorror
It's just a poor boy... Nobody loves it...,/pmwiki/pmwiki.php/Music/QueenBand,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodyHorror
The Tick,/pmwiki/pmwiki.php/WesternAnimation/TheTick,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodyHorror
What a horrible phrase,/pmwiki/pmwiki.php/WesternAnimation/TheLionKing1994,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodyHorror
Legends of Chima,/pmwiki/pmwiki.php/WesternAnimation/LegendsOfChima,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodyHorror
The Real Ghostbusters,/pmwiki/pmwiki.php/WesternAnimation/TheRealGhostbusters,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodyHorror
