text,url,source_url,concatenated
"""Weird Al"" Yankovic",https://tvtropes.org/pmwiki/pmwiki.php/Music/WeirdAlYankovic,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/Music,"'""Weird Al"" Yankovic':'https://tvtropes.org/pmwiki/pmwiki.php/Music/WeirdAlYankovic'"
[PROTOTYPE],https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/VideoGames,'[PROTOTYPE]':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype'
21 Jump Street,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwentyOneJumpStreet,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/Film,'21 Jump Street':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TwentyOneJumpStreet'
2Dark,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TwoDark,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/VideoGames,'2Dark':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TwoDark'
3×3 Eyes,https://tvtropes.org/pmwiki/pmwiki.php/Manga/SazanEyes,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/AnimeAndManga,'3×3 Eyes':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/SazanEyes'
8-Bit Theater,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/Webcomics,'8-Bit Theater':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater'
A Certain Magical Index,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/AnimeAndManga,'A Certain Magical Index':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex'
A Crooked World,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/CaptainBritainACrookedWorld,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/MarvelUniverse,'A Crooked World':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/CaptainBritainACrookedWorld'
A French Village,https://tvtropes.org/pmwiki/pmwiki.php/Series/AFrenchVillage,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/LiveActionTV,'A French Village':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AFrenchVillage'
A Machine For Pigs,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AmnesiaAMachineForPigs,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/VideoGames,'A Machine For Pigs':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AmnesiaAMachineForPigs'
