text,url,source_url
Death Parade,/pmwiki/pmwiki.php/Anime/DeathParade,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Digimon Tamers,/pmwiki/pmwiki.php/Anime/DigimonTamers,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Serial Experiments Lain,/pmwiki/pmwiki.php/Anime/SerialExperimentsLain,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Dragon Ball Super,/pmwiki/pmwiki.php/Anime/DragonBallSuper,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
GunBuster,/pmwiki/pmwiki.php/Anime/GunBuster,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
DieBuster,/pmwiki/pmwiki.php/Anime/DieBuster,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Housing Complex C,/pmwiki/pmwiki.php/Anime/HousingComplexC,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Neon Genesis Evangelion,/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Puella Magi Madoka Magica,/pmwiki/pmwiki.php/Anime/PuellaMagiMadokaMagica,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Sailor Moon,/pmwiki/pmwiki.php/Anime/SailorMoon,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Attack on Titan,/pmwiki/pmwiki.php/Manga/AttackOnTitan,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Berserk,/pmwiki/pmwiki.php/Manga/Berserk,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Bokurano,/pmwiki/pmwiki.php/Manga/Bokurano,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Chainsaw Man,/pmwiki/pmwiki.php/Manga/ChainsawMan,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Death Note,/pmwiki/pmwiki.php/Manga/DeathNote,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Getter Robo,/pmwiki/pmwiki.php/Manga/GetterRobo,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Remina,/pmwiki/pmwiki.php/Manga/Remina,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Uzumaki,/pmwiki/pmwiki.php/Manga/Uzumaki,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
manga,/pmwiki/pmwiki.php/Manga/SailorMoon,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
The Shadow Over Innsmouth,/pmwiki/pmwiki.php/Literature/TheShadowOverInnsmouth,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
,/pmwiki/pmwiki.php/Film/AmericanGigolo,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga
Donald Duck,/pmwiki/pmwiki.php/ComicBook/DisneyDucksComicUniverse,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
The Call of C'Russo,/pmwiki/pmwiki.php/ComicBook/TheCallOfCRusso,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
El Eternauta,/pmwiki/pmwiki.php/ComicBook/ElEternauta,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
Fall of Cthulhu,/pmwiki/pmwiki.php/ComicBook/FallOfCthulhu,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
The Filth,/pmwiki/pmwiki.php/ComicBook/TheFilth,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
Hellboy,/pmwiki/pmwiki.php/ComicBook/Hellboy,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
B.P.R.D.,/pmwiki/pmwiki.php/ComicBook/BPRD,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
Immortal Hulk,/pmwiki/pmwiki.php/ComicBook/ImmortalHulk,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
The Avengers (Jonathan Hickman),/pmwiki/pmwiki.php/ComicBook/TheAvengersJonathanHickman,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
Iron Man,/pmwiki/pmwiki.php/ComicBook/IronMan,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
Mr. Fantastic,/pmwiki/pmwiki.php/ComicBook/FantasticFour,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
Black Panther,/pmwiki/pmwiki.php/ComicBook/BlackPanther,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
Captain America,/pmwiki/pmwiki.php/ComicBook/CaptainAmerica,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
Justice League of America,/pmwiki/pmwiki.php/ComicBook/JusticeLeagueOfAmerica,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
want to kill the Earth and any worlds in their way of doing that,/pmwiki/pmwiki.php/ComicBook/Infinity,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
Secret Wars (2015),/pmwiki/pmwiki.php/ComicBook/SecretWars2015,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
Neonomicon,/pmwiki/pmwiki.php/ComicBook/Neonomicon,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
Providence,/pmwiki/pmwiki.php/ComicBook/Providence,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
Nameless (2015),/pmwiki/pmwiki.php/ComicBook/Nameless2015,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
The Sandman (1989),/pmwiki/pmwiki.php/ComicBook/TheSandman1989,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
Spawn,/pmwiki/pmwiki.php/ComicBook/Spawn,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
Supergod,/pmwiki/pmwiki.php/ComicBook/Supergod,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks
