text,url,source_url,concatenated
2001: A Space Odyssey,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwoThousandOneASpaceOdyssey,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/Film,'2001: A Space Odyssey':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TwoThousandOneASpaceOdyssey'
A Study in Emerald,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AStudyInEmerald,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/Literature,'A Study in Emerald':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AStudyInEmerald'
Adventure Time,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/WesternAnimation,'Adventure Time':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime'
Aftermath,https://tvtropes.org/pmwiki/pmwiki.php/Series/Aftermath,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/LiveActionTV,'Aftermath':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Aftermath'
Ain't Slayed Nobody,https://tvtropes.org/pmwiki/pmwiki.php/Podcast/AintSlayedNobody,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/OtherMedia,'Ain't Slayed Nobody':'https://tvtropes.org/pmwiki/pmwiki.php/Podcast/AintSlayedNobody'
AKIRA,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Akira,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/TabletopGames,'AKIRA':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/Akira'
Alan Wake,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AlanWake,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/VideoGames,'Alan Wake':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AlanWake'
Alone in the Dark,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AloneInTheDark,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/VideoGames,'Alone in the Dark':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AloneInTheDark'
AM1200,https://tvtropes.org/pmwiki/pmwiki.php/Film/AM1200,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/Film,'AM1200':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AM1200'
American Dad!,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDad,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/WesternAnimation,'American Dad!':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDad'
Amnesia: The Dark Descent,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AmnesiaTheDarkDescent,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/VideoGames,'Amnesia: The Dark Descent':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AmnesiaTheDarkDescent'
Angel,https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/LiveActionTV,'Angel':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel'
Annihilation (2018),https://tvtropes.org/pmwiki/pmwiki.php/Film/Annihilation2018,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/Film,'Annihilation (2018)':'https://tvtropes.org/pmwiki/pmwiki.php/Film/Annihilation2018'
Arcane – Online Mystery Serial,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArcaneOnlineMysterySerial,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/WebOriginal,'Arcane – Online Mystery Serial':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArcaneOnlineMysterySerial'
Arkham Horror,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/ArkhamHorror,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/TabletopGames,'Arkham Horror':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/ArkhamHorror'
Arkn: Legacy,https://tvtropes.org/pmwiki/pmwiki.php/WebOriginal/ArknLegacy,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/WebOriginal,'Arkn: Legacy':'https://tvtropes.org/pmwiki/pmwiki.php/WebOriginal/ArknLegacy'
Arknights,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Arknights,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/VideoGames,'Arknights':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Arknights'
Army of Darkness,https://tvtropes.org/pmwiki/pmwiki.php/Film/ArmyOfDarkness,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/Film,'Army of Darkness':'https://tvtropes.org/pmwiki/pmwiki.php/Film/ArmyOfDarkness'
Asura's Wrath,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AsurasWrath,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/VideoGames,'Asura's Wrath':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AsurasWrath'
At the Mountains of Madness,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AtTheMountainsOfMadness,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/Literature,'At the Mountains of Madness':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AtTheMountainsOfMadness'
Atop the Fourth Wall,https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/AtopTheFourthWall,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/WebOriginal,'Atop the Fourth Wall':'https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/AtopTheFourthWall'
Attack on Titan,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AttackOnTitan,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga,'Attack on Titan':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AttackOnTitan'
Awful Hospital,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AwfulHospital,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/WebOriginal,'Awful Hospital':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AwfulHospital'
Aztec Mythology,https://tvtropes.org/pmwiki/pmwiki.php/Myth/AztecMythology,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/OtherMedia,'Aztec Mythology':'https://tvtropes.org/pmwiki/pmwiki.php/Myth/AztecMythology'
B.P.R.D.,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BPRD,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/ComicBooks,'B.P.R.D.':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BPRD'
Battlestar Galactica (2003),https://tvtropes.org/pmwiki/pmwiki.php/Series/BattlestarGalactica2003,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/TabletopGames,'Battlestar Galactica (2003)':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BattlestarGalactica2003'
Berserk,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Berserk,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/AnimeAndManga,'Berserk':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/Berserk'
BIONICLE,https://tvtropes.org/pmwiki/pmwiki.php/Toys/Bionicle,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/WebOriginal,'BIONICLE':'https://tvtropes.org/pmwiki/pmwiki.php/Toys/Bionicle'
Black Mirror,https://tvtropes.org/pmwiki/pmwiki.php/Series/BlackMirror,https://tvtropes.org/pmwiki/pmwiki.php/CosmicHorrorStory/LiveActionTV,'Black Mirror':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BlackMirror'
