text,url,source_url
B't X,/pmwiki/pmwiki.php/Anime/BtX,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Digimon Tamers,/pmwiki/pmwiki.php/Anime/DigimonTamers,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Evangelion,/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Digimon Adventure,/pmwiki/pmwiki.php/Anime/DigimonAdventure,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Digimon Adventure 02,/pmwiki/pmwiki.php/Anime/DigimonAdventure02,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Digimon Ghost Game,/pmwiki/pmwiki.php/Anime/DigimonGhostGame,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Digimon Frontier,/pmwiki/pmwiki.php/Anime/DigimonFrontier,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Digimon Xros Wars: The Young Hunters Who Leapt Through Time,/pmwiki/pmwiki.php/Anime/DigimonXrosWarsTheYoungHuntersWhoLeaptThroughTime,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Neon Genesis Evangelion,/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Digimon Ghost Game,/pmwiki/pmwiki.php/Anime/DigimonGhostGame,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Digimon Ghost Game,/pmwiki/pmwiki.php/Anime/DigimonGhostGame,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Divergence Eve,/pmwiki/pmwiki.php/Anime/DivergenceEve,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Dragon Ball Z,/pmwiki/pmwiki.php/Anime/DragonBallZ,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Dragon Ball Super,/pmwiki/pmwiki.php/Anime/DragonBallSuper,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Godzilla: Planet Eater,/pmwiki/pmwiki.php/Anime/GodzillaPlanetEater,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
GunBuster,/pmwiki/pmwiki.php/Anime/GunBuster,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Magical Girl Lyrical Nanoha A's,/pmwiki/pmwiki.php/Anime/MagicalGirlLyricalNanohaAs,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Mobile Fighter G Gundam,/pmwiki/pmwiki.php/Anime/MobileFighterGGundam,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Neon Genesis Evangelion,/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Rebuild,/pmwiki/pmwiki.php/Anime/RebuildOfEvangelion,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
One Piece,/pmwiki/pmwiki.php/Anime/OnePiece,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Movie 6,/pmwiki/pmwiki.php/Anime/BaronOmatsuriAndTheSecretIsland,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
One Piece Film: Red,/pmwiki/pmwiki.php/Anime/OnePieceFilmRed,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Pokémon: The Series,/pmwiki/pmwiki.php/Anime/PokemonTheSeries,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Dialga and Palkia's clashing,/pmwiki/pmwiki.php/Anime/PokemonTheRiseOfDarkrai,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Giratina,/pmwiki/pmwiki.php/Anime/PokemonGiratinaAndTheSkyWarrior,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Arceus,/pmwiki/pmwiki.php/Anime/PokemonArceusAndTheJewelOfLife,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Movie 3,/pmwiki/pmwiki.php/Anime/Pokemon3,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Princess Mononoke,/pmwiki/pmwiki.php/Anime/PrincessMononoke,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Puella Magi Madoka Magica,/pmwiki/pmwiki.php/Anime/PuellaMagiMadokaMagica,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Rebellion,/pmwiki/pmwiki.php/Anime/PuellaMagiMadokaMagicaTheMovieRebellion,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Sailor Moon,/pmwiki/pmwiki.php/Anime/SailorMoon,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Star Driver,/pmwiki/pmwiki.php/Anime/StarDriver,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Symphogear,/pmwiki/pmwiki.php/Anime/Symphogear,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Tengen Toppa Gurren Lagann,/pmwiki/pmwiki.php/Anime/TengenToppaGurrenLagann,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Twin Princess of Wonder Planet,/pmwiki/pmwiki.php/Anime/TwinPrincessOfWonderPlanet,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Xam'd: Lost Memories,/pmwiki/pmwiki.php/Anime/XamdLostMemories,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Yu-Gi-Oh!,/pmwiki/pmwiki.php/Anime/YuGiOh,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Yu-Gi-Oh! GX,/pmwiki/pmwiki.php/Anime/YuGiOhGX,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
,/pmwiki/pmwiki.php/Manga/FullmetalAlchemist,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Ah! My Goddess,/pmwiki/pmwiki.php/Manga/AhMyGoddess,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Attack on Titan,/pmwiki/pmwiki.php/Manga/AttackOnTitan,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Berserk,/pmwiki/pmwiki.php/Manga/Berserk,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Claymore,/pmwiki/pmwiki.php/Manga/Claymore,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
The Dark Queen and I Strike Back,/pmwiki/pmwiki.php/Manga/TheDarkQueenAndIStrikeBack,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Death Note,/pmwiki/pmwiki.php/Manga/DeathNote,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Dragon Ball,/pmwiki/pmwiki.php/Manga/DragonBall,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
EDENS ZERO,/pmwiki/pmwiki.php/Manga/EdensZero,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Fairy Tail,/pmwiki/pmwiki.php/Manga/FairyTail,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Freezing,/pmwiki/pmwiki.php/Manga/Freezing,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Fullmetal Alchemist,/pmwiki/pmwiki.php/Manga/FullmetalAlchemist,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Getter Robo,/pmwiki/pmwiki.php/Manga/GetterRobo,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Hakaiju,/pmwiki/pmwiki.php/Manga/Hakaiju,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Handyman Saitou in Another World,/pmwiki/pmwiki.php/Manga/HandymanSaitouInAnotherWorld,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Heavenly Delusion,/pmwiki/pmwiki.php/Manga/HeavenlyDelusion,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Hellsing,/pmwiki/pmwiki.php/Manga/Hellsing,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Heroman,/pmwiki/pmwiki.php/Manga/Heroman,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
JoJo's Bizarre Adventure: Golden Wind,/pmwiki/pmwiki.php/Manga/JojosBizarreAdventureGoldenWind,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Jujutsu Kaisen,/pmwiki/pmwiki.php/Manga/JujutsuKaisen,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Knights of Sidonia,/pmwiki/pmwiki.php/Manga/KnightsOfSidonia,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Magical Girl Lyrical Nanoha ViVid,/pmwiki/pmwiki.php/Manga/MagicalGirlLyricalNanohaVivid,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Boruto,/pmwiki/pmwiki.php/Manga/Boruto,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Psyren,/pmwiki/pmwiki.php/Manga/Psyren,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Rosario + Vampire,/pmwiki/pmwiki.php/Manga/RosarioPlusVampire,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
manga,/pmwiki/pmwiki.php/Manga/SailorMoon,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Sgt. Frog,/pmwiki/pmwiki.php/Manga/SgtFrog,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Shin Mazinger Zero,/pmwiki/pmwiki.php/Manga/ShinMazingerZero,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
Soul Eater,/pmwiki/pmwiki.php/Manga/SoulEater,https://tvtropes.org/pmwiki/pmwiki.php/EldritchAbomination/AnimeAndManga
