text,url,source_url
Dreamscape,/pmwiki/pmwiki.php/WebAnimation/Dreamscape,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Helluva Boss,/pmwiki/pmwiki.php/WebAnimation/HelluvaBoss,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
HTF +,/pmwiki/pmwiki.php/WebAnimation/HTFPlus,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
The Most Epic Story Ever Told in All of Human History,/pmwiki/pmwiki.php/WebAnimation/TheMostEpicStoryEverToldInAllOfHumanHistory,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
The Most Popular Girls in School,/pmwiki/pmwiki.php/WebAnimation/TheMostPopularGirlsInSchool,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Murder Drones,/pmwiki/pmwiki.php/WebAnimation/MurderDrones,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
No Evil,/pmwiki/pmwiki.php/WebAnimation/NoEvil,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Red vs. Blue,/pmwiki/pmwiki.php/WebAnimation/RedVsBlue,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
RWBY,/pmwiki/pmwiki.php/WebAnimation/RWBY,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Tiger Mask,/pmwiki/pmwiki.php/Manga/TigerMask,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
,/pmwiki/pmwiki.php/ComicBook/JudgeDredd,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Whateley Universe,/pmwiki/pmwiki.php/Literature/WhateleyUniverse,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Antigone,/pmwiki/pmwiki.php/Theatre/Antigone,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Oedipus Rex,/pmwiki/pmwiki.php/Theatre/OedipusRex,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Mrs. Hawking,/pmwiki/pmwiki.php/Theatre/MrsHawking,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
The Phantom of the Opera,/pmwiki/pmwiki.php/Theatre/ThePhantomOfTheOpera,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Love Never Dies,/pmwiki/pmwiki.php/Theatre/LoveNeverDies,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Der Ring des Nibelungen,/pmwiki/pmwiki.php/Theatre/DerRingDesNibelungen,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Twice Charmed,/pmwiki/pmwiki.php/Theatre/TwiceCharmed,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Arthurian Legend,/pmwiki/pmwiki.php/Myth/ArthurianLegend,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Norse Mythology,/pmwiki/pmwiki.php/Myth/NorseMythology,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Celtic Mythology,/pmwiki/pmwiki.php/Myth/CelticMythology,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Billy Joel,/pmwiki/pmwiki.php/Music/BillyJoel,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
"Snap, Crackle and Pop",/pmwiki/pmwiki.php/Advertising/SnapCrackleAndPop,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Raiders of the Lost Ark,/pmwiki/pmwiki.php/Film/RaidersOfTheLostArk,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Mary Poppins,/pmwiki/pmwiki.php/Film/MaryPoppins,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
Raiders of the Lost Ark,/pmwiki/pmwiki.php/Film/RaidersOfTheLostArk,https://tvtropes.org/pmwiki/pmwiki.php/Main/EvilCounterpart
