text,url,source_url
Compare the Meerkat,/pmwiki/pmwiki.php/Advertising/CompareTheMeerkat,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/Advertising
GEICO,/pmwiki/pmwiki.php/Advertising/GEICO,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/Advertising
Trix Rabbit,/pmwiki/pmwiki.php/Advertising/TrixRabbit,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/Advertising
Bugs Bunny,/pmwiki/pmwiki.php/WesternAnimation/BugsBunny,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/Advertising
Alice's Adventures in Wonderland (JP),/pmwiki/pmwiki.php/Anime/AlicesAdventuresInWonderlandJP,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/AnimeAndManga
Android Kikaider: The Animation,/pmwiki/pmwiki.php/Anime/AndroidKikaiderTheAnimation,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/AnimeAndManga
Armitage III,/pmwiki/pmwiki.php/Anime/ArmitageIII,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/AnimeAndManga
Astro Boy,/pmwiki/pmwiki.php/Anime/AstroBoy,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/AnimeAndManga
Blood+,/pmwiki/pmwiki.php/Anime/BloodPlus,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/AnimeAndManga
Blue Comet SPT Layzner,/pmwiki/pmwiki.php/Anime/BlueCometSPTLayzner,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/AnimeAndManga
BNA: Brand New Animal,/pmwiki/pmwiki.php/Anime/BNABrandNewAnimal,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/AnimeAndManga
Bubblegum Crisis,/pmwiki/pmwiki.php/Anime/BubblegumCrisis,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/AnimeAndManga
Cat Soup,/pmwiki/pmwiki.php/Anime/CatSoup,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/AnimeAndManga
Cross Ange,/pmwiki/pmwiki.php/Anime/CrossAnge,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/AnimeAndManga
Darker than Black,/pmwiki/pmwiki.php/Anime/DarkerThanBlack,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/AnimeAndManga
Daimos,/pmwiki/pmwiki.php/Anime/Daimos,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/AnimeAndManga
Digimon Frontier,/pmwiki/pmwiki.php/Anime/DigimonFrontier,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/AnimeAndManga
Digimon Data Squad,/pmwiki/pmwiki.php/Anime/DigimonDataSquad,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/AnimeAndManga
Dragon Ball Z,/pmwiki/pmwiki.php/Anime/DragonBallZ,https://tvtropes.org/pmwiki/pmwiki.php/FantasticRacism/AnimeAndManga
