text,url,source_url
Macross,/pmwiki/pmwiki.php/Anime/Macross,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
Super Dimension Fortress Macross,/pmwiki/pmwiki.php/Anime/SuperDimensionFortressMacross,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
Protodeviln,/pmwiki/pmwiki.php/Anime/Macross7,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
Mobile Suit Gundam 00,/pmwiki/pmwiki.php/Anime/MobileSuitGundam00,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
Awakening of the Trailblazer,/pmwiki/pmwiki.php/Anime/Gundam00AWakeningOfTheTrailblazer,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
Chew,/pmwiki/pmwiki.php/ComicBook/Chew,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
"
                    ",/pmwiki/pmwiki.php/Literature/FirstContact,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
First Contact,/pmwiki/pmwiki.php/Literature/FirstContact,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
First Contact,/pmwiki/pmwiki.php/Literature/FirstContact,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
The Journal Entries,/pmwiki/pmwiki.php/Literature/TheJournalEntries,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
Starsnatcher,/pmwiki/pmwiki.php/Literature/Starsnatcher,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
Son of Cliché,/pmwiki/pmwiki.php/Radio/SonOfCliche,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
Journey into Space,/pmwiki/pmwiki.php/Radio/JourneyIntoSpace,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
Lemon Demon,/pmwiki/pmwiki.php/Music/LemonDemon,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
Moby,/pmwiki/pmwiki.php/Music/Moby,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
,/pmwiki/pmwiki.php/Film/CloseEncountersOfTheThirdKind,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
Star Trek: First Contact,/pmwiki/pmwiki.php/Film/StarTrekFirstContact,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
"
                    ",/pmwiki/pmwiki.php/Webcomic/FirstContact,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
First Contact,/pmwiki/pmwiki.php/Webcomic/FirstContact,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
Planet 51,/pmwiki/pmwiki.php/WesternAnimation/Planet51,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
Futurama,/pmwiki/pmwiki.php/WesternAnimation/Futurama,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
Rick and Morty,/pmwiki/pmwiki.php/WesternAnimation/RickAndMorty,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
Star Trek: Lower Decks,/pmwiki/pmwiki.php/WesternAnimation/StarTrekLowerDecks,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact
