text,url,source_url,concatenated
A World of Difference,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AWorldOfDifference,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Literature,'A World of Difference':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AWorldOfDifference'
Alien,https://tvtropes.org/pmwiki/pmwiki.php/Film/Alien,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Film,'Alien':'https://tvtropes.org/pmwiki/pmwiki.php/Film/Alien'
Angel Station,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AngelStation,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Literature,'Angel Station':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AngelStation'
Anna Galactic,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AnnaGalactic,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Webcomics,'Anna Galactic':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AnnaGalactic'
Arrival,https://tvtropes.org/pmwiki/pmwiki.php/Film/Arrival,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Film,'Arrival':'https://tvtropes.org/pmwiki/pmwiki.php/Film/Arrival'
Arrivals from the Dark,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ArrivalsFromTheDark,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Literature,'Arrivals from the Dark':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ArrivalsFromTheDark'
Asgardians,https://tvtropes.org/pmwiki/pmwiki.php/Myth/NorseMythology,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Film,'Asgardians':'https://tvtropes.org/pmwiki/pmwiki.php/Myth/NorseMythology'
Awakening of the Trailblazer,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gundam00AWakeningOfTheTrailblazer,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact,'Awakening of the Trailblazer':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gundam00AWakeningOfTheTrailblazer'
Babylon 5,https://tvtropes.org/pmwiki/pmwiki.php/Series/BabylonFive,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/LiveActionTV,'Babylon 5':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BabylonFive'
Bill Nye the Science Guy,https://tvtropes.org/pmwiki/pmwiki.php/Series/BillNyeTheScienceGuy,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact,'Bill Nye the Science Guy':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BillNyeTheScienceGuy'
Birds of a Feather,https://tvtropes.org/pmwiki/pmwiki.php/Series/BirdsOfAFeather,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact,'Birds of a Feather':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BirdsOfAFeather'
Blindsight,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Blindsight,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Literature,'Blindsight':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Blindsight'
Captain Marvel (2019),https://tvtropes.org/pmwiki/pmwiki.php/Film/CaptainMarvel2019,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Film,'Captain Marvel (2019)':'https://tvtropes.org/pmwiki/pmwiki.php/Film/CaptainMarvel2019'
Chew,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Chew,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact,'Chew':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Chew'
Civilization: Beyond Earth,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CivilizationBeyondEarth,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/VideoGames,'Civilization: Beyond Earth':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CivilizationBeyondEarth'
Civilization: Call to Power,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CivilizationCallToPower,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/VideoGames,'Civilization: Call to Power':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CivilizationCallToPower'
Command & Conquer: Tiberian Series,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CommandAndConquerTiberianSeries,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/VideoGames,'Command & Conquer: Tiberian Series':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CommandAndConquerTiberianSeries'
Constellation Games,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ConstellationGames,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Literature,'Constellation Games':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ConstellationGames'
Contact,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Contact,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Literature,'Contact':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Contact'
Dark Skies,https://tvtropes.org/pmwiki/pmwiki.php/Series/DarkSkies,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/LiveActionTV,'Dark Skies':'https://tvtropes.org/pmwiki/pmwiki.php/Series/DarkSkies'
Dave Hollins - Space Cadet,https://tvtropes.org/pmwiki/pmwiki.php/Series/RedDwarf,https://tvtropes.org/pmwiki/pmwiki.php/Main/FirstContact,'Dave Hollins - Space Cadet':'https://tvtropes.org/pmwiki/pmwiki.php/Series/RedDwarf'
Death or Glory,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DeathOrGlory,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Literature,'Death or Glory':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/DeathOrGlory'
Defiance,https://tvtropes.org/pmwiki/pmwiki.php/Series/Defiance,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/LiveActionTV,'Defiance':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Defiance'
Discworld,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Discworld,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/FanWorks,'Discworld':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Discworld'
District 9,https://tvtropes.org/pmwiki/pmwiki.php/Film/District9,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Film,'District 9':'https://tvtropes.org/pmwiki/pmwiki.php/Film/District9'
Doctor Who,https://tvtropes.org/pmwiki/pmwiki.php/Series/DoctorWho,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/LiveActionTV,'Doctor Who':'https://tvtropes.org/pmwiki/pmwiki.php/Series/DoctorWho'
Doom,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Doom,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Literature,'Doom':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Doom'
Dungeon Crawler Carl,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DungeonCrawlerCarl,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Literature,'Dungeon Crawler Carl':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/DungeonCrawlerCarl'
E.T. the Extra-Terrestrial,https://tvtropes.org/pmwiki/pmwiki.php/Film/ETTheExtraTerrestrial,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Film,'E.T. the Extra-Terrestrial':'https://tvtropes.org/pmwiki/pmwiki.php/Film/ETTheExtraTerrestrial'
Earth Girl,https://tvtropes.org/pmwiki/pmwiki.php/Literature/EarthGirl,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Literature,'Earth Girl':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/EarthGirl'
Eden,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Eden,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Literature,'Eden':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Eden'
El Goonish Shive,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/ElGoonishShive,https://tvtropes.org/pmwiki/pmwiki.php/FirstContact/Webcomics,'El Goonish Shive':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/ElGoonishShive'
