text,url,source_url,concatenated
28 Days Later,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwentyEightDaysLater,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/OtherMedia,'28 Days Later':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TwentyEightDaysLater'
3OH!3,https://tvtropes.org/pmwiki/pmwiki.php/Music/ThreeOhThree,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'3OH!3':'https://tvtropes.org/pmwiki/pmwiki.php/Music/ThreeOhThree'
A Christmas Carol,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AChristmasCarol,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/FanWorks,'A Christmas Carol':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AChristmasCarol'
A Clockwork Orange,https://tvtropes.org/pmwiki/pmwiki.php/Film/AClockworkOrange,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/FanWorks,'A Clockwork Orange':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AClockworkOrange'
a John Hughes movie,https://tvtropes.org/pmwiki/pmwiki.php/Film/PrettyInPink,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'a John Hughes movie':'https://tvtropes.org/pmwiki/pmwiki.php/Film/PrettyInPink'
AC/DC,https://tvtropes.org/pmwiki/pmwiki.php/Music/ACDC,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'AC/DC':'https://tvtropes.org/pmwiki/pmwiki.php/Music/ACDC'
Alanis Morissette,https://tvtropes.org/pmwiki/pmwiki.php/Music/AlanisMorissette,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Alanis Morissette':'https://tvtropes.org/pmwiki/pmwiki.php/Music/AlanisMorissette'
Alphaville,https://tvtropes.org/pmwiki/pmwiki.php/Music/Alphaville,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Alphaville':'https://tvtropes.org/pmwiki/pmwiki.php/Music/Alphaville'
Alter Bridge,https://tvtropes.org/pmwiki/pmwiki.php/Music/AlterBridge,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Alter Bridge':'https://tvtropes.org/pmwiki/pmwiki.php/Music/AlterBridge'
AMV Hell,https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/AMVHell,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/FanWorks,'AMV Hell':'https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/AMVHell'
Anaïs Mitchell,https://tvtropes.org/pmwiki/pmwiki.php/Music/AnaisMitchell,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Anaïs Mitchell':'https://tvtropes.org/pmwiki/pmwiki.php/Music/AnaisMitchell'
Anarchy Club,https://tvtropes.org/pmwiki/pmwiki.php/Music/AnarchyClub,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Anarchy Club':'https://tvtropes.org/pmwiki/pmwiki.php/Music/AnarchyClub'
Angelspit,https://tvtropes.org/pmwiki/pmwiki.php/Music/Angelspit,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Angelspit':'https://tvtropes.org/pmwiki/pmwiki.php/Music/Angelspit'
Bad Brains,https://tvtropes.org/pmwiki/pmwiki.php/Music/BadBrains,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Bad Brains':'https://tvtropes.org/pmwiki/pmwiki.php/Music/BadBrains'
Batman & Captain America,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BatmanAndCaptainAmerica,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/ComicBooks,'Batman & Captain America':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BatmanAndCaptainAmerica'
Batman & Robin,https://tvtropes.org/pmwiki/pmwiki.php/Film/BatmanAndRobin,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Batman & Robin':'https://tvtropes.org/pmwiki/pmwiki.php/Film/BatmanAndRobin'
Beastie Boys,https://tvtropes.org/pmwiki/pmwiki.php/Music/BeastieBoys,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Beastie Boys':'https://tvtropes.org/pmwiki/pmwiki.php/Music/BeastieBoys'
Better Than Ezra,https://tvtropes.org/pmwiki/pmwiki.php/Music/BetterThanEzra,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Better Than Ezra':'https://tvtropes.org/pmwiki/pmwiki.php/Music/BetterThanEzra'
Billy Joel,https://tvtropes.org/pmwiki/pmwiki.php/Music/BillyJoel,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Billy Joel':'https://tvtropes.org/pmwiki/pmwiki.php/Music/BillyJoel'
blink-182,https://tvtropes.org/pmwiki/pmwiki.php/Music/Blink182,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'blink-182':'https://tvtropes.org/pmwiki/pmwiki.php/Music/Blink182'
Blue Man Group,https://tvtropes.org/pmwiki/pmwiki.php/Music/BlueManGroup,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Blue Man Group':'https://tvtropes.org/pmwiki/pmwiki.php/Music/BlueManGroup'
Bonnie Tyler,https://tvtropes.org/pmwiki/pmwiki.php/Music/BonnieTyler,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Bonnie Tyler':'https://tvtropes.org/pmwiki/pmwiki.php/Music/BonnieTyler'
Bowling for Soup,https://tvtropes.org/pmwiki/pmwiki.php/Music/BowlingForSoup,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Bowling for Soup':'https://tvtropes.org/pmwiki/pmwiki.php/Music/BowlingForSoup'
Bruno Mars,https://tvtropes.org/pmwiki/pmwiki.php/Music/BrunoMars,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Bruno Mars':'https://tvtropes.org/pmwiki/pmwiki.php/Music/BrunoMars'
Bumblefoot,https://tvtropes.org/pmwiki/pmwiki.php/Music/Bumblefoot,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Bumblefoot':'https://tvtropes.org/pmwiki/pmwiki.php/Music/Bumblefoot'
Bush,https://tvtropes.org/pmwiki/pmwiki.php/Music/Bush,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Bush':'https://tvtropes.org/pmwiki/pmwiki.php/Music/Bush'
Busta Rhymes,https://tvtropes.org/pmwiki/pmwiki.php/Music/BustaRhymes,https://tvtropes.org/pmwiki/pmwiki.php/Fridge/Music,'Busta Rhymes':'https://tvtropes.org/pmwiki/pmwiki.php/Music/BustaRhymes'
