text,url,source_url
Red vs. Blue,/pmwiki/pmwiki.php/WebAnimation/RedVsBlue,https://tvtropes.org/pmwiki/pmwiki.php/Main/WithGreatPowerComesGreatInsanity
Quinzel,/pmwiki/pmwiki.php/ComicBook/HarleyQuinn,https://tvtropes.org/pmwiki/pmwiki.php/Main/WithGreatPowerComesGreatInsanity
The Invisible Man,/pmwiki/pmwiki.php/Literature/TheInvisibleMan,https://tvtropes.org/pmwiki/pmwiki.php/Main/WithGreatPowerComesGreatInsanity
The Republic,/pmwiki/pmwiki.php/Literature/TheRepublic,https://tvtropes.org/pmwiki/pmwiki.php/Main/WithGreatPowerComesGreatInsanity
Brennus,/pmwiki/pmwiki.php/Literature/Brennus,https://tvtropes.org/pmwiki/pmwiki.php/Main/WithGreatPowerComesGreatInsanity
Defection,/pmwiki/pmwiki.php/Literature/Defection,https://tvtropes.org/pmwiki/pmwiki.php/Main/WithGreatPowerComesGreatInsanity
"Pay Me, Bug!",/pmwiki/pmwiki.php/Literature/PayMeBug,https://tvtropes.org/pmwiki/pmwiki.php/Main/WithGreatPowerComesGreatInsanity
The Questport Chronicles,/pmwiki/pmwiki.php/Literature/TheQuestportChronicles,https://tvtropes.org/pmwiki/pmwiki.php/Main/WithGreatPowerComesGreatInsanity
Whateley Universe,/pmwiki/pmwiki.php/Literature/WhateleyUniverse,https://tvtropes.org/pmwiki/pmwiki.php/Main/WithGreatPowerComesGreatInsanity
The Adventure Zone: Balance,/pmwiki/pmwiki.php/Podcast/TheAdventureZoneBalance,https://tvtropes.org/pmwiki/pmwiki.php/Main/WithGreatPowerComesGreatInsanity
Elvenquest,/pmwiki/pmwiki.php/Radio/Elvenquest,https://tvtropes.org/pmwiki/pmwiki.php/Main/WithGreatPowerComesGreatInsanity
Orion's Arm,/pmwiki/pmwiki.php/WebOriginal/OrionsArm,https://tvtropes.org/pmwiki/pmwiki.php/Main/WithGreatPowerComesGreatInsanity
Rick Point Blank,/pmwiki/pmwiki.php/WebVideo/RickPointBlank,https://tvtropes.org/pmwiki/pmwiki.php/Main/WithGreatPowerComesGreatInsanity
Babylon Bee,/pmwiki/pmwiki.php/Website/BabylonBee,https://tvtropes.org/pmwiki/pmwiki.php/Main/WithGreatPowerComesGreatInsanity
