text,url,source_url,concatenated
[PROTOTYPE],https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype,https://tvtropes.org/pmwiki/pmwiki.php/WithGreatPowerComesGreatInsanity/VideoGames,'[PROTOTYPE]':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype'
"20,000 Leagues Under the Sea",https://tvtropes.org/pmwiki/pmwiki.php/Literature/TwentyThousandLeaguesUnderTheSea,https://tvtropes.org/pmwiki/pmwiki.php/WithGreatPowerComesGreatInsanity/Literature,"'20,000 Leagues Under the Sea':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/TwentyThousandLeaguesUnderTheSea'"
A Fire Upon the Deep,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AFireUponTheDeep,https://tvtropes.org/pmwiki/pmwiki.php/WithGreatPowerComesGreatInsanity/Literature,'A Fire Upon the Deep':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AFireUponTheDeep'
A Practical Guide to Evil,https://tvtropes.org/pmwiki/pmwiki.php/Literature/APracticalGuideToEvil,https://tvtropes.org/pmwiki/pmwiki.php/WithGreatPowerComesGreatInsanity/Literature,'A Practical Guide to Evil':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/APracticalGuideToEvil'
a rescued slave,https://tvtropes.org/pmwiki/pmwiki.php/Film/ThePhantomMenace,https://tvtropes.org/pmwiki/pmwiki.php/WithGreatPowerComesGreatInsanity/Film,'a rescued slave':'https://tvtropes.org/pmwiki/pmwiki.php/Film/ThePhantomMenace'
Aberrant,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Aberrant,https://tvtropes.org/pmwiki/pmwiki.php/WithGreatPowerComesGreatInsanity/TabletopGames,'Aberrant':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Aberrant'
Abyss Crossing,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AbyssCrossing,https://tvtropes.org/pmwiki/pmwiki.php/WithGreatPowerComesGreatInsanity/VideoGames,'Abyss Crossing':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AbyssCrossing'
Adventure Time,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime,https://tvtropes.org/pmwiki/pmwiki.php/WithGreatPowerComesGreatInsanity/WesternAnimation,'Adventure Time':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime'
Agents of S.H.I.E.L.D.,https://tvtropes.org/pmwiki/pmwiki.php/Series/AgentsOfSHIELD,https://tvtropes.org/pmwiki/pmwiki.php/WithGreatPowerComesGreatInsanity/LiveActionTV,'Agents of S.H.I.E.L.D.':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AgentsOfSHIELD'
AKIRA,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Akira,https://tvtropes.org/pmwiki/pmwiki.php/WithGreatPowerComesGreatInsanity/AnimeAndManga,'AKIRA':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/Akira'
Aladdin: The Series,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AladdinTheSeries,https://tvtropes.org/pmwiki/pmwiki.php/WithGreatPowerComesGreatInsanity/WesternAnimation,'Aladdin: The Series':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AladdinTheSeries'
All Our Yesterdays,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllOurYesterdays,https://tvtropes.org/pmwiki/pmwiki.php/WithGreatPowerComesGreatInsanity/Literature,'All Our Yesterdays':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllOurYesterdays'
Amazon Women on the Moon,https://tvtropes.org/pmwiki/pmwiki.php/Film/AmazonWomenOnTheMoon,https://tvtropes.org/pmwiki/pmwiki.php/WithGreatPowerComesGreatInsanity/Film,'Amazon Women on the Moon':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AmazonWomenOnTheMoon'
An Outcast in Another World,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AnOutcastInAnotherWorld,https://tvtropes.org/pmwiki/pmwiki.php/WithGreatPowerComesGreatInsanity/Literature,'An Outcast in Another World':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AnOutcastInAnotherWorld'
And we all know how that ended,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CrisisCore,https://tvtropes.org/pmwiki/pmwiki.php/WithGreatPowerComesGreatInsanity/VideoGames,'And we all know how that ended':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CrisisCore'
