text,url,source_url
"Bagi, the Monster of Mighty Nature",/pmwiki/pmwiki.php/Anime/BagiTheMonsterOfMightyNature,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Ghost in the Shell (1995),/pmwiki/pmwiki.php/Anime/GhostInTheShell1995,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Flower Fairy,/pmwiki/pmwiki.php/Animation/FlowerFairy,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Dick Tracy,/pmwiki/pmwiki.php/ComicStrip/DickTracy,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
,/pmwiki/pmwiki.php/Literature/Deathscent,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
The Dunwich Horror,/pmwiki/pmwiki.php/Literature/TheDunwichHorror,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Strange Little Band,/pmwiki/pmwiki.php/Literature/StrangeLittleBand,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Tales of MU,/pmwiki/pmwiki.php/Literature/TalesOfMU,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Elcenia,/pmwiki/pmwiki.php/Literature/Elcenia,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
The Lay of Paul Twister,/pmwiki/pmwiki.php/Literature/TheLayOfPaulTwister,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Chrono Hustle,/pmwiki/pmwiki.php/Literature/ChronoHustle,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
The Wandering Inn,/pmwiki/pmwiki.php/Literature/TheWanderingInn,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
The Great God Pan,/pmwiki/pmwiki.php/Literature/TheGreatGodPan,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
The Eagle of the Ninth,/pmwiki/pmwiki.php/Literature/TheEagleOfTheNinth,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Iolanthe,/pmwiki/pmwiki.php/Theatre/Iolanthe,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Bat Boy: The Musical,/pmwiki/pmwiki.php/Theatre/BatBoyTheMusical,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Wicked,/pmwiki/pmwiki.php/Theatre/Wicked,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Amaluna,/pmwiki/pmwiki.php/Theatre/Amaluna,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
The Ring of the Nibelung,/pmwiki/pmwiki.php/Theatre/TheRingOfTheNibelung,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Shrek: The Musical,/pmwiki/pmwiki.php/Theatre/ShrekTheMusical,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
A Very Potter Sequel,/pmwiki/pmwiki.php/Theatre/AVeryPotterSequel,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Big Finish Doctor Who,/pmwiki/pmwiki.php/AudioPlay/BigFinishDoctorWho,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
The Fallen Gods,/pmwiki/pmwiki.php/Podcast/TheFallenGods,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Trials & Trebuchets,/pmwiki/pmwiki.php/Podcast/TrialsAndTrebuchets,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Avantasia,/pmwiki/pmwiki.php/Music/Avantasia,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
sasakure.UK,/pmwiki/pmwiki.php/Music/SasakureUK,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Protectors of the Plot Continuum,/pmwiki/pmwiki.php/WebOriginal/ProtectorsOfThePlotContinuum,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Critical Role,/pmwiki/pmwiki.php/WebVideo/CriticalRole,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Critters: A New Binge,/pmwiki/pmwiki.php/WebVideo/CrittersANewBinge,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Limyaael's Fantasy Rants,/pmwiki/pmwiki.php/Blog/LimyaaelsFantasyRants,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
SCP Foundation,/pmwiki/pmwiki.php/Website/SCPFoundation,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Afterlife SMP,/pmwiki/pmwiki.php/LetsPlay/AfterlifeSMP,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
,/pmwiki/pmwiki.php/WesternAnimation/StarWarsTheCloneWars,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
Arlo the Alligator Boy,/pmwiki/pmwiki.php/WesternAnimation/ArloTheAlligatorBoy,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid
