text,url,source_url,concatenated
Jurassic Park,https://tvtropes.org/pmwiki/pmwiki.php/Film/JurassicPark,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/VideoGames,'Jurassic Park':'https://tvtropes.org/pmwiki/pmwiki.php/Film/JurassicPark'
3×3 Eyes,https://tvtropes.org/pmwiki/pmwiki.php/Manga/SazanEyes,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/AnimeAndManga,'3×3 Eyes':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/SazanEyes'
8-Bit Theater,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/Webcomics,'8-Bit Theater':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater'
A Chorus of Dragons,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AChorusOfDragons,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/Literature,'A Chorus of Dragons':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AChorusOfDragons'
A Deal With A Demon,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ADealWithADemon,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/Literature,'A Deal With A Demon':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ADealWithADemon'
A Different Flesh,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ADifferentFlesh,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/Literature,'A Different Flesh':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ADifferentFlesh'
A Magical Roommate,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AMagicalRoommate,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/Webcomics,'A Magical Roommate':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AMagicalRoommate'
A Master of Djinn,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AMasterOfDjinn,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/Literature,'A Master of Djinn':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AMasterOfDjinn'
A Midsummer Night's Dream,https://tvtropes.org/pmwiki/pmwiki.php/Theatre/AMidsummerNightsDream,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/WesternAnimation,'A Midsummer Night's Dream':'https://tvtropes.org/pmwiki/pmwiki.php/Theatre/AMidsummerNightsDream'
A Pawns Dream,https://tvtropes.org/pmwiki/pmwiki.php/Literature/APawnsDream,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/Literature,'A Pawns Dream':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/APawnsDream'
A Sudden Wild Magic,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASuddenWildMagic,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/Literature,'A Sudden Wild Magic':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASuddenWildMagic'
A Very Potter Sequel,https://tvtropes.org/pmwiki/pmwiki.php/Theatre/AVeryPotterSequel,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid,'A Very Potter Sequel':'https://tvtropes.org/pmwiki/pmwiki.php/Theatre/AVeryPotterSequel'
Academicon Ex Virtus,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AcademiconExVirtus,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/Webcomics,'Academicon Ex Virtus':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AcademiconExVirtus'
Accidental Centaurs,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AccidentalCentaurs,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/Webcomics,'Accidental Centaurs':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AccidentalCentaurs'
Adell,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Disgaea2CursedMemories,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/VideoGames,'Adell':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Disgaea2CursedMemories'
Adventure Time,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/WesternAnimation,'Adventure Time':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime'
Afterlife SMP,https://tvtropes.org/pmwiki/pmwiki.php/LetsPlay/AfterlifeSMP,https://tvtropes.org/pmwiki/pmwiki.php/Main/HalfHumanHybrid,'Afterlife SMP':'https://tvtropes.org/pmwiki/pmwiki.php/LetsPlay/AfterlifeSMP'
Akumaizer 3,https://tvtropes.org/pmwiki/pmwiki.php/Series/Akumaizer3,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/LiveActionTV,'Akumaizer 3':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Akumaizer3'
Al-Qadim,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/AlQadim,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/TabletopGames,'Al-Qadim':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/AlQadim'
Alien: Resurrection,https://tvtropes.org/pmwiki/pmwiki.php/Film/AlienResurrection,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/LiveActionFilms,'Alien: Resurrection':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AlienResurrection'
Alpha Blue,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/AlphaBlue,https://tvtropes.org/pmwiki/pmwiki.php/HalfHumanHybrid/TabletopGames,'Alpha Blue':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/AlphaBlue'
