text,url,source_url
Osomatsu-san,/pmwiki/pmwiki.php/Anime/OsomatsuSan,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Bakuman。,/pmwiki/pmwiki.php/Manga/Bakuman,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Negima! Magister Negi Magi,/pmwiki/pmwiki.php/Manga/NegimaMagisterNegiMagi,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Sketchbook,/pmwiki/pmwiki.php/Manga/Sketchbook,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Osomatsu-kun,/pmwiki/pmwiki.php/Manga/OsomatsuKun,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
The Quintessential Quintuplets,/pmwiki/pmwiki.php/Manga/TheQuintessentialQuintuplets,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Cryptonomicon,/pmwiki/pmwiki.php/Literature/Cryptonomicon,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Kadingir,/pmwiki/pmwiki.php/Literature/Kadingir,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Bob and George,/pmwiki/pmwiki.php/Webcomic/BobAndGeorge,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Skin Horse,/pmwiki/pmwiki.php/Webcomic/SkinHorse,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
4chan,/pmwiki/pmwiki.php/Website/FourChan,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Gaia Online,/pmwiki/pmwiki.php/Website/GaiaOnline,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
The Onion,/pmwiki/pmwiki.php/Website/TheOnion,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
,/pmwiki/pmwiki.php/WesternAnimation/DonaldDuck,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Donald Duck,/pmwiki/pmwiki.php/WesternAnimation/DonaldDuck,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Finding Nemo,/pmwiki/pmwiki.php/WesternAnimation/FindingNemo,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Codename: Kids Next Door,/pmwiki/pmwiki.php/WesternAnimation/CodenameKidsNextDoor,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Kim Possible,/pmwiki/pmwiki.php/WesternAnimation/KimPossible,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Colbert,/pmwiki/pmwiki.php/Series/TheColbertReport,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Red Dwarf,/pmwiki/pmwiki.php/Series/RedDwarf,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
,/pmwiki/pmwiki.php/VideoGame/SkiesOfArcadia,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned
Fafner in the Azure: Dead Aggressor,/pmwiki/pmwiki.php/Anime/FafnerInTheAzureDeadAggressor,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Ghost in the Shell: Stand Alone Complex,/pmwiki/pmwiki.php/Anime/GhostInTheShellStandAloneComplex,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Macross,/pmwiki/pmwiki.php/Anime/Macross,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Macross Frontier,/pmwiki/pmwiki.php/Anime/MacrossFrontier,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Macross Delta,/pmwiki/pmwiki.php/Anime/MacrossDelta,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Neon Genesis Evangelion,/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Puella Magi Madoka Magica,/pmwiki/pmwiki.php/Anime/PuellaMagiMadokaMagica,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Robotech,/pmwiki/pmwiki.php/Anime/Robotech,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Str.A.In.: Strategic Armored Infantry,/pmwiki/pmwiki.php/Anime/StrainStrategicArmoredInfantry,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Tengen Toppa Gurren Lagann,/pmwiki/pmwiki.php/Anime/TengenToppaGurrenLagann,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Apocalypse no Toride,/pmwiki/pmwiki.php/Manga/ApocalypseNoToride,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
JoJo's Bizarre Adventure: Steel Ball Run,/pmwiki/pmwiki.php/Manga/JojosBizarreAdventureSteelBallRun,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Junji Ito Kyoufu Manga Collection,/pmwiki/pmwiki.php/Manga/JunjiItoKyoufuMangaCollection,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Magical Record Lyrical Nanoha Force,/pmwiki/pmwiki.php/Manga/MagicalRecordLyricalNanohaForce,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Marmalade Boy,/pmwiki/pmwiki.php/Manga/MarmaladeBoy,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Naruto,/pmwiki/pmwiki.php/Manga/Naruto,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Nausicaä of the Valley of the Wind,/pmwiki/pmwiki.php/Manga/NausicaaOfTheValleyOfTheWind,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Pokémon Adventures,/pmwiki/pmwiki.php/Manga/PokemonAdventures,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
Buck Godot: Zap Gun for Hire,/pmwiki/pmwiki.php/ComicBook/BuckGodotZapGunForHire,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight
