text,url,source_url,concatenated
[PROTOTYPE],https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'[PROTOTYPE]':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype'
4chan,https://tvtropes.org/pmwiki/pmwiki.php/Website/FourChan,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned,'4chan':'https://tvtropes.org/pmwiki/pmwiki.php/Website/FourChan'
A Certain Magical Index,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'A Certain Magical Index':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex'
A Hat Full of Sky,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AHatFullOfSky,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'A Hat Full of Sky':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AHatFullOfSky'
A Miracle of Science,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AMiracleOfScience,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'A Miracle of Science':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AMiracleOfScience'
Achron,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Achron,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Achron':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Achron'
Age of Wonders: Planetfall,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AgeOfWondersPlanetfall,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Age of Wonders: Planetfall':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AgeOfWondersPlanetfall'
Akinator,https://tvtropes.org/pmwiki/pmwiki.php/Website/Akinator,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Akinator':'https://tvtropes.org/pmwiki/pmwiki.php/Website/Akinator'
Alien Worlds (2020),https://tvtropes.org/pmwiki/pmwiki.php/Series/AlienWorlds2020,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Alien Worlds (2020)':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AlienWorlds2020'
Alliance/Union,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllianceUnion,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Alliance/Union':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllianceUnion'
Angel,https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Angel':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel'
Angel Station,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AngelStation,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Angel Station':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AngelStation'
Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Animorphs':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs'
Apocalypse no Toride,https://tvtropes.org/pmwiki/pmwiki.php/Manga/ApocalypseNoToride,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Apocalypse no Toride':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/ApocalypseNoToride'
Avatar: The Last Airbender,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AvatarTheLastAirbender,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Avatar: The Last Airbender':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AvatarTheLastAirbender'
Awake in the Night Land,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AwakeInTheNightLand,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Awake in the Night Land':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AwakeInTheNightLand'
Bakuman。,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Bakuman,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned,'Bakuman。':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/Bakuman'
Batman: The Brave and the Bold,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BatmanTheBraveAndTheBold,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Batman: The Brave and the Bold':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BatmanTheBraveAndTheBold'
Battle Beyond the Stars,https://tvtropes.org/pmwiki/pmwiki.php/Film/BattleBeyondTheStars,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Battle Beyond the Stars':'https://tvtropes.org/pmwiki/pmwiki.php/Film/BattleBeyondTheStars'
Battle Ground,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BattleGround,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Battle Ground':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/BattleGround'
Battleborn,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Battleborn,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Battleborn':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Battleborn'
Battlelords Of The Twenty Third Century,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/BattlelordsOfTheTwentyThirdCentury,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Battlelords Of The Twenty Third Century':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/BattlelordsOfTheTwentyThirdCentury'
Bazil Broketail,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BazilBroketail,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Bazil Broketail':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/BazilBroketail'
Ben 10: Alien Force,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Ben10AlienForce,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Ben 10: Alien Force':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Ben10AlienForce'
Ben 10: Alien Swarm,https://tvtropes.org/pmwiki/pmwiki.php/Film/Ben10AlienSwarm,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Ben 10: Alien Swarm':'https://tvtropes.org/pmwiki/pmwiki.php/Film/Ben10AlienSwarm'
BIONICLE,https://tvtropes.org/pmwiki/pmwiki.php/Toys/Bionicle,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'BIONICLE':'https://tvtropes.org/pmwiki/pmwiki.php/Toys/Bionicle'
Blood Is Mine,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/BloodIsMine,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Blood Is Mine':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/BloodIsMine'
Bob and George,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/BobAndGeorge,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned,'Bob and George':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/BobAndGeorge'
Bounders,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Bounders,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Bounders':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Bounders'
Buck Godot: Zap Gun for Hire,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BuckGodotZapGunForHire,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Buck Godot: Zap Gun for Hire':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BuckGodotZapGunForHire'
Buzz Lightyear of Star Command,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BuzzLightyearOfStarCommand,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Buzz Lightyear of Star Command':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BuzzLightyearOfStarCommand'
Callahan's Crosstime Saloon,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CallahansCrosstimeSaloon,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Callahan's Crosstime Saloon':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/CallahansCrosstimeSaloon'
Cell,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Cell,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Cell':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Cell'
Childhood's End,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ChildhoodsEnd,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Childhood's End':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ChildhoodsEnd'
Codename: Kids Next Door,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/CodenameKidsNextDoor,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned,'Codename: Kids Next Door':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/CodenameKidsNextDoor'
Codex Alera,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CodexAlera,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Codex Alera':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/CodexAlera'
Coffee Talk,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CoffeeTalk,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Coffee Talk':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CoffeeTalk'
Colbert,https://tvtropes.org/pmwiki/pmwiki.php/Series/TheColbertReport,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned,'Colbert':'https://tvtropes.org/pmwiki/pmwiki.php/Series/TheColbertReport'
Cold Snap,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ColdSnap,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Cold Snap':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ColdSnap'
Commonwealth Saga,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CommonwealthSaga,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Commonwealth Saga':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/CommonwealthSaga'
Conclave,https://www.wizards.com/magic/Magazine/Article.aspx?x=mtgcom/daily/mc7,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Conclave':'https://www.wizards.com/magic/Magazine/Article.aspx?x=mtgcom/daily/mc7'
Conquest: Frontier Wars,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ConquestFrontierWars,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Conquest: Frontier Wars':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ConquestFrontierWars'
Cryptonomicon,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Cryptonomicon,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned,'Cryptonomicon':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Cryptonomicon'
Cyberpunk 2077,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Cyberpunk2077,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Cyberpunk 2077':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Cyberpunk2077'
Dark Angel,https://tvtropes.org/pmwiki/pmwiki.php/Series/DarkAngel,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Dark Angel':'https://tvtropes.org/pmwiki/pmwiki.php/Series/DarkAngel'
Dark City,https://tvtropes.org/pmwiki/pmwiki.php/Film/DarkCity,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Dark City':'https://tvtropes.org/pmwiki/pmwiki.php/Film/DarkCity'
Dark Nest Trilogy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DarkNestTrilogy,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Dark Nest Trilogy':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/DarkNestTrilogy'
Dark Sun,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DarkSun,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Dark Sun':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DarkSun'
Darkspore,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Darkspore,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Darkspore':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Darkspore'
Deadpool,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Deadpool,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Deadpool':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Deadpool'
Death or Glory,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DeathOrGlory,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Death or Glory':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/DeathOrGlory'
Deep Rise,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/DeepRise,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Deep Rise':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/DeepRise'
Detroit: Become Human,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DetroitBecomeHuman,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Detroit: Become Human':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DetroitBecomeHuman'
Deus Ex: Invisible War,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DeusExInvisibleWar,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Deus Ex: Invisible War':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DeusExInvisibleWar'
Discover My Body,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DiscoverMyBody,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Discover My Body':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DiscoverMyBody'
Discworld,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Discworld,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Discworld':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Discworld'
District 9,https://tvtropes.org/pmwiki/pmwiki.php/Film/District9,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'District 9':'https://tvtropes.org/pmwiki/pmwiki.php/Film/District9'
Doctor Who,https://tvtropes.org/pmwiki/pmwiki.php/Series/DoctorWho,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Doctor Who':'https://tvtropes.org/pmwiki/pmwiki.php/Series/DoctorWho'
Dollhouse,https://tvtropes.org/pmwiki/pmwiki.php/Series/Dollhouse,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Dollhouse':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Dollhouse'
Dungeons & Dragons,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/DungeonsAndDragons,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Dungeons & Dragons':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/DungeonsAndDragons'
Durarara!!,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Durarara,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Durarara!!':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Durarara'
Earth: Final Conflict,https://tvtropes.org/pmwiki/pmwiki.php/Series/EarthFinalConflict,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Earth: Final Conflict':'https://tvtropes.org/pmwiki/pmwiki.php/Series/EarthFinalConflict'
Eclipse Phase,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/EclipsePhase,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Eclipse Phase':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/EclipsePhase'
Edge of Tomorrow,https://tvtropes.org/pmwiki/pmwiki.php/Film/EdgeOfTomorrow,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Edge of Tomorrow':'https://tvtropes.org/pmwiki/pmwiki.php/Film/EdgeOfTomorrow'
Elite,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Elite,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Elite':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Elite'
Emperor: Battle for Dune,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/EmperorBattleForDune,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Emperor: Battle for Dune':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/EmperorBattleForDune'
Ender's Game,https://tvtropes.org/pmwiki/pmwiki.php/Literature/EndersGame,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Ender's Game':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/EndersGame'
Endless Space 2,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/EndlessSpace2,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Endless Space 2':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/EndlessSpace2'
Exalted,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Exalted,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Exalted':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Exalted'
Fafner in the Azure: Dead Aggressor,https://tvtropes.org/pmwiki/pmwiki.php/Anime/FafnerInTheAzureDeadAggressor,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Fafner in the Azure: Dead Aggressor':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/FafnerInTheAzureDeadAggressor'
Fantastic Four,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/FantasticFour,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Fantastic Four':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/FantasticFour'
Final Fantasy XIV,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/FinalFantasyXIV,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Final Fantasy XIV':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/FinalFantasyXIV'
Finding Nemo,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/FindingNemo,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned,'Finding Nemo':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/FindingNemo'
Foundation's Edge,https://tvtropes.org/pmwiki/pmwiki.php/Literature/FoundationsEdge,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Foundation's Edge':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/FoundationsEdge'
FreeSpace,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/FreeSpace,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'FreeSpace':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/FreeSpace'
Fringe,https://tvtropes.org/pmwiki/pmwiki.php/Series/Fringe,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Fringe':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Fringe'
Gaia Online,https://tvtropes.org/pmwiki/pmwiki.php/Website/GaiaOnline,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/Lampooned,'Gaia Online':'https://tvtropes.org/pmwiki/pmwiki.php/Website/GaiaOnline'
Galaxy of Fear,https://tvtropes.org/pmwiki/pmwiki.php/Literature/GalaxyOfFear,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Galaxy of Fear':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/GalaxyOfFear'
Ghost in the Shell: Stand Alone Complex,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GhostInTheShellStandAloneComplex,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Ghost in the Shell: Stand Alone Complex':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/GhostInTheShellStandAloneComplex'
Goblins in the Castle,https://tvtropes.org/pmwiki/pmwiki.php/Literature/GoblinsInTheCastle,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Goblins in the Castle':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/GoblinsInTheCastle'
Godforsaken,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Godforsaken,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Godforsaken':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Godforsaken'
Gradius,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Gradius,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Gradius':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Gradius'
Green Patches,https://tvtropes.org/pmwiki/pmwiki.php/Literature/GreenPatches,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Green Patches':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/GreenPatches'
"Green, Blue, Red, and Vio",https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TheLegendOfZeldaFourSwordsAdventures,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,"'Green, Blue, Red, and Vio':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TheLegendOfZeldaFourSwordsAdventures'"
Guild Wars 2,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/GuildWars2,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Guild Wars 2':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/GuildWars2'
Half-Life,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/HalfLife,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Half-Life':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/HalfLife'
Half-Life: Alyx,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/HalfLifeAlyx,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Half-Life: Alyx':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/HalfLifeAlyx'
Hc Svnt Dracones,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/HcSvntDracones,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Hc Svnt Dracones':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/HcSvntDracones'
Hetalia: Axis Powers,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/HetaliaAxisPowers,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Hetalia: Axis Powers':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/HetaliaAxisPowers'
His Dark Materials,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HisDarkMaterials,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'His Dark Materials':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/HisDarkMaterials'
Horus Heresy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HorusHeresy,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'Horus Heresy':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/HorusHeresy'
How to Train Your Dragon,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/HowToTrainYourDragon,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'How to Train Your Dragon':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/HowToTrainYourDragon'
How to Train Your Dragon 2,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/HowToTrainYourDragon2,https://tvtropes.org/pmwiki/pmwiki.php/HiveMind/PlayedStraight,'How to Train Your Dragon 2':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/HowToTrainYourDragon2'
