text,url,source_url
DieBuster,/pmwiki/pmwiki.php/Anime/DieBuster,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Full Metal Panic? Fumoffu,/pmwiki/pmwiki.php/Anime/FullMetalPanicFumoffu,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Gaiking: Legend of Daiku Maryu,/pmwiki/pmwiki.php/Anime/GaikingLegendOfDaikuMaryu,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
GaoGaiGar,/pmwiki/pmwiki.php/Anime/GaoGaiGar,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Tengen Toppa Gurren Lagann,/pmwiki/pmwiki.php/Anime/TengenToppaGurrenLagann,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
GaoGaiGar,/pmwiki/pmwiki.php/Anime/GaoGaiGar,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Girls und Panzer,/pmwiki/pmwiki.php/Anime/GirlsUndPanzer,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Godannar,/pmwiki/pmwiki.php/Anime/Godannar,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Gunbuster,/pmwiki/pmwiki.php/Anime/Gunbuster,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Simon The Digger,/pmwiki/pmwiki.php/Anime/TengenToppaGurrenLagann,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Mobile Fighter G Gundam,/pmwiki/pmwiki.php/Anime/MobileFighterGGundam,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Kamina,/pmwiki/pmwiki.php/Anime/TengenToppaGurrenLagann,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Gai Daigouji,/pmwiki/pmwiki.php/Anime/MartianSuccessorNadesico,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Kallen Kouzuki,/pmwiki/pmwiki.php/Anime/CodeGeass,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Domon,/pmwiki/pmwiki.php/Anime/MobileFighterGGundam,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Gai,/pmwiki/pmwiki.php/Anime/MartianSuccessorNadesico,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Mobile Suit Gundam 00,/pmwiki/pmwiki.php/Anime/MobileSuitGundam00,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Gundam X,/pmwiki/pmwiki.php/Anime/AfterWarGundamX,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Gundam SEED,/pmwiki/pmwiki.php/Anime/MobileSuitGundamSeed,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
sequel,/pmwiki/pmwiki.php/Anime/MobileSuitGundamSeedDestiny,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Gundam Build Fighters,/pmwiki/pmwiki.php/Anime/GundamBuildFighters,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
Gundam Build Fighters Try,/pmwiki/pmwiki.php/Anime/GundamBuildFightersTry,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/MechaAnimeAndManga
