text,url,source_url,concatenated
24,https://tvtropes.org/pmwiki/pmwiki.php/Series/TwentyFour,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/LiveActionTV,'24':'https://tvtropes.org/pmwiki/pmwiki.php/Series/TwentyFour'
300,https://tvtropes.org/pmwiki/pmwiki.php/Film/ThreeHundred,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/LiveActionFilms,'300':'https://tvtropes.org/pmwiki/pmwiki.php/Film/ThreeHundred'
1776,https://tvtropes.org/pmwiki/pmwiki.php/Theatre/SeventeenSeventySix,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/Theatre,'1776':'https://tvtropes.org/pmwiki/pmwiki.php/Theatre/SeventeenSeventySix'
A Brother's Price,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ABrothersPrice,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/Literature,'A Brother's Price':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ABrothersPrice'
A Bug's Life,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ABugsLife,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/AnimatedFilms,'A Bug's Life':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ABugsLife'
A Certain Magical Index,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/OtherAnimeAndManga,'A Certain Magical Index':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex'
A Certain Scientific Railgun,https://tvtropes.org/pmwiki/pmwiki.php/Manga/ACertainScientificRailgun,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/OtherAnimeAndManga,'A Certain Scientific Railgun':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/ACertainScientificRailgun'
A Mage's Power,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AMagesPower,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/Literature,'A Mage's Power':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AMagesPower'
A Mid-Sinnoh Night's Dream,https://tvtropes.org/pmwiki/pmwiki.php/FanFic/AMidSinnohNightsDream,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/FanWorks,'A Mid-Sinnoh Night's Dream':'https://tvtropes.org/pmwiki/pmwiki.php/FanFic/AMidSinnohNightsDream'
A Song of Ice and Fire,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire,https://tvtropes.org/pmwiki/pmwiki.php/HotBlooded/Literature,'A Song of Ice and Fire':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire'
