text,url,source_url
Armitage III,/pmwiki/pmwiki.php/Anime/ArmitageIII,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Bakugan,/pmwiki/pmwiki.php/Anime/Bakugan,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Bara no Hana to Joe,/pmwiki/pmwiki.php/Anime/TheRoseFlowerAndJoe,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Blue Submarine No. 6,/pmwiki/pmwiki.php/Anime/BlueSubmarineNo6,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
The Cat Returns,/pmwiki/pmwiki.php/Anime/TheCatReturns,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Daimos,/pmwiki/pmwiki.php/Anime/Daimos,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
DARLING in the FRANXX,/pmwiki/pmwiki.php/Anime/DarlingInTheFranxx,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
CB Chara Go Nagai World,/pmwiki/pmwiki.php/Anime/CBCharaGoNagaiWorld,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Digimon Adventure 02,/pmwiki/pmwiki.php/Anime/DigimonAdventure02,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Pokémon: The Series,/pmwiki/pmwiki.php/Anime/PokemonTheSeries,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Veemon and Gatomon,/pmwiki/pmwiki.php/Anime/DigimonAdventure02,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Impmon and Renamon,/pmwiki/pmwiki.php/Anime/DigimonTamers,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Beelzemon and Mervamon,/pmwiki/pmwiki.php/Anime/DigimonFusion,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Fusion,/pmwiki/pmwiki.php/Anime/DigimonFusion,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Dog Days,/pmwiki/pmwiki.php/Anime/DogDays,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Dragon Ball Super,/pmwiki/pmwiki.php/Anime/DragonBallSuper,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Eureka Seven,/pmwiki/pmwiki.php/Anime/EurekaSeven,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Fullmetal Alchemist (2003),/pmwiki/pmwiki.php/Anime/FullmetalAlchemist2003,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Gundam Build Divers Re:RISE,/pmwiki/pmwiki.php/Anime/GundamBuildDiversReRise,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Himawari!,/pmwiki/pmwiki.php/Anime/Himawari,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
sequel series,/pmwiki/pmwiki.php/Anime/YashahimePrincessHalfDemon,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Yashahime: Princess Half-Demon,/pmwiki/pmwiki.php/Anime/YashahimePrincessHalfDemon,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Jewelpet Sunshine,/pmwiki/pmwiki.php/Anime/JewelpetSunshine,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Macross,/pmwiki/pmwiki.php/Anime/Macross,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Super Dimension Fortress Macross,/pmwiki/pmwiki.php/Anime/SuperDimensionFortressMacross,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Macross Dynamite 7,/pmwiki/pmwiki.php/Anime/Macross7,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Macross Delta,/pmwiki/pmwiki.php/Anime/MacrossDelta,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Mazinger Z,/pmwiki/pmwiki.php/Anime/MazingerZ,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Great Mazinger,/pmwiki/pmwiki.php/Anime/GreatMazinger,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
UFO Robo Grendizer,/pmwiki/pmwiki.php/Anime/UFORoboGrendizer,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Nadia: The Secret of Blue Water,/pmwiki/pmwiki.php/Anime/NadiaTheSecretOfBlueWater,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Neon Genesis Evangelion,/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Nerima Daikon Brothers,/pmwiki/pmwiki.php/Anime/NerimaDaikonBrothers,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Onegai My Melody,/pmwiki/pmwiki.php/Anime/OnegaiMyMelody,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Oruchuban Ebichu,/pmwiki/pmwiki.php/Anime/OruchubanEbichu,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
PaRappa the Rapper,/pmwiki/pmwiki.php/Anime/PaRappaTheRapper,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Phantom Quest Corp.,/pmwiki/pmwiki.php/Anime/PhantomQuestCorp,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Pokémon: The Series,/pmwiki/pmwiki.php/Anime/PokemonTheSeries,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Pokémon Heroes,/pmwiki/pmwiki.php/Anime/PokemonHeroes,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Pokémon the Series: XY,/pmwiki/pmwiki.php/Anime/PokemonTheSeriesXY,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Princess Tutu,/pmwiki/pmwiki.php/Anime/PrincessTutu,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Queen's Blade,/pmwiki/pmwiki.php/Anime/QueensBlade,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Robotech,/pmwiki/pmwiki.php/Anime/Robotech,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
90s anime,/pmwiki/pmwiki.php/Anime/SailorMoon,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
SuperS movie,/pmwiki/pmwiki.php/Anime/SailorMoonSuperSTheMovie,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Sailor Moon S movie,/pmwiki/pmwiki.php/Anime/SailorMoonSTheMovie,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Spirited Away,/pmwiki/pmwiki.php/Anime/SpiritedAway,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Tamako Market,/pmwiki/pmwiki.php/Anime/TamakoMarket,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Tenchi Muyo!,/pmwiki/pmwiki.php/Anime/TenchiMuyo,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Time of Eve,/pmwiki/pmwiki.php/Anime/TimeOfEve,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
The Vision of Escaflowne,/pmwiki/pmwiki.php/Anime/TheVisionOfEscaflowne,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Wicked City,/pmwiki/pmwiki.php/Anime/WickedCity,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Wolf Children,/pmwiki/pmwiki.php/Anime/WolfChildren,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
Wolf's Rain,/pmwiki/pmwiki.php/Anime/WolfsRain,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga
