text,url,source_url,concatenated
"""Weird Al"" Yankovic",https://tvtropes.org/pmwiki/pmwiki.php/Music/WeirdAlYankovic,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/OtherMedia,"'""Weird Al"" Yankovic':'https://tvtropes.org/pmwiki/pmwiki.php/Music/WeirdAlYankovic'"
½ Prince,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HalfPrince,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Literature,'½ Prince':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/HalfPrince'
101 Dalmatians: The Series,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/OneHundredAndOneDalmatiansTheSeries,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/WesternAnimation,'101 Dalmatians: The Series':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/OneHundredAndOneDalmatiansTheSeries'
19th century play and an opera,https://tvtropes.org/pmwiki/pmwiki.php/Theatre/TheSnowMaiden,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Literature,'19th century play and an opera':'https://tvtropes.org/pmwiki/pmwiki.php/Theatre/TheSnowMaiden'
2 Stupid Dogs,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/TwoStupidDogs,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/WesternAnimation,'2 Stupid Dogs':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/TwoStupidDogs'
2011 IDW comic,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TeenageMutantNinjaTurtlesIDW,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/ComicBooks,'2011 IDW comic':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TeenageMutantNinjaTurtlesIDW'
21st Century Fox,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/TwentyFirstCenturyFox,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Webcomics,'21st Century Fox':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/TwentyFirstCenturyFox'
4chan,https://tvtropes.org/pmwiki/pmwiki.php/Website/FourChan,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/FanWorks,'4chan':'https://tvtropes.org/pmwiki/pmwiki.php/Website/FourChan'
8-Bit Theater,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Webcomics,'8-Bit Theater':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater'
90s anime,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SailorMoon,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga,'90s anime':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/SailorMoon'
A Bug's Life,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ABugsLife,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Film,'A Bug's Life':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ABugsLife'
A Certain Magical Index,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga,'A Certain Magical Index':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex'
A Court of Thorns and Roses,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACourtOfThornsAndRoses,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Literature,'A Court of Thorns and Roses':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACourtOfThornsAndRoses'
A Deal With A Demon,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ADealWithADemon,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Literature,'A Deal With A Demon':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ADealWithADemon'
A Discovery of Witches,https://tvtropes.org/pmwiki/pmwiki.php/Series/ADiscoveryOfWitches,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/LiveActionTV,'A Discovery of Witches':'https://tvtropes.org/pmwiki/pmwiki.php/Series/ADiscoveryOfWitches'
A Fox Tail,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AFoxTail,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Literature,'A Fox Tail':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AFoxTail'
A House of Many Doors,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AHouseOfManyDoors,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/VideoGames,'A House of Many Doors':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AHouseOfManyDoors'
A Magical Roommate,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AMagicalRoommate,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Webcomics,'A Magical Roommate':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AMagicalRoommate'
A Master of Djinn,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AMasterOfDjinn,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Literature,'A Master of Djinn':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AMasterOfDjinn'
A New Hope,https://tvtropes.org/pmwiki/pmwiki.php/Film/ANewHope,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Literature,'A New Hope':'https://tvtropes.org/pmwiki/pmwiki.php/Film/ANewHope'
Star Trek: The Next Generation,https://tvtropes.org/pmwiki/pmwiki.php/Series/StarTrekTheNextGeneration,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/FanWorks,'Star Trek: The Next Generation':'https://tvtropes.org/pmwiki/pmwiki.php/Series/StarTrekTheNextGeneration'
Taiko no Tatsujin,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TaikoNoTatsujin,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/VideoGames,'Taiko no Tatsujin':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TaikoNoTatsujin'
Kamen Rider Kiva,https://tvtropes.org/pmwiki/pmwiki.php/Series/KamenRiderKiva,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/FanWorks,'Kamen Rider Kiva':'https://tvtropes.org/pmwiki/pmwiki.php/Series/KamenRiderKiva'
A Very Potter Sequel,https://tvtropes.org/pmwiki/pmwiki.php/Theatre/AVeryPotterSequel,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/OtherMedia,'A Very Potter Sequel':'https://tvtropes.org/pmwiki/pmwiki.php/Theatre/AVeryPotterSequel'
Adastra,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/Adastra2018,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/OtherMedia,'Adastra':'https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/Adastra2018'
Adventure Time,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/FanWorks,'Adventure Time':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime'
Adventures of Sonic the Hedgehog,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventuresOfSonicTheHedgehog,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/VideoGames,'Adventures of Sonic the Hedgehog':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventuresOfSonicTheHedgehog'
Agarest Senki,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AgarestSenki,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/VideoGames,'Agarest Senki':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AgarestSenki'
Ah! Archfall!,https://tvtropes.org/pmwiki/pmwiki.php/FanFic/AhArchfall,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/FanWorks,'Ah! Archfall!':'https://tvtropes.org/pmwiki/pmwiki.php/FanFic/AhArchfall'
Ah! My Goddess,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AhMyGoddess,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga,'Ah! My Goddess':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AhMyGoddess'
Akiho Matsuo,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/WonderMomo,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/VideoGames,'Akiho Matsuo':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/WonderMomo'
Aladdin,https://tvtropes.org/pmwiki/pmwiki.php/Film/Aladdin2019,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Film,'Aladdin':'https://tvtropes.org/pmwiki/pmwiki.php/Film/Aladdin2019'
Albatross,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/RollingThunder,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/VideoGames,'Albatross':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/RollingThunder'
Alexis,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TransformersArmada,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/FanWorks,'Alexis':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/TransformersArmada'
Alfred J. Kwak,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AlfredJKwak,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/WesternAnimation,'Alfred J. Kwak':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AlfredJKwak'
Alice Comedies,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AliceComedies,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/WesternAnimation,'Alice Comedies':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AliceComedies'
"Alice, Girl from the Future",https://tvtropes.org/pmwiki/pmwiki.php/Literature/AliceGirlFromTheFuture,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/FanWorks,"'Alice, Girl from the Future':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AliceGirlFromTheFuture'"
Alien Abduction Role Play,https://tvtropes.org/pmwiki/pmwiki.php/AudioPlay/AlienAbductionRolePlay,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/WebOriginal,'Alien Abduction Role Play':'https://tvtropes.org/pmwiki/pmwiki.php/AudioPlay/AlienAbductionRolePlay'
Alien Nation,https://tvtropes.org/pmwiki/pmwiki.php/Series/AlienNation,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Literature,'Alien Nation':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AlienNation'
Alien: Resurrection,https://tvtropes.org/pmwiki/pmwiki.php/Film/AlienResurrection,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Film,'Alien: Resurrection':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AlienResurrection'
Aliens in the Family,https://tvtropes.org/pmwiki/pmwiki.php/Series/AliensInTheFamily,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/LiveActionTV,'Aliens in the Family':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AliensInTheFamily'
Alison Blaire,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Dazzler,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/FanWorks,'Alison Blaire':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Dazzler'
Alvin and the Chipmunks,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AlvinAndTheChipmunks,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/WesternAnimation,'Alvin and the Chipmunks':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AlvinAndTheChipmunks'
American Dad!,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDad,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/WesternAnimation,'American Dad!':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDad'
American Dragon: Jake Long,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDragonJakeLong,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/WesternAnimation,'American Dragon: Jake Long':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDragonJakeLong'
American Flagg!,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AmericanFlagg,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/ComicBooks,'American Flagg!':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AmericanFlagg'
Amorous,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/Amorous,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/OtherMedia,'Amorous':'https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/Amorous'
An American Tail: Fievel Goes West,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AnAmericanTailFievelGoesWest,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/WesternAnimation,'An American Tail: Fievel Goes West':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AnAmericanTailFievelGoesWest'
Angel,https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/LiveActionTV,'Angel':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel'
Animal Collective,https://tvtropes.org/pmwiki/pmwiki.php/Music/AnimalCollective,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/OtherMedia,'Animal Collective':'https://tvtropes.org/pmwiki/pmwiki.php/Music/AnimalCollective'
Animal Restaurant,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AnimalRestaurant,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/VideoGames,'Animal Restaurant':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AnimalRestaurant'
Animal Yokocho,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AnimalYokocho,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/AnimeAndManga,'Animal Yokocho':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AnimalYokocho'
Animalympics,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Animalympics,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Film,'Animalympics':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Animalympics'
Animaniacs,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Animaniacs,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/WesternAnimation,'Animaniacs':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Animaniacs'
Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/FanWorks,'Animorphs':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs'
Apotheosis,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ApotheosisSwann,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Literature,'Apotheosis':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ApotheosisSwann'
Apprentice Adept,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ApprenticeAdept,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Literature,'Apprentice Adept':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ApprenticeAdept'
Aquaman,https://tvtropes.org/pmwiki/pmwiki.php/Film/Aquaman2018,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/Film,'Aquaman':'https://tvtropes.org/pmwiki/pmwiki.php/Film/Aquaman2018'
Ar tonelico: Melody of Elemia,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArTonelicoMelodyOfElemia,https://tvtropes.org/pmwiki/pmwiki.php/InterspeciesRomance/VideoGames,'Ar tonelico: Melody of Elemia':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArTonelicoMelodyOfElemia'
