text,url,source_url
,/pmwiki/pmwiki.php/Anime/BladeRunnerBlackLotus,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
Pleasant Goat and Big Big Wolf: Amazing Pleasant Goat,/pmwiki/pmwiki.php/Animation/PleasantGoatAndBigBigWolfAmazingPleasantGoat,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
AstroLOLogy,/pmwiki/pmwiki.php/WebAnimation/AstroLOLogy,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
The Spider Cliff Mysteries,/pmwiki/pmwiki.php/WebAnimation/TheSpiderCliffMysteries,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
Supermarioglitchy4's Super Mario 64 Bloopers,/pmwiki/pmwiki.php/WebAnimation/Supermarioglitchy4sSuperMario64Bloopers,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
The Remarried Empress,/pmwiki/pmwiki.php/Manhwa/TheRemarriedEmpress,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
,/pmwiki/pmwiki.php/ComicBook/DisposableFiction,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
Doctor Who: Four Doctors,/pmwiki/pmwiki.php/ComicBook/DoctorWhoFourDoctors,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
Hägar the Horrible,/pmwiki/pmwiki.php/ComicStrip/HagarTheHorrible,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
Receiver of Many,/pmwiki/pmwiki.php/Literature/ReceiverOfMany,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
Critical Role,/pmwiki/pmwiki.php/WebVideo/CriticalRole,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
SuperMarioLogan,/pmwiki/pmwiki.php/WebVideo/SuperMarioLogan,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
The Crew of the Copper-Colored Cupids,/pmwiki/pmwiki.php/Website/TheCrewOfTheCopperColoredCupids,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
Shrek 2,/pmwiki/pmwiki.php/WesternAnimation/Shrek2,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
Aladdin,/pmwiki/pmwiki.php/WesternAnimation/Aladdin,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
Secret Magic Control Agency,/pmwiki/pmwiki.php/WesternAnimation/SecretMagicControlAgency,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
Shrek 2,/pmwiki/pmwiki.php/WesternAnimation/Shrek2,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
Strange Magic,/pmwiki/pmwiki.php/WesternAnimation/StrangeMagic,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
Merlon,/pmwiki/pmwiki.php/VideoGame/PaperMario,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
Winter,/pmwiki/pmwiki.php/Wrestling/KatarinaWaters,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
Angelina Love,/pmwiki/pmwiki.php/Wrestling/AngelinaLove,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion
,/pmwiki/pmwiki.php/Literature/Reason,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/Advertising
Cutey Honey,/pmwiki/pmwiki.php/Anime/CuteyHoney,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/AnimeAndManga
Danganronpa 3: The End of Hope's Peak High School,/pmwiki/pmwiki.php/Anime/Danganronpa3TheEndOfHopesPeakHighSchool,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/AnimeAndManga
Osomatsu-san,/pmwiki/pmwiki.php/Anime/OsomatsuSan,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/AnimeAndManga
"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",/pmwiki/pmwiki.php/Manga/The100GirlfriendsWhoReallyReallyReallyReallyReallyLoveYou,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/AnimeAndManga
Ah! My Goddess,/pmwiki/pmwiki.php/Manga/AhMyGoddess,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/AnimeAndManga
A Certain Scientific Railgun,/pmwiki/pmwiki.php/Manga/ACertainScientificRailgun,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/AnimeAndManga
Fairy Tail,/pmwiki/pmwiki.php/Manga/FairyTail,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/AnimeAndManga
Fist of the North Star,/pmwiki/pmwiki.php/Manga/FistOfTheNorthStar,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/AnimeAndManga
Fushigi Yuugi,/pmwiki/pmwiki.php/Manga/FushigiYuugi,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/AnimeAndManga
Ghost Sweeper Mikami,/pmwiki/pmwiki.php/Manga/GhostSweeperMikami,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/AnimeAndManga
Inuyasha,/pmwiki/pmwiki.php/Manga/Inuyasha,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/AnimeAndManga
Kamen no Maid Guy,/pmwiki/pmwiki.php/Manga/KamenNoMaidGuy,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/AnimeAndManga
Magical Pokémon Journey,/pmwiki/pmwiki.php/Manga/MagicalPokemonJourney,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/AnimeAndManga
