text,url,source_url,concatenated
1985 counterpart's,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Thundercats1985,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/WesternAnimation,'1985 counterpart's':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Thundercats1985'
7th Sea,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/SeventhSea,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/TabletopGames,'7th Sea':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/SeventhSea'
A Brother's Price,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ABrothersPrice,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/Literature,'A Brother's Price':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ABrothersPrice'
A Certain Scientific Railgun,https://tvtropes.org/pmwiki/pmwiki.php/Manga/ACertainScientificRailgun,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/AnimeAndManga,'A Certain Scientific Railgun':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/ACertainScientificRailgun'
A Key An Egg An Unfortunate Remark,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AKeyAnEggAnUnfortunateRemark,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/Literature,'A Key An Egg An Unfortunate Remark':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AKeyAnEggAnUnfortunateRemark'
A Man with a Maid,https://tvtropes.org/pmwiki/pmwiki.php/Film/AManWithAMaid,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/LiveActionFilms,'A Man with a Maid':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AManWithAMaid'
A Midsummer Night's Dream,https://tvtropes.org/pmwiki/pmwiki.php/Theatre/AMidsummerNightsDream,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/LiveActionFilms,'A Midsummer Night's Dream':'https://tvtropes.org/pmwiki/pmwiki.php/Theatre/AMidsummerNightsDream'
A Midsummer Tempest,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AMidsummerTempest,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/Literature,'A Midsummer Tempest':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AMidsummerTempest'
A Most Improper Magick,https://tvtropes.org/pmwiki/pmwiki.php/Literature/KatIncorrigible,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/Literature,'A Most Improper Magick':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/KatIncorrigible'
Ah! My Goddess,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AhMyGoddess,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/AnimeAndManga,'Ah! My Goddess':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AhMyGoddess'
Aladdin,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Aladdin,https://tvtropes.org/pmwiki/pmwiki.php/Main/LovePotion,'Aladdin':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Aladdin'
Alan Ford,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AlanFord,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/ComicBooks,'Alan Ford':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AlanFord'
Alien Nation,https://tvtropes.org/pmwiki/pmwiki.php/Series/AlienNation,https://tvtropes.org/pmwiki/pmwiki.php/LovePotion/LiveActionTV,'Alien Nation':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AlienNation'
