text,url,source_url
Arcadia of My Youth,/pmwiki/pmwiki.php/Anime/ArcadiaOfMyYouth,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
Pleasant Goat and Big Big Wolf,/pmwiki/pmwiki.php/Animation/PleasantGoatAndBigBigWolf,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
Arakawa Under the Bridge,/pmwiki/pmwiki.php/Manga/ArakawaUnderTheBridge,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
Arakawa Under the Bridge,/pmwiki/pmwiki.php/Manga/ArakawaUnderTheBridge,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
,/pmwiki/pmwiki.php/ComicBook/TheIncredibleHulk,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
Superman,/pmwiki/pmwiki.php/ComicBook/Superman,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
The Flash,/pmwiki/pmwiki.php/ComicBook/TheFlash,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
Bruce,/pmwiki/pmwiki.php/ComicBook/TheIncredibleHulk,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
Small Problem,/pmwiki/pmwiki.php/Literature/SmallProblem,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
Whateley Universe,/pmwiki/pmwiki.php/Literature/WhateleyUniverse,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
The Avengers,/pmwiki/pmwiki.php/Film/TheAvengers2012,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
The Lord of the Rings,/pmwiki/pmwiki.php/Film/TheLordOfTheRings,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
Hetalia: Axis Powers,/pmwiki/pmwiki.php/Webcomic/HetaliaAxisPowers,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
Tales From My D&D Campaign,/pmwiki/pmwiki.php/WebVideo/TalesFromMyDDCampaign,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
,/pmwiki/pmwiki.php/VideoGame/MegaMan7,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
DC Nation,/pmwiki/pmwiki.php/Roleplay/DCNation,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants
Android Kikaider: The Animation,/pmwiki/pmwiki.php/Anime/AndroidKikaiderTheAnimation,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Arabian Nights: Adventures of Sinbad,/pmwiki/pmwiki.php/Anime/ArabianNightsAdventuresOfSinbad,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Astro Boy,/pmwiki/pmwiki.php/Anime/AstroBoy,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Digimon Frontier,/pmwiki/pmwiki.php/Anime/DigimonFrontier,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Sailor Moon,/pmwiki/pmwiki.php/Anime/SailorMoon,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Digimon Tamers,/pmwiki/pmwiki.php/Anime/DigimonTamers,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Dog Days,/pmwiki/pmwiki.php/Anime/DogDays,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Dragon Ball Z,/pmwiki/pmwiki.php/Anime/DragonBallZ,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Dragon Ball GT,/pmwiki/pmwiki.php/Anime/DragonBallGT,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Kemonozume,/pmwiki/pmwiki.php/Anime/Kemonozume,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Magical Project S,/pmwiki/pmwiki.php/Anime/MagicalProjectS,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Pokémon the Series: Black & White,/pmwiki/pmwiki.php/Anime/PokemonTheSeriesBlackAndWhite,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Revolutionary Girl Utena,/pmwiki/pmwiki.php/Anime/RevolutionaryGirlUtena,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Scryed,/pmwiki/pmwiki.php/Anime/Scryed,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Urusei Yatsura,/pmwiki/pmwiki.php/Anime/UruseiYatsura,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Xam'd: Lost Memories,/pmwiki/pmwiki.php/Anime/XamdLostMemories,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Ayakashi Triangle,/pmwiki/pmwiki.php/Manga/AyakashiTriangle,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Black Blood Brothers,/pmwiki/pmwiki.php/Manga/BlackBloodBrothers,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Black Clover,/pmwiki/pmwiki.php/Manga/BlackClover,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Blue Exorcist,/pmwiki/pmwiki.php/Manga/BlueExorcist,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Chrono Crusade,/pmwiki/pmwiki.php/Manga/ChronoCrusade,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
D.Gray-Man,/pmwiki/pmwiki.php/Manga/DGrayMan,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Dragon Ball,/pmwiki/pmwiki.php/Manga/DragonBall,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Fist of the North Star,/pmwiki/pmwiki.php/Manga/FistOfTheNorthStar,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Fullmetal Alchemist,/pmwiki/pmwiki.php/Manga/FullmetalAlchemist,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Gigant,/pmwiki/pmwiki.php/Manga/Gigant,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Hunter × Hunter,/pmwiki/pmwiki.php/Manga/HunterXHunter,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Inuyasha,/pmwiki/pmwiki.php/Manga/InuYasha,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Magic Knight Rayearth,/pmwiki/pmwiki.php/Manga/MagicKnightRayearth,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
My Hero Academia,/pmwiki/pmwiki.php/Manga/MyHeroAcademia,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Naruto,/pmwiki/pmwiki.php/Manga/Naruto,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Negima! Magister Negi Magi,/pmwiki/pmwiki.php/Manga/NegimaMagisterNegiMagi,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
One Piece,/pmwiki/pmwiki.php/Manga/OnePiece,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
PandoraHearts,/pmwiki/pmwiki.php/Manga/PandoraHearts,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Ranma ½,/pmwiki/pmwiki.php/Manga/RanmaOneHalf,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Reborn! (2004),/pmwiki/pmwiki.php/Manga/Reborn2004,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Rosario + Vampire,/pmwiki/pmwiki.php/Manga/RosarioPlusVampire,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
The Seven Deadly Sins,/pmwiki/pmwiki.php/Manga/TheSevenDeadlySins,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Tokyo Mew Mew,/pmwiki/pmwiki.php/Manga/TokyoMewMew,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Violinist of Hameln,/pmwiki/pmwiki.php/Manga/ViolinistOfHameln,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Wolf Guy - Wolfen Crest,/pmwiki/pmwiki.php/Manga/WolfGuyWolfenCrest,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
Yu Yu Hakusho Abridged,/pmwiki/pmwiki.php/WebVideo/YuYuHakushoAbridged,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga
All-New Ultimates,/pmwiki/pmwiki.php/ComicBook/AllNewUltimates,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Atomic Robo,/pmwiki/pmwiki.php/ComicBook/AtomicRobo,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Blue Beetle,/pmwiki/pmwiki.php/ComicBook/BlueBeetle,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Captain Atom,/pmwiki/pmwiki.php/ComicBook/CaptainAtom,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
The Creeper,/pmwiki/pmwiki.php/ComicBook/TheCreeper,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
ElfQuest,/pmwiki/pmwiki.php/ComicBook/ElfQuest,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Extinctioners,/pmwiki/pmwiki.php/ComicBook/Extinctioners,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
The Incredible Hulk,/pmwiki/pmwiki.php/ComicBook/TheIncredibleHulk,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
The Ultimates,/pmwiki/pmwiki.php/ComicBook/TheUltimates,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
The Avengers,/pmwiki/pmwiki.php/ComicBook/TheAvengers,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
She-Hulk,/pmwiki/pmwiki.php/ComicBook/SheHulk,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
She-Hulk,/pmwiki/pmwiki.php/ComicBook/SheHulk,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Deadpool,/pmwiki/pmwiki.php/ComicBook/Deadpool,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Top 10,/pmwiki/pmwiki.php/ComicBook/TopTen,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
The Infinity Crusade,/pmwiki/pmwiki.php/ComicBook/TheInfinityCrusade,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Reed,/pmwiki/pmwiki.php/ComicBook/FantasticFour,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Ultimate Marvel,/pmwiki/pmwiki.php/ComicBook/UltimateMarvel,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Immortal Hulk,/pmwiki/pmwiki.php/ComicBook/ImmortalHulk,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Iron Man,/pmwiki/pmwiki.php/ComicBook/IronMan,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Marvel Adventures,/pmwiki/pmwiki.php/ComicBook/MarvelAdventures,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Luke Cage,/pmwiki/pmwiki.php/ComicBook/LukeCage,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Martian Manhunter,/pmwiki/pmwiki.php/ComicBook/MartianManhunter,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Morbius,/pmwiki/pmwiki.php/ComicBook/Morbius,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Power Pack,/pmwiki/pmwiki.php/ComicBook/PowerPack,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Robin (1993),/pmwiki/pmwiki.php/ComicBook/Robin1993,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
The Savage Dragon,/pmwiki/pmwiki.php/ComicBook/TheSavageDragon,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Spider-Island,/pmwiki/pmwiki.php/ComicBook/SpiderIsland,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Hawkeye,/pmwiki/pmwiki.php/ComicBook/Hawkeye,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Black Panther,/pmwiki/pmwiki.php/ComicBook/BlackPanther,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Spider-Man 2099,/pmwiki/pmwiki.php/ComicBook/SpiderMan2099,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Ultimate Spider-Man,/pmwiki/pmwiki.php/ComicBook/UltimateSpiderMan,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
Über,/pmwiki/pmwiki.php/ComicBook/Uber,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks
