text,url,source_url,concatenated
[PROTOTYPE],https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/VideoGames,'[PROTOTYPE]':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype'
A Master of Djinn,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AMasterOfDjinn,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/Literature,'A Master of Djinn':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AMasterOfDjinn'
Aberrant,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Aberrant,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/TabletopGames,'Aberrant':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Aberrant'
Advent Children,https://tvtropes.org/pmwiki/pmwiki.php/Anime/FinalFantasyViiAdventChildren,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/VideoGames,'Advent Children':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/FinalFantasyViiAdventChildren'
Adventure Time,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/WesternAnimation,'Adventure Time':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime'
Agents of S.H.I.E.L.D.,https://tvtropes.org/pmwiki/pmwiki.php/Series/AgentsOfSHIELD,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/LiveActionTV,'Agents of S.H.I.E.L.D.':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AgentsOfSHIELD'
Alice in Wonderland,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AliceInWonderland,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimatedFilms,'Alice in Wonderland':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AliceInWonderland'
Alice in Wonderland,https://tvtropes.org/pmwiki/pmwiki.php/Film/AliceInWonderland2010,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/LiveActionFilms,'Alice in Wonderland':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AliceInWonderland2010'
All-New Ultimates,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AllNewUltimates,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/ComicBooks,'All-New Ultimates':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AllNewUltimates'
Altered Beast,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AlteredBeast,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/VideoGames,'Altered Beast':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AlteredBeast'
American Dragon: Jake Long,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDragonJakeLong,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/WesternAnimation,'American Dragon: Jake Long':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDragonJakeLong'
And Then I Turned Into a Mermaid,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AndThenITurnedIntoAMermaid,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/Literature,'And Then I Turned Into a Mermaid':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AndThenITurnedIntoAMermaid'
Android Kikaider: The Animation,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AndroidKikaiderTheAnimation,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga,'Android Kikaider: The Animation':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/AndroidKikaiderTheAnimation'
Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/Literature,'Animorphs':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs'
Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/Series/Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/LiveActionTV,'Animorphs':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Animorphs'
Another Gaming Comic,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AnotherGamingComic,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/Webcomics,'Another Gaming Comic':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AnotherGamingComic'
Arabian Nights: Adventures of Sinbad,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ArabianNightsAdventuresOfSinbad,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/AnimeAndManga,'Arabian Nights: Adventures of Sinbad':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/ArabianNightsAdventuresOfSinbad'
Arakawa Under the Bridge,https://tvtropes.org/pmwiki/pmwiki.php/Manga/ArakawaUnderTheBridge,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants,'Arakawa Under the Bridge':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/ArakawaUnderTheBridge'
Arcadia of My Youth,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ArcadiaOfMyYouth,https://tvtropes.org/pmwiki/pmwiki.php/Main/MagicPants,'Arcadia of My Youth':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/ArcadiaOfMyYouth'
Archipelago,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Archipelago,https://tvtropes.org/pmwiki/pmwiki.php/MagicPants/Webcomics,'Archipelago':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Archipelago'
