title,url
8th Man,https://tvtropes.org/pmwiki/pmwiki.php/Anime/EighthMan
Active Raid,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ActiveRaid
Aku Daisakusen Srungle,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AkuDaisakusenSrungle
Albegas,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Albegas
Aldnoah.Zero,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AldnoahZero
AMAIM Warrior at the Borderline,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AmaimWarriorAtTheBorderline
Android Kikaider: The Animation,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AndroidKikaiderTheAnimation
Aquarion EVOL,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AquarionEVOL
Aquarion Logos,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AquarionLogos
Argevollen,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Argevollen
Armored Trooper VOTOMS,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ArmoredTrooperVotoms
Astro Boy,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AstroBoy
Aura Battler Dunbine,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AuraBattlerDunbine
Back Arrow,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BackArrow
The Big O,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheBigO
Blue Comet SPT Layzner,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BlueCometSPTLayzner
Brave Series,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BraveSeries
Brave Exkaiser,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BraveExkaiser
The Brave Fighter of Sun Fighbird,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheBraveFighterOfSunFighbird
The Brave Fighter of Legend Da-Garn,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheBraveFighterOfLegendDaGarn
The Brave Express Might Gaine,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheBraveExpressMightGaine
Brave Police J-Decker,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BravePoliceJDecker
The Brave of Gold Goldran,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheBraveOfGoldGoldran
Brave Command Dagwon,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BraveCommandDagwon
GaoGaiGar,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GaoGaiGar
GaoGaiGar FINAL,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GaoGaiGarFINAL
B't X,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BtX
