title,url
G Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileFighterGGundam
Gundam X,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AfterWarGundamX
Model Suit Gunpla Builders Beginning G,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ModelSuitGunplaBuildersBeginningG
Gundam Build Fighters,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GundamBuildFighters
Space Battleship Yamato,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SpaceBattleshipYamato
Space Battleship Yamato 2199,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SpaceBattleshipYamato2199
Aldnoah.Zero,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AldnoahZero
AMAIM Warrior at the Borderline,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AmaimWarriorAtTheBorderline
Argento Soma,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ArgentoSoma
Argevollen,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Argevollen
Armored Trooper VOTOMS,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ArmoredTrooperVotoms
Assault Lily Bouquet,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AssaultLilyBouquet
Blue Submarine No. 6,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BlueSubmarineNo6
Flag,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Flag
Ghost in the Shell: Stand Alone Complex,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GhostInTheShellStandAloneComplex
Ghost in the Shell: Arise,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GhostInTheShellArise
Ghost in the Shell: SAC_2045,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GhostInTheShellSAC2045
Guilty Crown,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GuiltyCrown
Gundam Evolve,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GundamEvolve
Mobile Suit Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam
Mobile Suit Gundam 00,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam00
Gundam 00: A Wakening of the Trailblazer,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gundam00AWakeningOfTheTrailblazer
Mobile Suit Gundam 0080: War in the Pocket,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam0080WarInThePocket
Mobile Suit Gundam 0083: Stardust Memory,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam0083StardustMemory
Mobile Suit Gundam AGE,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamAGE
Mobile Suit Gundam: Char's Counterattack,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamCharsCounterattack
Mobile Suit Gundam F91,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamF91
Mobile Suit Gundam MS IGLOO,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamMSIGLOO
Mobile Suit Gundam SEED,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamSEED
Mobile Suit Gundam SEED Destiny,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamSEEDDestiny
Mobile Suit Gundam SEED Freedom,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamSEEDFreedom
Mobile Suit Gundam: The 08th MS Team,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamThe08thMSTeam
Mobile Suit Gundam Unicorn,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundamUnicorn
