text,url,source_url
Cowboy Bebop,/pmwiki/pmwiki.php/Anime/CowboyBebop,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
Basquash!,/pmwiki/pmwiki.php/Anime/Basquash,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
Black Butler,/pmwiki/pmwiki.php/Anime/BlackButler,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
Charlotte,/pmwiki/pmwiki.php/Anime/Charlotte,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
Code Geass,/pmwiki/pmwiki.php/Anime/CodeGeass,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
Darker than Black,/pmwiki/pmwiki.php/Anime/DarkerThanBlack,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
Digimon Fusion,/pmwiki/pmwiki.php/Anime/DigimonFusion,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
Doraemon: Nobita and the Windmasters,/pmwiki/pmwiki.php/Anime/DoraemonNobitaAndTheWindmasters,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
Doraemon: Nobita and The Space Heroes,/pmwiki/pmwiki.php/Anime/DoraemonNobitaAndTheSpaceHeroes,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
Dragon Ball Z,/pmwiki/pmwiki.php/Anime/DragonBallZ,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
Dragon Ball Z,/pmwiki/pmwiki.php/Anime/DragonBallZ,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
Super Android 13!,/pmwiki/pmwiki.php/Anime/DragonBallZSuperAndroid13,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
FLCL,/pmwiki/pmwiki.php/Anime/FLCL,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
Carnival Phantasm,/pmwiki/pmwiki.php/Anime/CarnivalPhantasm,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
The Girl Who Leapt Through Time,/pmwiki/pmwiki.php/Anime/TheGirlWhoLeaptThroughTime,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
Girls und Panzer,/pmwiki/pmwiki.php/Anime/GirlsUndPanzer,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
Gundam Build Fighters,/pmwiki/pmwiki.php/Anime/GundamBuildFighters,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
Gundam SEED,/pmwiki/pmwiki.php/Anime/MobileSuitGundamSeed,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga
