text,url,source_url,concatenated
"""Weird Al"" Yankovic",https://tvtropes.org/pmwiki/pmwiki.php/Music/WeirdAlYankovic,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/Music,"'""Weird Al"" Yankovic':'https://tvtropes.org/pmwiki/pmwiki.php/Music/WeirdAlYankovic'"
∀ Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TurnAGundam,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga,'∀ Gundam':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/TurnAGundam'
11/22/63,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ElevenTwentyTwoSixtyThree,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/Literature,'11/22/63':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ElevenTwentyTwoSixtyThree'
5 Second Films,https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/FiveSecondFilms,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/WebOriginal,'5 Second Films':'https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/FiveSecondFilms'
A Certain Magical Index,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga,'A Certain Magical Index':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex'
A Certain Scientific Railgun,https://tvtropes.org/pmwiki/pmwiki.php/Manga/ACertainScientificRailgun,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga,'A Certain Scientific Railgun':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/ACertainScientificRailgun'
A Hat Full of Sky,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AHatFullOfSky,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/Literature,'A Hat Full of Sky':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AHatFullOfSky'
A Mage's Power,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AMagesPower,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/Literature,'A Mage's Power':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AMagesPower'
A Magical Roommate,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AMagicalRoommate,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/Webcomics,'A Magical Roommate':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AMagicalRoommate'
A Practical Guide to Evil,https://tvtropes.org/pmwiki/pmwiki.php/Literature/APracticalGuideToEvil,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/Literature,'A Practical Guide to Evil':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/APracticalGuideToEvil'
ABBA,https://tvtropes.org/pmwiki/pmwiki.php/Music/ABBA,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/Music,'ABBA':'https://tvtropes.org/pmwiki/pmwiki.php/Music/ABBA'
Ace Combat,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AceCombat,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/VideoGames,'Ace Combat':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AceCombat'
Adventure Time,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/WesternAnimation,'Adventure Time':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime'
Adventurers!,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Adventurers,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/Webcomics,'Adventurers!':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Adventurers'
After Hours,https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/AfterHours,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/WebOriginal,'After Hours':'https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/AfterHours'
After the Golden Age,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AfterTheGoldenAge,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/Literature,'After the Golden Age':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AfterTheGoldenAge'
Agents of S.H.I.E.L.D.,https://tvtropes.org/pmwiki/pmwiki.php/Series/AgentsOfSHIELD,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/LiveActionTV,'Agents of S.H.I.E.L.D.':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AgentsOfSHIELD'
Ah! My Goddess,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AhMyGoddess,https://tvtropes.org/pmwiki/pmwiki.php/MundaneUtility/AnimeAndManga,'Ah! My Goddess':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AhMyGoddess'
