text,url,source_url
BoBoiBoy,/pmwiki/pmwiki.php/Animation/BoBoiBoy,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
Dick Tracy,/pmwiki/pmwiki.php/ComicStrip/DickTracy,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
Animorphs,/pmwiki/pmwiki.php/Literature/Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
Honor Harrington,/pmwiki/pmwiki.php/Literature/HonorHarrington,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
,/pmwiki/pmwiki.php/Film/BlazingSaddles,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
Batman & Robin,/pmwiki/pmwiki.php/Film/BatmanAndRobin,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
Jack the Giant Killer,/pmwiki/pmwiki.php/Film/JackTheGiantKiller,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
Ocean's Thirteen,/pmwiki/pmwiki.php/Film/OceansThirteen,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
A New Hope,/pmwiki/pmwiki.php/Film/ANewHope,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
Return of the Jedi,/pmwiki/pmwiki.php/Film/ReturnOfTheJedi,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
The Force Awakens,/pmwiki/pmwiki.php/Film/TheForceAwakens,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
The Phantom Menace,/pmwiki/pmwiki.php/Film/ThePhantomMenace,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
Attack of the Clones,/pmwiki/pmwiki.php/Film/AttackOfTheClones,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
Reptilicus,/pmwiki/pmwiki.php/Film/Reptilicus,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
Captain SNES: The Game Masta,/pmwiki/pmwiki.php/Webcomic/CaptainSNES,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
Exterminatus Now,/pmwiki/pmwiki.php/Webcomic/ExterminatusNow,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
Shortpacked!,/pmwiki/pmwiki.php/Webcomic/Shortpacked,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
Stampy's Lovely World,/pmwiki/pmwiki.php/WebVideo/StampysLovelyWorld,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
The Spongebob Squarepants Movie,/pmwiki/pmwiki.php/WesternAnimation/TheSpongebobSquarepantsMovie,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
Catwoman: Hunted,/pmwiki/pmwiki.php/WesternAnimation/CatwomanHunted,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
The Incredibles,/pmwiki/pmwiki.php/WesternAnimation/TheIncredibles1,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes
